degrees , closeness , betweenness
28200, 2, 1.42818377868864e-05, 129.969901763531 
2837506, 2, 1.15501449543192e-05, 19218 
2895509, 3, 1.0539629005059e-05, 426.410432067863 
2908637, 3, 1.43075844505172e-05, 1959.08798165114 
293371, 11, 1.49296069034502e-05, 129264.61424231 
2948789, 1, 1.19687376572393e-05, 0 
299583, 7, 1.42158535198453e-05, 687.809774036531 
3039168, 1, 9.61288896151961e-06, 0 
34064, 5, 1.36451709739923e-05, 1492.53176305413 
45667, 10, 1.31183670256726e-05, 47528.9902931924 
522485, 15, 1.46679183290307e-05, 31135.5934432389 
55205, 2, 1.34280458164923e-05, 53.3832693446522 
64898, 2, 1.2923737027799e-05, 19218 
74349, 9, 1.48971352808855e-05, 44377.1004833173 
84135, 4, 1.40548137737175e-05, 71538.3410597641 
912801, 1, 1.2880622391674e-05, 0 
1032242, 5, 1.47784707238495e-05, 3016.69712523615 
1218493, 1, 1.10810691015469e-05, 0 
1252, 1, 8.7012512399283e-06, 0 
1346829, 1, 1.19804957529143e-05, 0 
1542963, 5, 1.45093657956211e-05, 9483.1078217805 
1835721, 3, 1.24017163975494e-05, 52342.3738156526 
186806, 5, 1.3646660662136e-05, 771.30921351392 
186828, 1, 9.4948727687049e-06, 0 
1891280, 1, 1.15597581698591e-05, 0 
200415, 1, 1.30729207519544e-05, 0 
216932, 2, 1.29821236157811e-05, 87.3608944792125 
216942, 5, 1.18027524018601e-05, 38144.416100907 
216945, 2, 1.05882851213417e-05, 9610 
2267891, 3, 1.33239177647796e-05, 294.274218436189 
235899, 3, 1.16616715840049e-05, 4736.30721418627 
2419772, 2, 1.25541397275752e-05, 9610 
2497860, 12, 1.46481514032929e-05, 13269.7153745829 
2505970, 1, 1.16575931733134e-05, 0 
2652803, 2, 1.28072130223742e-05, 8820.03876044893 
2714036, 3, 1.43610069938104e-05, 1616.64770614953 
2724470, 3, 1.30123617436565e-05, 9736.9851800085 
2742601, 2, 1.25401284109149e-05, 153.323801364534 
2767877, 3, 1.33486397736071e-05, 473.374577350796 
2785630, 1, 1.20691319880274e-05, 0 
28227, 3, 1.42557771536915e-05, 18160.648872015 
2845650, 1, 1.22712937625014e-05, 0 
