"","X1ayWM2CHIPOOB100705","oAVVM2CHIPOOB051360","X3xfYM2CHIPOOA051365","jYxWM2CHIPOOB051110","hoQoM2CHIPOOA051115","eBCjM2CHIPOOBXX1180","j1iWM2CHIPOOBXX1561","nodos","degrees","closeness","betweenness"
"Gloeomargarita_lithophora",5.27481775874374e-06,1.13637892354668e-05,1.37279826146756e-05,7.59928245403845e-06,8.44051120032817e-06,8.68525245756118e-06,4.52473278476108e-06,"v_5702",86,3.32391557254446e-05,116923.243848753
"Hydrogenimonas_urashimensis",1.616953481185e-05,2.46493957681082e-05,2.48657798303558e-05,2.32320920737747e-05,2.6037698187679e-05,2.2565422272916e-05,1.97659379544826e-05,"v_3161",169,3.73789855343326e-05,114317.835439374
"Calothrix_parasitica",6.35935972783123e-06,9.52552921208248e-06,1.11377972156802e-05,1.19417295706319e-05,1.28398079471659e-05,1.20132463898977e-05,7.62060258486077e-06,"v_5632",85,3.41716785128485e-05,113493.791063025
"Coprococcus_eutactus",2.41557074933124e-06,3.42584822539809e-06,0,0,2.86465834677804e-06,3.73384685091415e-06,0,"v_5321",85,2.50281566762608e-05,111998.775639095
"Corynebacterium_simulans",1.92259712701875e-05,2.23933493757729e-05,2.53838169101549e-05,2.01923790921593e-05,2.84931196277745e-05,2.39453221960799e-05,1.92896502929288e-05,"v_4135",97,3.64564345607e-05,111648.564891213
"Synechococcus_sp._WH_8101",1.39018561492125e-05,2.04715320785983e-05,2.1369029541712e-05,1.75869108222033e-05,2.13314737608294e-05,1.95621106754415e-05,9.76389706185286e-06,"v_5544",102,3.59621677994749e-05,111341.085427445
"Treponema_caldarium",4.04238370296249e-06,5.18055097499223e-06,6.60497276743826e-06,4.3424471165934e-06,7.26395509361576e-06,5.8442820275178e-06,0,"v_6520",66,3.06965036682322e-05,110995.725843566
"Nitrosococcus_oceani",1.05003381552562e-05,1.33691638064316e-05,1.4634547504324e-05,1.25930966381209e-05,1.34025086938544e-05,1.09580288015959e-05,7.62060258486077e-06,"v_2311",125,3.52385650856297e-05,109710.386774797
"Aeromonas_sp._FDAARGOS_1417",3.40151799395624e-06,5.09699370120203e-06,8.28859327678527e-06,0,4.70622442684964e-06,4.8702350229315e-06,0,"v_2507",98,2.92320734309685e-05,109084.588754924
"Clostridium_sp._JN-1",1.8732997647875e-06,2.08893184475493e-06,1.94263904924655e-06,0,2.04618453341289e-06,2.35394692775023e-06,0,"v_5239",111,2.4443901246639e-05,108244.699017864
"Flavobacterium_pallidum",1.80921319388687e-05,9.0241855693413e-06,7.51153765708665e-06,1.28102189939505e-05,7.41741893362172e-06,5.35725852522465e-06,4.52473278476108e-06,"v_6073",64,3.19815786107202e-05,107191.453775073
"Terrisporobacter_sp._MCA3",7.44390169691873e-06,3.76007732055887e-06,5.05086152804102e-06,3.69108004910439e-06,2.86465834677804e-06,1.6234116743105e-06,0,"v_5354",86,2.79064575542781e-05,105398.406162162
"Dialister_pneumosintes",5.57060193213124e-06,6.76813917700597e-06,0,0,9.82168576038187e-06,7.87354662040593e-06,0,"v_5446",29,2.83189850475759e-05,104995.581057063
"Serinicoccus_profundi",0.000211978657594374,0.000182572643231581,0.000193098321495107,0.000207786094528994,0.000255517293609935,0.000200004318275054,0.000177893441590344,"v_3520",82,2.94602875324063e-05,103347.648189649
"Ferrimonas_lipolytica",4.97903358535624e-06,7.35304009353735e-06,5.82791714773964e-06,4.77669182825274e-06,6.54779050692124e-06,6.41247611352648e-06,2.61958213854589e-06,"v_2662",39,3.03536196691455e-05,101286.680604257
"Paenibacillus_sp._sptzw28",2.33669496976124e-05,3.04148476596318e-05,3.48379936164881e-05,2.56204379879011e-05,3.73428677347852e-05,6.08779377866438e-05,3.33401363087659e-05,"v_4802",94,3.43748925784607e-05,100864.592309713
