"","SRR17036901","SRR17036899","SRR17036897","SRR17036898","SRR17036900","SRR17036904","SRR17036902","SRR17036903","nodos","degrees","closeness","betweenness"
"103733",0.00826147330593313,0.00595071068849332,0.0197538748587332,0.00981228090465689,0.00981804339880137,0.00652967495148297,0.00946042770888909,0.00757188641732693,"v_0",32,0.0153846153846154,25.0101719743155
"218821",0.00859700321922781,0.00569753384657905,0.013666488224374,0.00950440085025943,0.011200074400417,0.0062713334539759,0.0102726218232824,0.00865405342119056,"v_64",31,0.0151515151515152,17.5099853266317
"1824",0.0112905393241904,0.00839386721296603,0.0132102081513692,0.0132516042066306,0.0135672620862829,0.00999669272962129,0.0126251840856631,0.0105120105218584,"v_70",30,0.0151515151515152,34.462961556937
"298654",0.0110969968805015,0.00886224437050743,0.0120072879589019,0.0127786174909371,0.0144096737844507,0.00886473264151061,0.0119168481267023,0.00935872030742734,"v_82",30,0.0151515151515152,34.462961556937
"2851567",0.0111933455205911,0.00918820955447205,0.0185243448506876,0.0122960593745887,0.0226358943081518,0.00560488727200115,0.0164317605240986,0.00748982117436457,"v_10",29,0.0135135135135135,37.3317008798507
"1909395",0.0101056200837895,0.00612476976730938,0.0152802952750359,0.0139973758409871,0.0118672990702111,0.00855397402856733,0.0113847209483066,0.0106061120004552,"v_45",29,0.0147058823529412,27.8807097325488
"93944",0.00928243082547965,0.00555195716247835,0.0139325863801572,0.0129405336853482,0.0108605143577665,0.00792996074956475,0.0103788138698482,0.0101903147694459,"v_59",29,0.0147058823529412,27.8807097325488
"2591108",0.0101546395673439,0.00639166035482734,0.0130028081181851,0.0129891883053436,0.012508570106172,0.00761046595071543,0.0109692883265767,0.0103183365484672,"v_74",29,0.0147058823529412,27.8807097325488
"659352",0.00745265182728577,0.00679252368785827,0.012157555152756,0.00991437584497521,0.0112087256116947,0.00633623083499217,0.0091336829502251,0.00813540108566845,"v_90",29,0.0144927536231884,14.0632956044172
"2742128",0.00937117299398328,0.00620283262689962,0.0124377408579631,0.017777281482929,0.0119256947463357,0.00747443105589287,0.0113753853837734,0.00917161155347316,"v_23",28,0.0142857142857143,16.7895425707606
"2836373",0.0110344547807942,0.0074761011610268,0.0143505170130639,0.0118892748467579,0.0149871421372385,0.00883602803067649,0.0141993936550836,0.00973403201857519,"v_54",28,0.0136986301369863,10.3767686791226
"1411117",0.00902803660910258,0.00568803971500727,0.0120667687231358,0.0144464340550435,0.0119137993308288,0.00700018096385091,0.0100579038390175,0.00887398827232968,"v_55",28,0.0142857142857143,16.7895425707606
"2736640",0.0112068681367441,0.00777569375729202,0.0125551371031616,0.0115215735382677,0.0155213544336376,0.00727849088628606,0.0141037041186177,0.00869782155077048,"v_81",28,0.0135135135135135,18.8584295026334
"1076124",0.00829189919227723,0.00481246980338708,0.00883993726344657,0.0122817022736065,0.00909458585570212,0.00678926447554804,0.00916052269825822,0.00768568355423473,"v_96",28,0.0140845070422535,37.3042774466527
