"","Ia7iM2MAIPOOB100245","P0ZQM2MAIPOOA100240","qU3SM2MAIPOOM070605","B7zTM2MAIPOOA070610","c5isM2MAIPOOA070615","TgLUM2MAIPOOM070620","pse1M2MAIPOOA100685","AJwcM2MAIPOOA100700","nodos","degrees","closeness","betweenness"
"Methylobacterium_sp._WL1",0.000216931550378923,0.000254398346475334,0.000289700830287901,0.000333440871623099,0.000295420890137066,0.000301773700942262,0.000282930433278598,0.000294890318233823,"v_248",253,2.94230146820843e-05,10170.6110304058
"Aquabacter_sp._L1I39",0.000219789673572321,0.00026595212187238,0.000258868272985515,0.000320449668832589,0.000267664666664611,0.000300997134547661,0.000279371559904024,0.000289655259509687,"v_327",176,2.94204177699323e-05,9800.6459853525
"Polynucleobacter_sp._MWH-UH35A",2.71521703372828e-06,5.59748124825841e-06,1.79987009633218e-06,0,3.80123990708048e-06,4.89236828599139e-06,0,2.59054452328395e-06,"v_2564",421,2.9419552234415e-05,23427.7545591636
"Bordetella_genomosp._8",0.000199782811218534,0.000229712018918913,0.000232183242426851,0.000312871467204791,0.000321312354409822,0.000409328146594613,0.000193602711576802,0.000227913948371419,"v_2622",220,2.9419552234415e-05,6954.29735511702
"Kluyvera_genomosp._3",0,4.52104254667026e-06,3.67799541424402e-06,0,4.08812593780354e-06,6.36784443573482e-06,0,3.83184710735751e-06,"v_6456",256,2.94160906015591e-05,6329.90936233396
"Thiomicrorhabdus_sediminis",3.92991939092252e-06,3.58812900529385e-06,2.3476566473898e-06,0,4.1598474454843e-06,4.73705500707103e-06,0,2.86039291112603e-06,"v_2256",413,2.94143600905962e-05,22086.9081635765
"Mesorhizobium_australicum",0.000226434809996972,0.000176607709640563,0.000143207055490778,0.000195950642090198,0.00014086104108502,0.000178610270758416,0.000193246824239344,0.000195100384409822,"v_222",51,2.94048459186074e-05,6955.19517620658
"Urechidicola_croceus",5.71624638679639e-06,1.14102502368345e-05,1.64335965317286e-06,0,2.5819742765075e-06,3.41689213624795e-06,0,2.26672645787346e-06,"v_5903",218,2.94048459186074e-05,6231.42364152354
"Aromatoleum_pumilum",0.000202926746731272,0.00025899115160211,0.000209958759498228,0.000313954067437334,0.00029764425687517,0.000338039351570167,0.000257306544981668,0.000289277471766708,"v_2791",242,2.9391881962202e-05,7679.40295212828
"Mangrovibacillus_cuniculi",3.78701323125261e-06,3.37284126497622e-06,1.08774757995727e-05,2.38172051159357e-05,5.59427759909958e-06,7.76566394601807e-06,9.96484544880596e-06,6.53033098577829e-06,"v_4640",54,2.93910181048672e-05,429.521296833896
