"","vcXtM2TOMPOOB050180","iYASM2TOMPOOA050195","XR8LM2TOMPOOB051125","TECcM2TOMPOOA051310","FvY2M2TOMPOOB051329","abKIM2TOMPOOA051320","cuu6M2TOMPOOB051315","s9OmM2TOMPOOB051285","Nm8MM2TOMPOOA051300","IGpcM2TOMPOOB051290","a50wM2TOMPOOB051350","OeS0M2TOMPOOA051355","dSz8M2TOMPOOA051340","aFJgM2TOMPOOM090325","cSObM2TOMPOOM080315","wQqUM2TOMPOOA080335","X0n7bM2TOMPOOA100365","X1qGgM2TOMPOOM080340","X9JUZM2TOMPOOB100355","AYtCM2TOMPOOA100360","DYZgM2TOMPOOB100370","nG3jM2TOMPOOA051345","nodos","degrees","closeness","betweenness"
"Cellvibrio_japonicus",2.19648459101457e-05,1.7628296910294e-05,3.69307417058866e-05,2.07267140376101e-05,3.67210399297383e-05,1.49108091407347e-05,1.49058363017522e-05,1.89064206907269e-05,1.98718208237997e-05,1.83907129964487e-05,1.8668277795611e-05,1.57116044343939e-05,6.10815307144132e-05,2.36356501382505e-05,0.000142735436423251,5.93583195574693e-05,2.01614935634432e-05,0.000204011969495954,3.9481825119589e-05,3.44459698950878e-05,1.94077337448563e-05,2.07569219145355e-05,"v_2533",1,1.33616600526449e-05,0
"Shewanella_sp._FJAT-54031",1.12352152993073e-05,1.01302882697165e-05,1.11298125688973e-05,1.14805962513156e-05,1.19453985313607e-05,1.07478928831692e-05,1.24215302514602e-05,1.06029251170969e-05,1.00842075822267e-05,8.3652201476902e-06,7.03090981912621e-06,8.5915420018891e-06,7.56485692573592e-06,9.20166532099829e-06,1.01467100693452e-05,1.12253555610114e-05,1.11392251938024e-05,9.52492416672094e-06,0,8.91440929445739e-06,1.19261264615338e-05,1.28989443326042e-05,"v_2552",1,2.58157786038827e-05,0
"Shewanella_sp._FJAT-51649",3.7076210487714e-06,2.31321543166754e-06,0,2.15742748346871e-06,3.1601583416298e-06,2.04361343553217e-06,3.33420022539194e-06,5.10984342992619e-06,5.56114388725737e-06,0,3.15178716029796e-06,1.23414415496749e-06,4.75148038310686e-06,0,3.25603382822271e-06,3.23154175241237e-06,7.15733021502233e-06,3.45278501043634e-06,0,2.55315606006304e-06,6.0741762102222e-06,3.70659319902419e-06,"v_2568",1,2.55826447338126e-05,0
"Shewanella_xiamenensis",1.02802219988661e-05,2.37702827116181e-05,1.04793689772085e-05,1.81069806648267e-05,1.75704803794617e-05,1.12777185886775e-05,1.15062596013526e-05,1.41798155180452e-05,1.49038656178498e-05,1.05363459875487e-05,1.21222583088383e-05,9.63581782532313e-06,1.04407529470901e-05,0,1.06767620878931e-05,1.85388447901552e-05,1.94558412887227e-05,2.60447145183776e-05,0,1.60113176648021e-05,1.42965366899132e-05,1.09715158691116e-05,"v_2604",1,2.80583613916947e-05,0
"Alteromonas_sp._RW2A1",7.97700286250815e-06,7.89683888741676e-06,0,0,6.50992618375739e-06,7.34187049061558e-06,0,4.08787474394096e-06,0,7.21580058541215e-06,0,5.07897786852007e-06,0,0,0,0,6.09885180294156e-06,8.21524709379681e-06,0,0,0,0,"v_2614",1,2.22801506138182e-05,0
"Agarivorans_albus",2.35939521285452e-06,1.67508703672477e-06,1.73451624450348e-06,1.46396864949663e-06,2.33851717280605e-06,1.36240895702145e-06,1.63441187519213e-06,1.34133390035563e-06,1.4088231181052e-06,0,1.53548605245285e-06,1.70881498380115e-06,2.37574019155343e-06,0,0,1.78585202106999e-06,1.96574562243571e-06,3.12536574220531e-06,0,1.86077475563916e-06,2.88893746583739e-06,3.26180201514129e-06,"v_2630",1,2.08359378255615e-05,0
"Pseudoalteromonas_shioyasakiensis",4.4940861197229e-06,4.94549506080646e-06,3.97493306032048e-06,4.54600791159479e-06,4.23461217778394e-06,5.52532521458698e-06,4.24947087549953e-06,5.62082777291881e-06,5.48699530209394e-06,5.30010131494875e-06,3.55586243725923e-06,3.65496538201912e-06,5.25163621290758e-06,4.87146987582262e-06,5.37624190241424e-06,4.59219091132284e-06,3.93149124487142e-06,7.67947010941876e-06,0,3.15898970143393e-06,4.8889710960325e-06,5.0409667506729e-06,"v_2650",1,2.02379988666721e-05,0
"Moritella_yayanosii",3.65144497227486e-06,4.30736666586369e-06,2.16814530562935e-06,3.23614122520307e-06,3.41297100896019e-06,2.42206036803813e-06,3.66108260043036e-06,2.68266780071125e-06,3.78157784333501e-06,3.44825868683413e-06,2.3436366063754e-06,1.47147956938432e-06,2.75085706390397e-06,3.60849620431305e-06,4.39185958225389e-06,2.55121717295713e-06,2.87301283279065e-06,3.57184656252035e-06,0,2.33678690243058e-06,2.74078682656368e-06,0,"v_2688",1,2.02032446410894e-05,0
"Vibrio_campbellii",7.75229855652201e-06,1.10874808621306e-05,7.44396554932744e-06,7.01163932127331e-06,7.83719268724191e-06,9.00703699364179e-06,1.22254008264371e-05,6.70666950177813e-06,5.41284671693051e-06,4.34225167971705e-06,6.70764959755719e-06,4.79417537121988e-06,1.09409087768908e-05,0,1.11310923895055e-05,4.33706919402712e-06,5.99804433512435e-06,8.06642015369179e-06,2.16668552485549e-05,6.92381304423875e-06,8.07420984041732e-06,9.78540604542386e-06,"v_2697",1,2.68997982515131e-05,0
"Vibrio_sp._SS-MA-C1-2",8.98817223944581e-07,1.99415123419615e-06,9.39529632439385e-07,1.23281570483926e-06,1.45367283714971e-06,1.43809834352264e-06,7.8451770009222e-07,1.08584172885932e-06,1.55712028843206e-06,1.72412934341706e-06,8.88965609314808e-07,2.27841997840153e-06,2.00062331920289e-06,0,1.21154747096659e-06,9.35446296750948e-07,1.31049708162381e-06,2.94677341407929e-06,0,1.03857195663581e-06,9.6297915527913e-07,0,"v_2710",1,1.82571705037153e-05,0
"Vibrio_alfacsensis",6.90965740907396e-06,4.70619691270292e-06,6.14307836594983e-06,4.70010987469969e-06,4.8666438461099e-06,5.14687828208102e-06,8.76044765102979e-06,5.23758951567435e-06,5.04210379111335e-06,6.00252438078533e-06,7.11172487451846e-06,3.79736663066921e-06,7.12722057466029e-06,4.69104506560697e-06,6.28490250563919e-06,4.93235320105046e-06,5.0907771247694e-06,6.81627385680967e-06,0,3.80809717433131e-06,7.18530600477504e-06,7.26492267008741e-06,"v_2725",1,2.21199787648204e-05,0
"Vibrio_paracholerae",1.96616267737877e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00807467817216e-06,0,0,0,0,0,"v_2760",1,1.01091791346543e-05,0
"Legionella_pneumophila",6.52766008889752e-05,1.81068932065011e-05,2.79690744426186e-05,1.61807061260153e-05,1.60536043754794e-05,1.55920136192455e-05,1.63441187519213e-05,1.18165129317043e-05,9.34272173059239e-06,5.05744607402339e-05,2.11735445127709e-05,4.51886629049636e-05,4.34510377139377e-05,1.11863382333705e-05,3.47562680733541e-05,1.76884390658361e-05,2.58571154951159e-05,0.000252083071149874,1.82964555432242e-05,1.41072690776365e-05,2.85189980601896e-05,1.70503287155113e-05,"v_2777",1,2.4004993038552e-05,0
"Acinetobacter_sp._WCHA55",1.8538105243857e-06,0,0,0,2.40172033963865e-06,1.96792404903098e-06,1.43828245016907e-06,1.9800643290964e-06,0,1.46870277402194e-06,1.77793121862962e-06,1.42401248650096e-06,1.75054540430253e-06,0,1.74159948951447e-06,1.9559331659338e-06,1.9153418885271e-06,1.81568866928118e-06,0,1.77422709258618e-06,0,0,"v_2818",1,1.96769052163476e-05,0
"Acinetobacter_junii",4.60643827271598e-06,8.05637098615245e-06,2.45723134637993e-06,3.15909024365061e-06,5.43547234760326e-06,6.96342355810962e-06,2.6150590003074e-06,4.15174778681503e-06,2.66934906588354e-06,5.04467474555363e-06,2.3436366063754e-06,2.99042622165201e-06,5.06407777673231e-06,4.87146987582262e-06,5.67912877015589e-06,1.17355989956028e-05,3.57866510751116e-06,5.74471988805357e-06,8.66674209942198e-06,3.28881119601341e-06,2.3704102283794e-06,2.52048337533645e-06,"v_2832",1,2.28310502283105e-05,0
"Acinetobacter_soli",3.42674066628871e-06,3.03110987597815e-06,4.84219118257222e-06,3.46729416986043e-06,4.23461217778394e-06,2.34637098153694e-06,4.96861210058406e-06,3.12977910082979e-06,3.0400919917007e-06,2.49040905160242e-06,3.15178716029796e-06,4.41443870815296e-06,3.93872715968069e-06,2.16509772258783e-06,3.1803121112873e-06,2.89137946268475e-06,3.52826137360256e-06,7.0841623489987e-06,0,2.25023923937759e-06,7.55568260295932e-06,4.29964811086806e-06,"v_2833",1,2.0831163420477e-05,0
"Acinetobacter_cumulans",1.79763444788916e-06,2.31321543166754e-06,2.31268832600464e-06,2.08037650191626e-06,1.20086016981932e-06,1.96792404903098e-06,1.24215302514602e-06,1.34133390035563e-06,1.77956604392236e-06,1.46870277402194e-06,1.45467099706059e-06,1.80374914956788e-06,3.25101289370469e-06,0,2.87742524354565e-06,1.78585202106999e-06,1.96574562243571e-06,3.0658349661633e-06,0,2.46660839701006e-06,2.3704102283794e-06,2.22395591941451e-06,"v_2843",1,2.06539025548877e-05,0
"Acinetobacter_chinensis",1.06734545343419e-06,1.75485308609261e-06,0,1.38691766794417e-06,1.13765700298673e-06,2.19499220853455e-06,1.83054130021518e-06,1.34133390035563e-06,1.48297170326863e-06,1.46870277402194e-06,2.3436366063754e-06,2.0410845639847e-06,1.50046748940217e-06,0,0,0,2.16736055807014e-06,5.20894290367551e-06,0,1.42803644037424e-06,2.07410894983197e-06,0,"v_2853",1,1.94476857253987e-05,0
"Acinetobacter_portensis",1.17969760642726e-06,0,1.73451624450348e-06,0,0,2.04361343553217e-06,0,0,0,0,0,0,1.62550644685235e-06,0,3.93752928064142e-06,0,1.15928587989798e-06,3.51231578647835e-06,0,1.42803644037424e-06,2.51856086765311e-06,0,"v_2854",1,1.74730478237319e-05,0
"Psychrobacter_sp._28M-43",2.24704305986145e-06,1.51555493798908e-06,3.39676097881932e-06,1.15576472328681e-06,1.89609500497788e-06,2.57343914104051e-06,1.96129425023055e-06,1.02196868598524e-06,1.33467453294177e-06,1.66027270106828e-06,2.02037638480638e-06,1.47147956938432e-06,1.75054540430253e-06,0,1.287269187902e-06,0,1.56251575116685e-06,3.0063041901213e-06,0,1.25494111426827e-06,1.48150639273712e-06,0,"v_2857",1,1.93948797517455e-05,0
"Psychrobacter_sp._P11F6",2.35939521285452e-06,5.18479320891e-06,0,3.00498828054571e-06,2.08570450547567e-06,2.49774975453932e-06,4.44560030052258e-06,2.17168345771863e-06,0,4.91696146085607e-06,3.15178716029796e-06,3.03789330453537e-06,5.25163621290758e-06,0,1.81732120644989e-06,2.72129831782094e-06,3.1754352362423e-06,3.09560035418431e-06,0,2.12041774479812e-06,1.48150639273712e-06,4.44791183882903e-06,"v_2859",1,1.88672125580167e-05,0
"Psychrobacter_sp._G",3.25821243679911e-06,0,0,4.62305889314724e-06,3.85539317678836e-06,6.35790846610009e-06,0,4.08787474394096e-06,4.00402359882531e-06,0,4.12156782500502e-06,4.60430703968642e-06,5.56423360653304e-06,0,6.96639795805789e-06,0,3.93149124487142e-06,4.91128902346548e-06,0,3.67827567975184e-06,0,0,"v_2863",1,2.20565530018969e-05,0
"Moraxella_ovis",2.02233875387531e-06,0,0,0,0,0,0,2.5549217149631e-06,0,0,0,0,0,0,0,0,2.06655309025293e-06,2.17287332553321e-06,0,0,0,0,"v_2878",1,1.07353730542136e-05,0
