degrees , closeness , betweenness
196914, 28, 6.60366767702782e-06, 216.427165066204 
33882, 9, 6.05238948336803e-06, 1163.35881517816 
2528023, 28, 6.34703022455793e-06, 3092.48292860814 
1379870, 67, 6.78278799717836e-06, 2317.13785989006 
1390395, 67, 6.73518595848431e-06, 34543.7075861668 
2527974, 24, 6.69155926714043e-06, 10939.5892480708 
2576903, 6, 6.41630254149744e-06, 1726.2911899969 
1813, 8, 6.22018200252539e-06, 1537.60812403485 
649831, 26, 6.70834786808705e-06, 533.702105209932 
114, 2, 6.22502209882845e-06, 0 
68287, 26, 6.22002724371933e-06, 2968.64982532911 
1813468, 73, 6.60384211534271e-06, 13922.8433842207 
165695, 60, 6.52205105461566e-06, 123739.389516125 
1850093, 19, 7.19605656100457e-06, 34131.8251284639 
418223, 40, 6.66102699714242e-06, 62.5341725628743 
399176, 67, 6.80091676357973e-06, 8863.95337161382 
925818, 85, 6.99652972125826e-06, 43590.9459551905 
563996, 65, 6.60449634110903e-06, 9309.10842816849 
41294, 20, 5.99207847225967e-06, 170.497045222916 
3038924, 41, 6.72875060558755e-06, 93.7637716631614 
584, 4, 6.232976183798e-06, 57069.3611077498 
1961362, 62, 6.69545713233571e-06, 385.520426570976 
1076, 22, 6.07511269334046e-06, 114.941342368281 
1609977, 78, 6.8472983984169e-06, 22563.0244068855 
2836373, 25, 6.68815794753809e-06, 338.717995722432 
433659, 33, 6.58778887454215e-06, 11658.7567125637 
56438, 26, 6.70834786808705e-06, 533.702105209932 
1541170, 80, 6.77382863568317e-06, 52130.1029137896 
1484109, 47, 6.80091676357973e-06, 3011.96265698074 
138336, 17, 6.54005127400199e-06, 13979.202746494 
1517551, 69, 6.76979318281827e-06, 8461.87186717203 
119060, 22, 6.10601259059796e-06, 37.7588651782674 
2933797, 12, 6.30127663864699e-06, 614.213472497652 
2736640, 29, 6.53086814830295e-06, 38536.6399259973 
152682, 68, 6.79749580254634e-06, 5570.91528712373 
1813879, 66, 6.63116781496389e-06, 28153.2156322948 
2774151, 2, 6.22502209882845e-06, 0 
3014784, 73, 6.7958327953299e-06, 24973.7858102554 
2997354, 69, 6.8523657792853e-06, 12266.5029029354 
85015, 10, 6.2793165591857e-06, 4585.86176123196 
3012344, 76, 6.77318631003583e-06, 14414.9487502951 
3056648, 25, 6.35477434196312e-06, 17112.7013760791 
2865833, 13, 6.36387356256006e-06, 1621.31718176135 
40324, 15, 6.68382180931056e-06, 41731.9814607917 
2017685, 3, 7.43394935993696e-06, 0.776149663838037 
1411621, 74, 7.31170530902922e-06, 62846.5780798053 
1225128, 72, 6.68435793399865e-06, 48884.9712404704 
2062, 12, 6.36776383237499e-06, 2814.64350922834 
76335, 8, 6.63107987135705e-06, 46906.4914660866 
1479019, 39, 6.74349758245612e-06, 75.4417893377324 
1866885, 16, 6.13933842489133e-06, 2702.0015233948 
2903960, 68, 6.81891020177155e-06, 8027.53380813468 
33051, 65, 6.85044116841125e-06, 4940.90609449929 
2991075, 73, 6.88046566991654e-06, 15562.7078925266 
92942, 7, 6.63072812025489e-06, 36977.4500808671 
80864, 25, 6.333282667072e-06, 3291.49513195733 
1137095, 8, 6.63107987135705e-06, 46906.4914660866 
2954771, 28, 6.48600967712644e-06, 6808.36169226276 
858422, 24, 6.48521047750605e-06, 4832.64777013553 
1636152, 30, 7.09063964660252e-06, 774.995697475359 
54571, 27, 6.3839838612888e-06, 14465.0692343355 
207340, 68, 6.83957102210549e-06, 3867.72898082103 
1355477, 28, 6.41087284033721e-06, 282.39314354474 
2897334, 82, 6.88217036124512e-06, 19803.6233804174 
94132, 35, 6.52464685348905e-06, 10133.9940325936 
1387353, 31, 7.05616709003669e-06, 753.554175933172 
397260, 80, 6.88515560451666e-06, 65995.4888040286 
927083, 41, 6.4877770280791e-06, 58997.094355782 
3039158, 36, 6.49207317864887e-06, 8254.98317563132 
85009, 7, 6.19989708170844e-06, 1.28673765006395 
34073, 29, 6.36282076570185e-06, 4137.58534371319 
3018446, 77, 7.02094347438409e-06, 32943.9442481815 
41275, 38, 6.70758292249388e-06, 14439.9153943874 
240495, 45, 6.64275275674239e-06, 16526.8030333394 
331696, 46, 6.60929796037065e-06, 7845.28017759718 
1847, 49, 6.87209653921218e-06, 3153.46730329577 
1865, 44, 7.02335969434339e-06, 420.150964257302 
466153, 45, 7.22198951367123e-06, 7722.16671857684 
