taxon1,taxon2,Spearman Correlation,Bray Curtis Dissimilarity,pvalue Spearman,pvalue Bray Curtis,adjusted pvalue Spearman,adjusted pvalue Bray Curtis
2,781,0.9000938918638869,0.27083955343189325,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0
2,909,0.8927381984541333,0.29837421639957495,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0
2,1047,0.9131579058241537,0.2557282980592446,0.9752743426057563,1.0,1.0,1.0,1.0,1.0,nan,1.0
2,1739,0.8920382489325067,0.26483067442506036,0.999999999992451,1.0,1.0,1.0,1.0,1.0,nan,1.0
2,2281,0.9106777118909724,0.24928541748111255,0.9999839206019185,0.9999944301490918,1.0,1.0,1.0,1.0,nan,1.0
2,2287,0.8725666823832587,0.28520827172467195,0.9699748521761035,0.82638161731809,1.0,1.0,1.0,1.0,nan,1.0
2,2412,0.9061494151574304,0.24941993168022109,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0
2,2523,0.9011587014063708,0.25596522572672814,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0
2,2573,0.9098020398563653,0.24170724423508033,0.999999994679959,0.8839652421170023,1.0,1.0,1.0,1.0,nan,1.0
2,2612,0.9155880928098409,0.2873812440973747,1.0,1.0,1.0,1.0,0.5460506070767198,1.0,nan,1.0
2,2682,0.9181271950995775,0.23728283034700454,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0
2,2924,0.9142558786817949,0.24695660467727143,1.0,1.0,1.0,1.0,0.9999989831136328,1.0,nan,1.0
2,3255,0.899155196514641,0.29932281530770705,0.9999039245254767,0.9918454013192468,1.0,1.0,0.9899681662681195,1.0,nan,1.0
2,3296,0.9118874094936137,0.19968518040118305,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0
2,3950,0.91070422398503,0.1844241175424467,0.9999999999381117,0.9999999480522882,1.0,1.0,1.0,1.0,nan,1.0
