"","Ia7iM2MAIPOOB100245","P0ZQM2MAIPOOA100240","qU3SM2MAIPOOM070605","B7zTM2MAIPOOA070610","c5isM2MAIPOOA070615","TgLUM2MAIPOOM070620","pse1M2MAIPOOA100685","AJwcM2MAIPOOA100700"
"Bradyrhizobium","828238","646392","403804","38582","1015931","578544","117780","755066"
"Rhodopseudomonas","35962","39101","24599","2450","39217","34215","7594","51144"
"Nitrobacter","15494","9808","6884","689","9076","10160","2809","22338"
"Tardiphaga","11718","12580","7803","691","12604","10401","2309","16060"
"Afipia","11331","11845","6799","714","12555","9046","2037","15036"
"Variibacter","7143","8453","4694","439","7591","6116","1555","10725"
"Rhizobium","169456","133163","116749","9366","169493","146424","27451","181584"
"Agrobacterium","29581","39265","21415","1930","24032","25886","5918","34574"
"Neorhizobium","18665","15082","15243","1028","13224","15007","2886","17960"
"Pseudorhizobium","9611","4039","12166","308","3132","4170","1005","5432"
"Sinorhizobium","140032","59488","67958","4218","30596","58685","15458","90682"
"Ensifer","61358","234199","22981","2222","22664","28846","5455","39785"
"Shinella","35771","27866","22287","2367","24305","30505","5829","36607"
"Ciceribacter","2485","2622","2305","231","2586","2852","578","3599"
"Georhizobium","2394","2772","2265","220","2249","2621","778","4529"
"Peteryoungia","891","898","890","82","799","996","204","1307"
"Liberibacter","91","100","143","15","183","193","26","197"
"Mesorhizobium","311167","209865","150070","16238","211181","202811","46452","317722"
"Aminobacter","21652","50687","11816","1219","10783","14264","3632","25589"
"Aquibium","16499","14187","12108","1219","11065","14518","3318","22392"
"Nitratireductor","10036","9188","7361","707","7057","8619","1984","14069"
"Phyllobacterium","5122","5247","3754","389","4150","4636","992","7160"
"Roseitalea","3097","3403","3147","292","3169","3696","807","5280"
"Hoeflea","2684","3008","2302","210","2499","2661","626","4167"
"Oricola","2435","2532","2256","224","2273","2587","527","3953"
"Salaquimonas","904","984","843","88","871","1001","203","1531"
"Lentilitoribacter","58","63","42","0","72","83","10","78"
"Methylobacterium","77214","89450","96141","8318","105090","106934","21620","138397"
