"","1ayWM2CHIPOOB100705","oAVVM2CHIPOOB051360","3xfYM2CHIPOOA051365","jYxWM2CHIPOOB051110","hoQoM2CHIPOOA051115","eBCjM2CHIPOOBXX1180","j1iWM2CHIPOOBXX1561"
"Yersinia","9296","1393","3065","1503","2016","987","306"
"Rahnella","1511","1049","718","432","1698","902","368"
"Nissabacter","887","664","383","272","1139","585","221"
"Gibbsiella","469","390","230","155","634","352","106"
"Rouxiella","291","179","115","89","341","183","49"
"Ewingella","277","272","133","81","339","195","72"
"Chania","146","118","64","26","187","98","23"
"Candidatus_Fukatsuia","55","29","28","18","67","25","0"
"Pantoea","9285","5526","3558","2420","10055","5270","1766"
"Erwinia","3360","2335","1479","1016","4038","2196","750"
"Mixta","2019","1437","862","605","2643","1377","444"
"Buchnera","267","190","120","64","243","213","43"
"Tatumella","168","150","70","55","252","131","32"
"Wigglesworthia","10","25","15","0","12","21","0"
"Dickeya","3784","2715","1683","1195","5556","2632","812"
"Pectobacterium","2465","1749","1063","740","2782","1440","480"
"Brenneria","1376","1035","669","476","1926","1002","328"
"Lonsdalea","593","473","313","236","896","489","170"
"Musicola","340","254","152","98","520","254","74"
"Edwardsiella","2282","1826","1213","710","3928","1789","523"
"Hafnia","360","233","156","109","388","189","65"
"Obesumbacterium","73","43","25","28","149","56","19"
"Morganella","963","780","412","352","1165","547","225"
"Providencia","744","524","279","202","745","376","108"
"Xenorhabdus","407","277","201","108","471","881","85"
"Proteus","546","337","312","135","550","443","114"
"Photorhabdus","252","204","115","103","325","137","34"
"Arsenophonus","116","70","56","27","77","49","17"
"Moellerella","69","35","23","0","76","33","0"
"Sodalis","1467","1111","675","454","1947","998","363"
"Leminorella","165","156","76","59","257","124","40"
"Pragia","71","55","28","23","83","36","0"
"Limnobaculum","60","37","13","13","54","31","0"
"Jinshanibacter","47","38","14","15","46","32","0"
"Thioalkalivibrio","11989","11247","6356","5315","20133","8237","2725"
"Spiribacter","7210","5796","3685","2885","11797","4850","1593"
"Acidihalobacter","4821","4179","2240","1980","7294","3289","1051"
"Halorhodospira","2469","1977","1200","870","3931","1618","486"
"Aquisalimonas","2111","1701","1029","796","3303","1330","464"
"Ectothiorhodospira","2006","1686","1010","729","3107","1144","419"
"Alkalilimnicola","2054","1814","1072","897","3546","1461","601"
"Ectothiorhodosinus","289","204","126","100","379","196","58"
"Allochromatium","4406","3816","2288","1829","6782","2991","1042"
"Thiodictyon","3350","2866","1826","1208","5226","2485","766"
"Thioflavicoccus","3347","2823","1829","1224","5135","2396","769"
"Marichromatium","3246","3129","1737","1326","5508","2388","920"
"Thiocapsa","2478","2051","1289","912","3590","1712","564"
"Thiocystis","1942","1694","912","725","2918","1285","405"
"Thermochromatium","1395","1163","759","563","2253","1017","325"
"Caldichromatium","933","762","480","349","1403","640","183"
"Nitrosococcus","848","738","510","311","1384","620","185"
"Rheinheimera","497","214","135","98","376","163","59"
"Candidatus_Nitrosoglobus","70","29","24","15","64","24","0"
"Candidatus_Nitrosacidococcus","52","37","43","23","66","35","0"
"Wenzhouxiangella","3650","2886","1774","1286","5413","2214","767"
"Thiohalobacter","3035","3100","1511","1167","4964","1854","672"
"Guyparkeria","2425","2223","1285","1016","3828","1601","602"
"Sulfurivermis","2625","2862","1218","1156","4284","1811","651"
"Woeseia","1429","827","534","456","2157","602","175"
"Halothiobacillus","1337","1205","667","496","1879","835","375"
"Sulfuriflexus","529","489","231","154","690","287","63"
"Granulosicoccus","451","262","179","123","522","258","68"
"Halomonas","40709","28631","17964","12637","56190","25495","8087"
"Cobetia","3478","2760","1644","1156","4935","2153","807"
"Halotalea","2066","1572","941","747","3054","1493","466"
"Salinicola","1795","1431","827","592","2688","1237","484"
"Kushneria","1524","1008","699","522","2086","921","295"
"Chromohalobacter","1427","985","634","491","2008","874","355"
"Pistricoccus","860","735","478","312","1373","579","225"
"Zymobacter","246","192","142","101","383","173","46"
"Candidatus_Portiera","52","36","47","29","62","28","0"
"Candidatus_Carsonella","22","24","16","0","19","24","0"
"Alcanivorax","6165","4791","2877","2253","9588","3884","1348"
"Ketobacter","303","174","102","99","311","145","43"
"Marinobacterium","1661","1394","706","554","2435","936","354"
"Marinomonas","689","444","246","157","546","325","100"
"Thalassolituus","412","245","140","104","392","177","67"
"Venatorbacter","320","210","133","80","391","159","36"
"Bacterioplanes","244","145","85","64","268","128","45"
"Neptunomonas","206","159","95","58","180","101","20"
"Nitrincola","177","155","73","45","206","71","31"
"Amphritea","115","83","42","32","122","46","17"
"Bermanella","64","53","27","15","38","36","0"
"Hahella","1042","771","484","338","1366","629","224"
"Saccharospirillum","589","397","247","183","751","372","116"
"Reinekea","242","212","176","77","289","166","55"
"Gynuella","193","117","89","67","237","102","29"
"Litoricola","359","247","154","103","453","206","88"
"Endozoicomonas","143","126","60","37","143","83","20"
"Oleiphilus","136","99","59","57","179","91","19"
"Spartinivicinus","106","60","38","42","264","27","41"
"Cellvibrio","13998","1364","3131","1313","2972","632","223"
"Teredinibacter","577","333","247","128","554","237","75"
"Simiduia","555","292","214","143","535","254","73"
"Marinagarivorans","147","65","48","28","116","43","11"
"Saccharophagus","124","73","45","32","100","38","14"
"Agarilytica","74","42","28","11","72","42","12"
"Microbulbifer","6969","4772","2862","2175","8679","3719","1188"
"Kineobactrum","1301","874","548","365","1756","743","246"
"Halioglobus","1101","595","385","276","1228","490","176"
"Congregibacter","681","501","280","260","936","402","136"
"Aequoribacter","168","114","64","47","186","98","28"
"Spongiibacter","1054","711","380","315","1243","506","163"
"Zhongshania","238","113","84","55","252","91","24"
"Oceanicoccus","126","69","45","36","121","56","16"
"Methylococcus","7479","6285","3825","2928","11778","4970","1685"
"Methylomonas","4573","3594","2059","1508","5796","2850","873"
"Methylomagnum","2078","1581","1017","729","3046","1368","486"
"Methylocaldum","2066","1554","1053","927","5311","1299","435"
"Methylomicrobium","2216","1732","1066","876","3025","1539","452"
"Methylogaea","1777","1571","875","690","2741","1257","397"
"Candidatus_Methylospira","690","574","306","241","961","378","129"
"Methylotuvimicrobium","797","656","300","232","1005","466","139"
"Methylovulum","304","195","122","103","367","187","43"
"Methylobacter","133","112","45","29","148","74","15"
"Aeromonas","30138","23055","14319","12533","44899","18771","6629"
"Zobellella","1542","1329","772","621","2685","971","388"
"Oceanimonas","685","552","396","233","1117","526","164"
"Dongshaea","202","144","85","62","262","135","41"
"Oceanisphaera","171","145","87","71","218","106","26"
"Tolumonas","176","151","79","55","245","110","32"
"Succinivibrio","37","39","26","19","57","28","15"
"Solimonas","5769","8313","2765","3846","14505","6044","2604"
"Flagellatimonas","1961","1682","875","929","3798","1568","615"
"Sinimarinibacterium","1309","1277","706","725","2643","1126","396"
"Steroidobacter","9260","5226","3910","5139","12847","3738","1052"
"Shewanella","7183","4853","2894","2168","7872","3812","1264"
"Parashewanella","77","46","24","0","50","38","0"
"Alteromonas","1112","887","409","289","1059","552","161"
"Salinimonas","424","314","196","141","468","246","92"
"Hydrocarboniclastica","584","455","272","241","893","346","120"
"Agarivorans","244","152","94","49","223","130","47"
"Lacimicrobium","193","139","77","56","281","110","29"
"Paraglaciecola","190","160","81","47","145","104","47"
"Saliniradius","189","132","112","63","255","96","34"
"Paraneptunicella","104","52","41","24","78","38","21"
"Glaciecola","72","40","24","22","87","29","10"
"Saccharobesus","49","16","13","18","41","19","0"
"Catenovulum","42","30","29","19","41","30","0"
"Pseudoalteromonas","2087","1241","868","549","2548","1172","345"
"Psychrosphaera","74","30","20","12","66","27","11"
"Flocculibacter","45","19","14","0","20","11","0"
"Ferrimonas","728","579","311","279","1008","472","166"
"Thalassotalea","218","121","86","34","177","115","23"
"Colwellia","203","144","72","45","125","98","40"
"Cognaticolwellia","30","16","0","0","24","17","0"
"Litorilituus","27","13","0","0","13","18","0"
"Idiomarina","418","293","139","99","502","186","78"
"Moritella","151","115","66","52","152","110","17"
"Psychromonas","119","76","68","33","123","65","26"
"Sulfurifustis","7410","7303","4606","3661","15110","5685","2131"
"Sulfuricaulis","3357","3523","1831","1504","5535","2279","883"
"Acidiferrobacter","2067","2257","1126","812","3524","1639","512"
"Acinetobacter","7186","3178","2184","1071","4584","2294","687"
"Psychrobacter","1693","502","287","165","664","397","100"
"Moraxella","471","371","209","119","497","284","76"
"Aquirhabdus","121","98","41","28","116","60","24"
"Vibrio","6469","4640","2806","1843","8064","4888","1268"
"Photobacterium","1004","719","551","285","1303","619","231"
"Salinivibrio","286","156","118","66","289","119","36"
"Grimontia","135","166","110","48","175","85","38"
"Thaumasiovibrio","92","37","33","15","72","49","12"
"Aliivibrio","70","54","55","0","56","36","0"
"Paraphotobacterium","18","12","0","0","0","0","0"
"Enterovibrio","12","29","0","0","12","16","0"
"Candidatus_Endoriftia","1061","926","479","383","1501","724","273"
"Candidatus_Vesicomyosocius","46","88","56","33","104","52","0"
"Candidatus_Ruthia","62","42","19","0","23","25","0"
"Sedimenticola","661","574","319","234","1064","406","130"
"Candidatus_Reidiella","490","393","230","187","712","305","95"
"Thiolapillus","408","417","185","171","598","248","80"
"Pseudohongiella","301","198","128","69","363","141","41"
"Gallaecimonas","219","114","74","46","200","101","33"
"Celerinatantimonas","61","44","26","18","82","44","12"
"Candidatus_Thioglobus","46","34","27","15","48","24","0"
"Ignatzschineria","41","35","21","23","45","32","0"
"Candidatus_Steffania","20","0","0","0","16","0","0"
"Candidatus_Pseudothioglobus","19","18","0","0","17","30","0"
"Candidatus_Nardonella","12","21","0","0","14","0","0"
"Legionella","2352","1959","1341","647","1631","1820","457"
"Fluoribacter","99","106","16","14","55","34","23"
"Tatlockia","43","57","31","11","50","35","0"
"Aquicella","546","417","385","190","621","3569","280"
"Coxiella","325","298","158","87","526","245","84"
"Rickettsiella","105","82","37","38","3073","37","14"
"Immundisolibacter","3699","3341","1983","1674","6255","3677","923"
"Thiomicrorhabdus","343","329","155","98","330","206","56"
"Methylophaga","362","335","168","95","431","216","70"
"Thiomicrospira","333","251","139","85","357","211","59"
"Hydrogenovibrio","250","219","121","76","323","162","57"
"Piscirickettsia","86","55","50","18","114","41","21"
"Cycloclasticus","79","66","38","19","85","55","13"
"Thiosulfatimonas","70","82","41","26","88","45","0"
"Thiosulfativibrio","57","75","19","10","47","27","0"
"Thiothrix","1186","948","532","359","1496","626","219"
"Beggiatoa","87","91","51","22","121","54","14"
"Francisella","210","159","74","54","196","238","36"
"Allofrancisella","49","1821","18","11","40","26","0"
"Salinisphaera","4166","1475","1851","1587","3241","2782","919"
"Haemophilus","398","303","138","101","333","241","56"
"Aggregatibacter","300","213","159","84","399","196","52"
"Actinobacillus","297","208","114","98","308","157","47"
"Mannheimia","231","138","110","74","381","137","33"
"Pasteurella","446","725","3630","88","410","556","716"
"Avibacterium","112","58","48","27","103","65","20"
"Glaesserella","81","78","54","52","96","77","24"
"Gallibacterium","70","30","16","0","26","26","0"
"Rodentibacter","58","54","29","0","73","42","17"
"Basfia","49","44","24","22","48","26","11"
"Frederiksenia","40","12","13","0","31","13","0"
"Histophilus","36","21","15","0","30","22","0"
"Bibersteinia","35","0","17","0","79","21","0"
"Bisgaardia","14","12","0","0","0","13","0"
"Otariodibacter","14","13","0","0","11","0","0"
"Vespertiliibacter","12","0","0","0","0","14","0"
"Cardiobacterium","1214","1009","645","431","1764","850","304"
"Suttonella","90","65","52","33","97","44","18"
"Dichelobacter","78","49","38","37","92","33","0"
"Kangiella","277","200","98","80","294","144","47"
"Gilliamella","110","75","47","38","99","65","0"
"Zophobihabitans","27","13","0","0","38","22","0"
"Frischella","21","0","0","0","14","0","0"
"Archangium","84586","57095","39038","18730","86836","223656","7813"
"Cystobacter","14998","8623","6147","6124","52929","16028","2291"
"Stigmatella","10852","7887","5744","3955","11674","9094","2292"
"Melittangium","8424","6045","4381","2656","11519","8764","1619"
"Corallococcus","38865","20002","14862","8968","36030","29633","6402"
"Myxococcus","52246","67694","37356","35838","86882","50407","42697"
"Pyxidicoccus","17405","10216","7790","5055","19618","32941","3539"
"Anaeromyxobacter","64507","62639","44648","23887","97569","62875","17235"
"Vulgatibacter","6858","6288","4727","2721","11051","7009","1828"
"Sorangium","133860","90845","112939","39983","142186","123410","20454"
"Polyangium","21221","22140","22656","10837","35660","21583","5361"
"Chondromyces","9365","8512","7135","4605","17204","10172","2517"
"Pajaroellobacter","161","139","125","62","265","149","31"
"Sandaracinus","35791","49434","34097","14553","55076","28799","10045"
"Labilithrix","12781","11902","9837","5228","18743","15843","3853"
"Haliangium","15920","17441","15044","6383","24569","12763","4254"
"Geomonas","12392","11123","7493","5097","20652","14479","3394"
"Geobacter","10548","9533","6593","4281","18094","10550","2592"
"Citrifermentans","3961","3596","2487","1653","6696","4643","1109"
"Geotalea","1533","1355","921","595","2412","1472","300"
"Geoalkalibacter","1760","1260","926","600","2726","1271","297"
"Trichlorobacter","542","423","325","200","878","454","137"
"Desulfuromonas","8654","7412","4908","3517","14789","7083","2087"
"Pelobacter","1497","1372","964","591","2671","1358","410"
"Syntrophotalea","1668","1382","913","635","2753","1270","405"
"Pseudodesulfovibrio","8243","6424","4445","2885","13322","6323","1830"
"Desulfovibrio","7605","6194","4228","2823","12480","6195","1739"
"Solidesulfovibrio","4496","3695","2417","1665","7723","3876","1102"
"Oceanidesulfovibrio","1986","1659","1077","791","3425","1611","426"
"Desulfocurvibacter","1639","1310","902","596","2580","1145","338"
"Desulfolutivibrio","1630","1211","887","559","2909","1239","360"
"Megalodesulfovibrio","1072","879","606","360","1761","869","246"
"Oleidesulfovibrio","812","713","534","309","1277","607","150"
"Maridesulfovibrio","201","168","127","70","318","149","75"
"Paradesulfovibrio","175","146","82","60","247","143","44"
"Lawsonia","42","37","271","14","64","25","0"
"Desulfomicrobium","1627","1287","845","666","2693","1220","340"
"Desulfohalobium","420","334","242","155","681","307","81"
"Desulfosarcina","3615","2944","2127","1384","6256","2792","828"
"Desulfococcus","864","829","496","376","1771","684","233"
"Desulfatibacillum","603","409","335","234","1066","510","135"
"Desulfoluna","571","463","314","215","934","462","144"
"Desulfonema","401","267","196","165","499","224","60"
"Desulfobacter","334","274","182","103","453","197","60"
"Desulforapulum","224","164","113","92","399","179","34"
"Desulfobacula","61","49","39","21","96","63","22"
"Desulfobulbus","2119","1801","1138","852","3605","1780","490"
"Desulfurivibrio","793","643","447","314","1394","604","202"
"Desulfomarina","127","96","52","34","123","85","15"
"Desulfosudis","762","613","413","312","1310","601","182"
"Desulfosediminicola","350","255","179","119","455","220","78"
"Desulfotalea","123","92","48","42","146","82","21"
"Desulfocapsa","67","81","49","26","115","33","13"
"Persicimonas","4951","4270","2936","1949","8048","4154","1217"
"Bradymonas","2445","2012","1463","848","3882","1925","613"
"Syntrophobacter","1768","1465","1102","651","2980","1425","341"
"Desulfoglaeba","1023","985","674","487","1931","918","239"
"Desulfarculus","3208","2492","1760","1245","5990","2626","602"
"Desulfomonile","442","397","260","166","695","280","84"
"Desulfobacca","441","326","257","160","702","354","83"
"Syntrophus","360","347","239","162","606","320","100"
"Dissulfurimicrobium","168","208","152","72","393","205","57"
"Candidatus_Desulfofervidus","80","114","76","39","218","115","19"
"Hippea","31","39","26","25","86","48","12"
"Campylobacter","1262","909","644","419","1514","919","262"
"Sulfurimonas","706","672","415","263","1222","600","177"
"Sulfuricurvum","56","274","37","20","75","51","12"
"Helicobacter","672","486","378","244","953","598","144"
"Wolinella","70","74","43","22","122","45","11"
"Nitratifractor","304","236","178","103","568","252","71"
"Sulfurovum","239","207","127","82","308","162","47"
"Hydrogenimonas","325","292","188","105","506","277","79"
"Arcobacter","107","44","36","31","104","53","21"
"Aliarcobacter","79","72","29","14","79","69","18"
"Malaciobacter","49","37","27","13","60","41","0"
"Halarcobacter","25","23","11","0","36","16","0"
"Pseudoarcobacter","15","0","0","0","19","21","0"
"Sulfurospirillum","242","180","105","73","270","177","44"
"Nitratiruptor","112","110","57","42","112","79","30"
"Nitrosophilus","81","102","61","18","146","126","21"
"Caminibacter","65","75","58","27","156","71","31"
"Nautilia","52","50","34","13","97","47","11"
"Acidithiobacillus","2352","3255","1391","888","3676","1752","552"
"Bdellovibrio","1454","2252","1705","324","1163","672","238"
"Pseudobdellovibrio","112","122","60","19","79","51","22"
"Bacteriovorax","159","130","58","25","87","62","0"
"Halobacteriovorax","104","92","47","0","88","38","15"
"Fluviispira","56","44","26","0","36","35","0"
"Silvanigrella","39","20","0","0","39","27","0"
"Hydrogenophilus","903","700","441","325","1382","691","198"
"Mariprofundus","466","405","260","167","703","323","125"
"Microbacterium","269839","106896","71159","36354","182736","118380","34481"
"Agromyces","98860","43727","28601","11228","56680","36896","10844"
"Agrococcus","40955","13821","9703","5033","25418","16131","5103"
"Curtobacterium","28422","17269","12031","7026","34095","22164","6958"
"Rathayibacter","26710","16627","11218","6571","31990","20226","6329"
"Leucobacter","23170","13647","9181","5152","25778","15524","5166"
"Leifsonia","32408","14906","10734","7244","31167","19377","6965"
"Clavibacter","27123","21157","13177","7239","32554","20339","7875"
"Protaetiibacter","13128","6825","5112","2549","11253","8405","2622"
"Salinibacterium","9369","5108","3539","1869","9322","5666","1759"
"Cryobacterium","7171","4046","2714","1711","8305","4644","1621"
"Frondihabitans","5652","3409","2349","1337","6553","4265","1425"
"Microterricola","5677","3356","2188","1370","7169","3785","1338"
"Plantibacter","5121","2881","1934","1113","5463","3477","1077"
"Microcella","5761","3977","2509","1392","6396","4199","1368"
"Herbiconiux","3746","2113","1457","906","4017","2596","882"
"Cnuibacter","3772","2346","1683","866","4358","2824","874"
"Frigoribacterium","3787","2115","1509","882","4361","2698","783"
"Mycetocola","3325","1963","1313","807","3983","2243","767"
"Subtercola","3083","1791","1268","707","3504","1934","659"
"Gryllotalpicola","3162","2065","1481","882","4028","2717","905"
"Chryseoglobus","2959","2070","1262","722","3280","2163","660"
"Amnibacterium","2970","1776","1209","711","3218","2118","677"
"Humibacter","2833","1692","1223","716","3323","2189","812"
"Marisediminicola","2291","1374","947","516","2597","1653","506"
"Diaminobutyricimonas","2220","1242","866","531","2501","1319","540"
"Gulosibacter","2326","1631","1131","580","2817","1946","548"
"Glaciihabitans","1635","956","618","372","1765","1036","359"
"Agreia","1561","977","662","363","1737","1045","380"
"Aquiluna","322","265","176","97","412","167","56"
"Rhodoluna","309","155","131","82","332","174","51"
"Pseudoclavibacter","405","277","224","110","516","277","94"
"Aurantimicrobium","290","162","118","43","313","154","57"
"Pontimonas","144","96","65","32","171","104","15"
"Arthrobacter","129987","38913","27613","20067","98292","61756","15190"
"Kocuria","86421","13519","9192","6830","35373","16260","5426"
"Pseudarthrobacter","33763","8882","6190","3772","19896","12072","3254"
"Micrococcus","12006","8186","5366","3983","17790","9730","3537"
"Sinomonas","7289","4814","3356","2127","10619","6501","2010"
"Glutamicibacter","6917","3815","2662","1784","8679","4698","1443"
"Citricoccus","6153","2134","1471","1173","6583","2753","910"
"Paenarthrobacter","6428","2711","1961","1378","6438","5308","1031"
"Rothia","4583","3216","2053","1533","7152","3493","1245"
"Nesterenkonia","1141","626","464","285","1525","748","246"
"Paeniglutamicibacter","696","386","261","118","815","443","138"
"Psychromicrobium","463","297","202","99","635","302","104"
"Neomicrococcus","496","248","186","119","557","331","105"
"Auritidibacter","321","208","138","83","470","194","55"
"Renibacterium","248","128","114","60","288","163","46"
"Cellulomonas","138080","53741","36412","20828","100414","65274","20615"
"Actinotalea","7258","3681","2334","1458","7222","4236","1453"
"Oerskovia","4880","2501","1741","991","4864","3242","968"
"Pseudactinotalea","3182","2087","1503","932","4197","2515","766"
"Paraoerskovia","3014","1799","1090","711","3389","2141","680"
"Janibacter","21907","8961","6421","3810","19675","11585","3742"
"Phycicoccus","19090","7449","5151","3325","16283","9966","3125"
"Intrasporangium","12328","4085","2812","1749","11562","4499","1522"
"Pedococcus","9310","3651","2815","1812","8126","6135","1749"
"Tetrasphaera","6864","3010","2139","1349","6447","4786","1468"
"Arsenicicoccus","5434","3331","2251","1398","7262","4100","1362"
"Cellulosimicrobium","39983","18778","11958","6435","31860","23561","6008"
"Xylanimonas","12774","8110","5595","3313","16483","10870","3190"
"Isoptericola","11594","6954","4878","2882","15504","9105","2655"
"Ornithinimicrobium","24631","12137","8381","5512","28283","13805","4997"
"Serinicoccus","17505","9388","6260","4011","21215","11045","3769"
"Brachybacterium","36564","14116","9314","5734","29661","16819","5645"
"Dermabacter","2146","1576","1156","693","3031","1636","598"
"Devriesea","345","247","140","122","433","276","108"
"Brevibacterium","23069","15652","10285","6407","32642","17736","5767"
"Georgenia","22181","13063","9050","5622","27663","21648","5058"
"Sanguibacter","21431","4842","3131","1926","9271","5925","1902"
"Dermacoccus","6239","3890","2735","1648","7691","4883","1491"
"Luteipulveratus","4009","2299","1556","897","4773","2781","891"
"Allobranchiibius","3319","1967","1382","891","4329","2518","866"
"Yimella","2280","1172","861","518","2768","1589","488"
"Ruania","14138","8517","5797","3663","18569","10181","3383"
"Beutenbergia","5823","3579","2496","1376","7197","4581","1373"
"Miniimonas","6410","3517","2353","1457","7331","4131","1600"
"Pengzhenrongella","6690","3772","2587","1511","7425","4885","1567"
"Luteimicrobium","5010","3304","2167","1292","6429","4126","1313"
"Gephyromycinifex","1442","940","640","392","1913","1089","327"
"Austwickia","1208","750","541","327","1566","826","297"
"Dermatophilus","343","196","140","108","409","216","79"
"Kytococcus","3388","2132","1421","991","5615","2580","967"
"Demequina","1175","682","438","305","1419","805","243"
"Jonesia","284","154","91","67","298","107","48"
"Tropheryma","66","63","49","14","82","35","11"
"Streptomyces","1386368","941289","907743","410799","2089363","1545910","431870"
"Kitasatospora","22283","16531","10956","7541","37787","19997","7844"
"Streptacidiphilus","14399","10410","7297","5137","24453","15126","5342"
"Yinghuangia","6392","4349","2944","1981","10022","5576","1829"
"Mycolicibacterium","215061","122491","82010","45510","215441","185236","39280"
"Mycobacterium","173712","114131","77119","48095","207914","178835","46004"
"Mycolicibacter","15012","8068","5369","3603","17829","10731","3587"
"Mycobacteroides","11240","6136","4035","2957","15084","7346","3376"
"Mycolicibacillus","2461","1510","976","701","3779","1941","645"
"Hoyosella","912","573","380","268","1280","766","238"
"Rhodococcus","132253","66581","45221","29185","146323","89293","28322"
"Nocardia","91856","62994","44939","26302","127035","82015","25783"
"Corynebacterium","60891","42975","29066","18418","90016","48413","16233"
"Gordonia","56146","32572","21081","13381","65178","37228","12566"
"Skermania","2153","1424","931","678","3221","1744","615"
"Tsukamurella","15606","13817","6874","4572","21479","12538","4062"
"Dietzia","11599","6436","4445","2638","13578","7567","2763"
"Tomitella","5263","3559","2420","1561","7910","4502","1465"
"Segniliparus","1132","841","544","347","1616","978","391"
"Lawsonella","234","138","76","81","325","178","35"
"Nocardioides","613966","233227","185206","96709","584138","336772","79396"
"Aeromicrobium","44244","19496","13969","8643","49076","24601","7982"
"Marmoricola","11747","4689","3472","2117","12030","7316","2100"
"Friedmanniella","9802","3972","2698","2242","11854","4872","1870"
"Pimelobacter","9962","5308","3698","1993","11582","7350","2167"
"Mumia","5439","3107","2325","1356","7326","3950","1163"
"Micropruina","2926","1768","1176","859","4394","2050","675"
"Microlunatus","25488","12176","8158","6059","31691","14215","5503"
"Tessaracoccus","21182","12613","11193","5534","29428","18765","7445"
"Brevilactibacter","8381","6060","3871","2857","13683","6581","2402"
"Propionibacterium","6689","4629","3135","2013","10504","5497","1926"
"Acidipropionibacterium","6990","5362","3313","2315","11728","5463","1991"
"Auraticoccus","5258","3071","1942","1324","7716","3357","1223"
"Cutibacterium","27654","2431","1592","1140","5077","4242","923"
"Arachnia","2641","1670","1230","869","4031","1966","720"
"Raineyella","2718","1824","1131","810","4182","1947","798"
"Vaginimicrobium","173","96","83","60","192","95","27"
"Kribbella","21150","11995","8576","5693","27283","14224","6411"
"Actinopolymorpha","6644","6070","3950","2551","12133","6521","2126"
"Micromonospora","279164","334287","131198","83459","356828","183028","188956"
"Actinoplanes","192671","73838","51738","44885","144384","136906","36051"
"Phytohabitans","32283","23136","16361","14388","48632","21417","12396"
"Couchioplanes","28687","9004","6727","5467","18648","21450","5762"
"Plantactinospora","26726","14392","9466","7896","32509","18639","9129"
"Catellatospora","24656","28734","12850","8598","24655","11228","5916"
"Dactylosporangium","19742","14323","8788","5837","22850","16683","7032"
"Actinocatenispora","15294","10176","6721","5434","22325","13130","5966"
"Polymorphospora","11675","7119","4386","3608","15052","10260","4171"
"Natronosporangium","5979","3534","2273","2665","8724","4055","1986"
"Verrucosispora","6934","3615","2432","2010","8956","4761","2165"
"Salinispora","3508","2370","1383","1159","4700","2673","1436"
"Pseudonocardia","180064","93775","62648","43258","200894","91021","29282"
"Amycolatopsis","154075","100558","68942","48471","218321","124503","54651"
"Lentzea","40290","8927","6842","2922","15995","21428","9231"
"Saccharopolyspora","36872","26745","18211","11644","63255","26855","9267"
"Saccharothrix","33987","20762","13695","11172","45597","24682","9233"
"Saccharomonospora","25198","15004","9897","12018","36760","65932","5301"
"Kutzneria","17520","11658","7689","6254","27612","16176","7974"
"Allokutzneria","13115","41499","41266","5617","29175","6820","2552"
"Actinoalloteichus","9875","6632","4541","3002","14965","8076","2785"
"Actinosynnema","11480","7279","5078","3537","16528","8915","3201"
"Kibdelosporangium","8361","6140","4037","3000","17441","6345","3070"
"Alloactinosynnema","6340","4561","2811","2155","9822","4802","1697"
"Prauserella","3430","2765","2036","1079","5375","3024","914"
"Allosaccharopolyspora","3351","2503","1654","1089","5622","2696","837"
"Geodermatophilus","142605","12109","8647","5439","28743","31429","5135"
"Blastococcus","132499","21317","15806","8978","52087","41732","8373"
"Modestobacter","69293","15283","10835","7622","36371","33724","7408"
"Nonomuraea","65149","66335","55040","55898","161991","88091","26469"
"Streptosporangium","53822","15344","13636","9346","40250","27102","8722"
"Thermobispora","6233","5098","4635","2762","11966","7562","3150"
"Actinomadura","78428","72926","56227","47387","161579","106867","32189"
"Thermomonospora","14226","11202","8338","6760","31201","97158","6692"
"Nocardiopsis","23446","16539","13465","7390","35595","18672","6520"
"Thermobifida","10065","6089","4282","7016","17660","9025","3029"
"Streptomonospora","4498","3316","2248","1650","8499","4377","1619"
"Spiractinospora","2730","2112","2119","834","4313","2421","831"
"Actinomyces","25000","18189","11895","7707","39190","20617","7028"
"Schaalia","3541","2588","1811","1116","5165","2835","865"
"Flaviflexus","2341","1618","1077","631","3199","1854","541"
"Trueperella","1856","1545","1019","604","2939","1492","551"
"Pauljensenia","1083","922","557","365","1804","879","349"
"Nanchangia","840","593","372","257","1189","726","215"
"Actinotignum","343","210","179","83","461","289","91"
"Actinobaculum","330","233","162","97","517","267","86"
"Arcanobacterium","302","227","152","81","381","225","51"
"Changpingibacter","290","182","128","64","440","187","81"
"Mobiluncus","183","157","130","80","347","186","42"
"Varibaculum","87","81","56","45","136","85","18"
"Boudabousia","70","51","29","26","107","52","18"
"Fannyhessea","48","67","43","27","79","56","14"
"Frankia","31661","22124","14738","10725","51524","27092","11372"
"Jiangella","22254","21020","13300","7214","41212","17184","6781"
"Nakamurella","14557","7852","5203","4092","19334","9513","3827"
"Bifidobacterium","14721","12056","7694","4904","24699","12163","4139"
"Parascardovia","231","194","129","89","418","148","64"
"Gardnerella","84","75","54","20","147","90","29"
"Scardovia","52","40","24","19","70","33","0"
"Catenulispora","7213","4930","3448","2433","11102","6237","2581"
"Jatrophihabitans","5872","3552","2365","1855","8230","4989","2049"
"Kineococcus","6254","3187","2187","1566","7870","4156","1473"
"Stackebrandtia","4443","3120","2083","1451","6588","3296","1379"
"Natronoglycomyces","728","486","305","216","1013","511","238"
"Epidermidibacterium","3815","2599","1797","1305","5581","3186","1165"
"Actinopolyspora","2315","1840","1108","858","4139","1924","706"
"Acidothermus","1648","1268","915","562","2693","1436","584"
"Candidatus_Planktophila","432","267","240","103","506","284","98"
