"","SRR17036901","SRR17036899","SRR17036897","SRR17036898","SRR17036900","SRR17036904","SRR17036902","SRR17036903"
"453783",467689,5411,4703,8425,5560,311955,218129,29760
"9606",88782,465868,69448,108299,163443,114394,130376,107226
"1883",350546,190963,440124,429143,322603,201971,280947,246690
"319939",163294,1976,2507,2527,1956,1559,1830,1959
"2781735",9990,8068,130037,10976,8798,4683,7385,10695
"1894999",59081,94951,71769,127825,77752,82538,56313,78309
"40324",39030,14551,9420,15204,9069,127492,57963,9969
"861299",117767,37248,27760,28936,69686,61113,84484,56718
"2565559",111099,281,140,188,91,481,332,182
"2898793",16190,34102,109049,39945,35133,21235,19382,29195
"374",85026,83770,63250,61435,54937,105291,67021,96966
"1542730",15050,32308,105039,38534,32872,20197,18170,28743
"416169",12237,26929,105035,78223,16712,17397,14688,14858
"1766",20871,1972,5165,103980,2722,7206,3900,3116
"1710",71628,4199,7595,96961,6837,4046,12423,4522
"40323",91864,17858,16504,28250,12859,53139,27222,14014
"85006",70401,45471,86704,79421,72077,36526,56885,45598
"356",84115,72949,65558,65010,52134,86480,60819,80171
"2842456",1840,84233,6006,1221,49283,11106,4491,1555
"1389922",58867,824,859,1962,859,82221,25997,5635
"191495",57950,22188,67371,80353,41361,31371,61404,38324
"80840",65854,73834,40369,40982,43374,51271,50497,50995
"1873",54257,30783,71371,66565,60705,28478,46291,37172
"286",71141,61004,66401,67950,51232,53832,50155,55512
"2851650",68464,1740,3690,3275,2544,3192,15576,2701
"2884022",52270,22117,64365,67130,41799,27168,41388,34711
"85023",40652,27238,66921,54963,41641,22357,33797,27456
"666685",8542,18905,65934,49384,11451,11643,9690,10305
"338584",7190,3654,8583,60469,6661,4991,9205,5359
"32008",38706,58779,40366,30867,32630,30795,30106,29675
"32033",25667,33244,29309,55570,24092,20167,20077,23095
"304895",30155,17437,55225,44303,36086,19288,24039,23257
"157920",55158,3469,5975,11082,5456,3196,7089,3673
"119060",29568,54541,29281,21404,19660,27310,22789,24897
"2933797",27745,15376,50165,27728,37518,8592,28329,13107
"2015316",15905,33405,4967,16877,49554,6010,4260,4296
"2997333",38090,17717,49192,45020,37445,18394,31226,23668
"46165",15627,10461,48358,22380,19252,9345,29986,11962
"128785",48014,3113,3365,16426,2490,2390,2365,3058
"85007",36058,21965,45646,47450,34356,21628,28006,26593
"1762",34740,19867,43221,47297,31064,23376,25676,26435
"95486",6378,26464,14097,3939,46843,4102,3677,6007
"2937800",27544,11554,40532,46666,19925,17959,18626,22425
"2703788",1536,46504,5463,1925,3545,10002,1451,4073
"496014",35319,16858,46385,44171,33134,17683,28543,22964
"56",44294,19177,21594,23441,23811,25766,45511,27343
"1861",24943,16288,45501,29677,40776,8142,26807,12613
"1849581",3175,45182,16527,8336,4263,8970,5138,6018
"2812560",37117,17014,44702,44630,30697,17414,29901,22601
"35754",25857,18658,27219,27164,44043,12266,28838,16185
"28056",34014,17280,43967,40764,33821,17257,27690,23605
"2937801",25774,10790,36393,43527,19855,16582,17076,20432
"2944128",16570,19456,43513,37677,25936,8201,15543,12683
"1827",38990,18584,36981,43305,28626,19395,24100,23129
"33882",41958,18285,41359,37257,27365,14972,22113,18758
"13687",28536,29249,14858,12942,17053,41693,22033,29058
"1866885",30066,15739,34424,41677,24515,20385,20856,22455
"2851648",41614,1560,7026,13636,2091,1182,1886,2667
"138336",22663,13068,41303,24588,32937,7451,23411,11215
"2756133",28365,211,254,626,168,41198,13851,667
"72557",39773,967,1002,1130,923,4324,4103,951
"1822464",13877,39462,19637,12021,10838,14724,11726,12381
"1725411",25421,14355,39397,27985,22682,14656,23480,18214
"2795216",2452,38812,9133,1723,15550,1581,1339,2372
"477641",21817,13560,38529,25563,33466,7631,22446,11505
"2599293",4373,5529,38222,22429,5729,4356,5517,5214
"2949664",33187,18589,37342,37575,26401,15627,27029,20376
"1763",26341,13968,37417,37567,20268,20730,18452,25753
"940133",18224,18947,9704,6208,9973,37186,13958,24241
"53362",35933,7592,20477,7779,25329,4041,10991,4243
"2070",23716,14345,34536,35528,24812,12883,19679,17224
"2062",23878,14147,35304,33637,25432,13144,19143,17638
"1906273",34592,338,638,2271,602,443,3801,423
