"","SRR17408286"
"1482074",2471
"2055",2467
"2662028",2466
"2571746",2464
"2714944",2464
"655015",2457
"34029",2455
"67287",2455
"217203",2451
"3009077",2449
"535",2448
"2699395",2446
"2567934",2445
"28214",2445
"488447",2444
"1915",2442
"80865",2440
"3028710",2438
"343",2438
"83461",2433
"279",2430
"83618",2418
"2020412",2416
"2527983",2416
"1894",2415
"2566013",2414
"2872652",2409
"2825844",2408
"179636",2405
"36809",2403
"372663",2401
"1063",2398
"2857060",2394
"3032282",2392
"3064286",2391
"339",2389
"1747",2388
"398694",2387
"3039386",2386
"2059884",2384
"2968084",2384
"43668",2381
"2653200",2379
"2724914",2379
"1801",2378
"2986949",2375
"2528022",2374
"3034022",2373
"1431246",2371
"273677",2371
"67267",2371
"1907",2366
"1541170",2363
"1768",2363
"184914",2362
"227605",2360
"3064278",2356
"2583243",2351
"3015149",2350
"386911",2348
"414996",2346
"871742",2343
"2653203",2340
"931866",2339
"2942449",2338
"67367",2338
"1442032",2334
"3016093",2332
"3024246",2329
"1793",2327
"186189",2327
"402297",2327
"2082949",2324
"33996",2323
"68200",2322
"1355015",2318
"83453",2317
"3075197",2314
"43356",2313
"2282523",2312
"1736046",2303
"767452",2301
"587753",2300
"151783",2297
"1719132",2297
"1736691",2297
"404405",2295
"1858653",2293
"283",2292
"2599401",2290
"2821406",2290
"1522432",2288
"1534349",2288
"589382",2288
"114686",2287
"887464",2287
"2662397",2286
"2695266",2285
"2911537",2284
"2969247",2284
"1711",2283
"3058426",2282
"234",2280
"2528010",2275
"2968085",2275
"2509459",2274
"35621",2274
"29549",2273
"3061626",2273
"2742204",2271
"38300",2269
"2738409",2268
"659012",2266
"1325107",2264
"2303331",2264
"3016092",2262
"340345",2260
"2528024",2258
"2599600",2258
"2483799",2257
"2508882",2257
"1179673",2253
"333966",2253
"75294",2253
"2527989",2252
"11",2251
"2914710",2251
"2970906",2249
"2528026",2245
"2736649",2242
"322009",2242
"391905",2242
"2201350",2241
"2735133",2241
"2714844",2239
"2589976",2237
"2801029",2235
"2822761",2235
"2654547",2233
"2213200",2232
"2994496",2232
"413882",2232
"84595",2227
"2935861",2226
"3016090",2225
"593909",2225
"2072505",2223
"639200",2223
"1795630",2217
"219314",2215
"75385",2215
"2498704",2212
"2608402",2211
"3068633",2208
"29580",2207
"60550",2207
"2838850",2203
"1619308",2202
"67282",2198
"2603206",2196
"2932247",2196
