"","SRR14320323","SRR14320322","SRR14320321"
"522",1676,1624,1024
"252970",1675,1641,906
"2714925",1503,1673,1080
"1002689",1671,1608,727
"1353889",1669,1209,912
"1652028",1666,1653,1253
"192843",1517,1666,959
"2935861",1469,1666,911
"84595",1647,1666,1043
"2789856",1560,1664,1037
"1793",1558,1660,1331
"748280",1660,1559,977
"2944250",1657,1621,1094
"2063",1460,1654,897
"261302",1559,1654,986
"2496847",1652,1366,739
"2994664",1558,1652,1056
"12916",1236,1651,1233
"2992140",1589,1649,1273
"3055079",1649,1633,1240
"1603606",1647,1164,479
"43669",1643,1647,1252
"47312",1646,1643,1177
"83627",1507,1646,1324
"134537",1536,1643,990
"1938334",1217,1642,1313
"185642",1529,1641,1062
"2820884",1641,1536,893
"2028343",1398,1639,1336
"1549949",1312,1638,1578
"1926494",1543,1638,930
"2493678",1638,1584,1122
"2742204",1586,1636,1095
"2762729",1401,1636,1612
"3003247",1629,1623,1521
"445709",1625,1535,909
"2736649",1531,1624,1590
"39687",1338,1622,1556
"662",1455,1621,1128
"98668",1318,1187,1620
"2962047",1608,1619,1051
"2758041",1518,1618,1143
"1357074",1615,1282,731
"2966192",1400,1613,936
"2954088",286,77,1612
"2698828",1190,1453,1611
"2493679",1609,1522,1181
"964",1424,1608,1091
"247333",1517,1604,1047
"36809",1545,1604,1161
"1763828",1463,1603,1158
"2748629",1539,1603,1193
"2818388",1445,1603,769
"106370",1596,1573,879
"2744516",1546,1595,1076
"53451",1595,1591,1056
"266009",1594,1036,1205
"285",1530,1593,1168
"1936029",1501,1591,1506
"2857059",1331,1591,1373
"1288495",1435,1590,1065
"1795630",1544,1588,1025
"279",1454,1587,1117
"1826607",1539,1585,894
"92645",1584,1546,1085
"1355015",1468,1578,896
"2294034",1465,1578,872
"85012",1434,1578,804
"2778876",1577,1247,994
"2929795",1519,1577,995
"1823759",1576,1192,465
"80860",1512,1573,980
"262324",1572,1361,983
"42256",1483,1572,738
"551759",1571,1428,667
"146937",1391,1570,907
"1458425",1384,1568,886
"2672569",1568,1519,955
"2865837",1567,1507,1066
"3065910",1446,1567,1081
"1763535",1563,1532,858
"80878",1220,1563,1239
"1735038",1443,1559,868
"2099694",1505,1559,1538
"2861782",1547,1559,875
"2594265",1422,1557,1031
"2607753",1486,1557,874
"2963406",1450,1557,940
"2875729",1176,1115,1556
"3039155",1177,1554,1288
"322009",1553,1541,982
"263913",1292,1349,1552
"2898441",1552,1094,712
"337004",1412,1551,949
"2815343",1550,1434,769
"169427",1520,1549,933
"447217",1549,1506,694
"220927",1486,1547,1095
"1933880",599,606,1546
"887061",1546,1059,1213
"77608",281,1543,102
"1538159",1221,1542,1234
"356851",1318,1542,887
"3020055",1492,1541,1073
"43348",1360,1541,1248
"2560053",1469,1540,1151
"371142",1540,888,704
"3025663",1263,1537,1394
"152682",1355,1486,1531
"2735528",1446,1364,1530
"3002640",1356,1530,871
"1125847",1180,1468,1529
"1891644",1380,1529,914
"2736875",1330,1528,1282
"502682",1148,1447,1525
"152500",1463,1523,883
"2861285",1175,1462,1522
"44010",1403,1522,1146
"1270",1466,1521,886
"2493671",1404,1521,1067
"2601677",1521,1383,695
"2023229",1243,1520,1441
"132473",1473,1519,958
"234612",1517,1479,895
"2341112",1355,1514,1043
"3057176",1514,1441,771
"1460244",1512,1488,927
"3061626",1300,1512,847
"53360",1395,1511,888
"386490",1510,646,212
"2420509",1408,1507,918
"1041",1065,1323,1506
"1432792",1505,1319,710
"2663859",1505,1496,958
"863372",1415,1504,1014
"2575923",1453,1503,931
"147645",1355,1502,1092
"2760083",1335,1502,830
"2726118",1474,1501,986
"2725560",168,1500,1312
"2759707",1385,1500,1207
"1184720",1344,1498,1494
"2895818",1498,1461,932
"444597",1271,1497,1197
"335928",1384,1495,1184
"2597769",1494,1376,530
"2735906",1418,1032,1494
"2583243",1318,1493,859
"2182384",1099,1383,1490
"1138194",1276,1487,1139
"2219043",1465,1487,792
"2721246",1396,1487,1043
"912",1389,1486,1147
"1285901",1386,1485,870
"2527982",1260,1484,575
"33883",1255,1484,1258
"2184083",1482,1343,671
"242606",1370,1482,874
"2781021",1481,1311,890
"1325115",1214,1480,1457
"2968086",1336,1480,927
"323450",1328,1480,684
"392734",1429,1479,621
"279058",1424,1478,990
"2867231",1111,1252,1478
"388950",1259,1476,725
"3015999",1174,1313,1473
"549",1351,1392,1472
"311180",1470,1471,942
"948107",1471,1443,956
"1385591",1470,1450,909
"1938605",1149,1470,1456
"2493681",1470,1388,1094
"3019890",1239,1470,1320
"2763498",1469,1357,929
"289370",1469,968,952
"444444",1339,1469,1056
"80842",1340,1469,1023
"1894",1461,1468,854
"2483404",1468,1440,1029
"75385",1340,1468,890
"1682490",1467,1375,818
"875808",1443,1467,921
"2654982",1367,1466,862
"59732",859,1466,1211
"32013",1352,1465,1169
"459526",566,1144,1465
"1325090",1416,1463,1262
"2599293",1412,1463,902
"40990",1238,1463,671
"582702",1370,1462,903
"2691571",1460,1455,1158
"111831",1444,1459,771
"231455",1407,1458,880
"293958",1299,1458,1375
"2589080",1427,1457,969
"1197460",1261,1456,1101
"133",1343,1455,948
"2170729",1454,1330,967
"1881017",1453,1145,1210
"2762325",1371,1452,792
"361183",1079,1238,1452
"2681547",1450,630,310
"475937",1372,1450,1163
"540747",1450,1429,872
"2699395",1448,1385,973
"871203",1442,1447,855
"1969806",1402,1444,877
"106591",1443,1342,1072
"2731096",1343,1443,1151
"2072414",1442,1344,1018
"40137",1356,1442,1048
"1648182",1440,1395,813
"3071081",305,1438,84
"84159",1291,1438,807
"1325095",1303,1437,1144
"75692",1435,1287,766
"2830992",1434,1206,693
"2593973",1327,1432,989
"34007",1373,1432,980
"3074146",1430,986,555
"1755504",1428,1244,753
"482957",1254,1427,757
"3027808",1228,1426,1047
"2875706",1373,1425,882
"1268041",1305,1424,892
"1930058",1369,1424,877
"28104",1424,1152,894
"284035",1304,1424,841
"3026161",1308,1424,1143
"1077935",1152,1423,787
"1920",1383,1421,827
"273251",1350,1421,972
"758793",1419,1421,933
"2675524",1282,1420,1192
"2752316",1236,1420,916
"85968",1345,1418,1134
"2812658",624,664,1417
"2662261",1342,1416,817
"80868",1101,1416,980
"1534349",1263,1415,1322
"2053930",1415,1221,894
"708113",1415,1408,1251
"1446794",1396,1414,898
"2592654",1375,1414,879
"1384459",1350,1413,912
"914",1316,1411,808
"94625",1411,1313,1405
"1033854",1410,1353,778
"1804990",1294,1410,836
"1874630",1268,1410,878
"1912",1324,1408,820
"120959",1276,1406,1018
"1826872",1006,1406,1000
"1907575",1285,1406,769
"2879618",1405,1236,716
"1389713",1296,1403,927
"1987723",667,1403,708
"75309",1361,1401,862
"1829",1400,1383,865
"2984842",241,230,1400
"1069221",1269,1398,840
"3038773",1367,1398,868
"2878150",1300,1397,794
"2898276",1356,1397,887
"312306",1397,1327,856
"256618",1395,1373,837
"2909249",1082,1346,1395
"57975",1390,1395,829
"93221",1345,1389,817
"2588711",1257,1388,826
"2987701",1388,1187,715
"2024551",1387,1257,723
"341045",1376,1387,924
"352",1387,957,588
"2708338",1315,1386,903
"95485",1386,1320,827
"1484693",1240,1385,945
"340268",1307,1385,1291
"157592",1384,1208,769
"293089",1214,1384,1069
"148447",1320,1383,784
"1853232",874,1382,511
"2905871",1366,1382,947
"1161",816,1381,688
"36821",1266,1380,788
"59814",1377,1141,995
"69665",1257,1376,1360
"536018",1375,1241,1019
"1211807",952,568,1373
"3016006",1281,1373,883
"334852",1238,1373,1117
"1404411",1289,1371,1005
"1881061",1323,1369,899
"2203210",1306,1369,773
"1085",1262,1367,815
"319707",1241,1367,1233
"2838156",851,1366,692
"2880218",1366,1350,808
"79328",914,1366,925
"3039154",1153,1365,1176
"682798",1235,1364,739
"2961893",1363,1181,750
"1332264",1242,1362,772
"1961362",1120,1362,1302
"1663591",1295,1359,821
"1250539",1239,1356,774
"2591109",1355,1287,746
"2742145",1321,1353,927
"290",1167,1353,952
"3064529",1220,1352,745
"41276",1204,765,1351
"926",1258,1351,737
"1335048",1246,1350,848
"1285192",1228,1349,798
"1908",1152,1349,888
"655015",1185,1348,830
"1071679",1347,1316,795
"1972068",1296,1347,717
"2615214",1328,1346,790
"414996",1173,1346,725
"1208324",1281,1345,867
"2606451",1068,1345,1199
"2840373",1246,1345,836
"1579979",1344,1332,778
"1740163",1157,1344,792
"2587851",1098,1274,1344
"444103",1275,1344,739
"562",1058,1122,1344
"2041385",1209,1343,1063
"381",1341,1342,955
"2760307",1083,1341,905
"2866808",1341,1023,784
"2995166",1249,1341,959
"310575",872,1341,789
"1812935",631,361,1340
"1273155",1338,1216,724
"2609257",1275,1338,860
"2038343",1265,1336,683
"2072413",1059,1335,951
"3016092",1143,1335,694
"2779775",1278,1334,850
"497727",1334,1157,455
"2981137",1315,1333,822
"1259258",1160,1331,870
"47671",1330,1274,789
"1882747",1256,1329,1046
"2780091",1241,1328,859
"2976824",1103,1328,1184
"2878153",1327,1257,709
"1661694",994,1325,485
"28209",1177,1325,889
"293",1073,1038,1325
"2055955",1090,1233,1324
"436397",1255,1324,832
"1575",1304,1323,838
"2582831",1232,1322,836
"3015149",1302,1321,728
"187137",1277,1320,647
"717785",1320,1274,933
"2083284",1312,1319,827
"1858609",1070,1318,1007
"2602070",1224,1318,570
"2811104",1267,1317,832
"2054",1263,1316,739
"2597660",1222,1316,768
"2812648",1316,1165,720
"3025669",309,1316,440
"2807096",1260,1314,886
"2830995",1313,1066,597
"2734",1188,1308,668
"332249",1162,1308,671
"1545728",1182,1307,1048
"240521",1103,1307,1275
"1767",1144,1304,812
"286727",1111,1304,1215
"2974552",1303,1170,744
"1777866",1302,1177,869
"2781022",1302,1156,789
"168695",1146,1301,761
"37923",1248,1299,794
"2831106",1005,1298,878
"300028",1211,1298,803
"123899",1297,1280,926
"1793722",1219,1297,807
"199596",1256,1296,842
"2758710",1150,1296,787
"33069",1296,1213,834
"2201999",1072,1295,645
"1437453",1190,1294,740
"2005885",1256,1293,944
"2211108",1293,1142,635
"1136941",1178,1291,851
"2665643",1212,1291,755
"2744515",1291,1155,915
"108010",1212,1290,686
"521689",1290,1217,680
"28099",1084,1168,1289
"3024247",85,43,1288
"3051137",1077,1287,935
"73141",1188,1287,702
"2897773",1228,1286,933
"35806",1157,1286,809
"1742989",1013,813,1285
"2886359",156,1285,275
"993502",958,1284,1254
"2942909",1283,1243,869
"373",1115,1282,1036
"1207504",1204,1280,778
"2527979",1151,1280,655
"66374",1171,1280,724
"2692330",1279,1000,620
"2059672",1220,1278,771
"2175648",1201,1278,795
"2806210",1278,1199,667
"2999062",1234,1278,753
"1784719",1276,1269,863
"1935379",1276,1254,889
"39122",1251,1276,727
"60894",1199,1276,739
"2774189",1194,965,1275
"337191",1203,1273,758
"683047",1079,1272,931
"2021234",1231,1271,763
"1981173",1115,1268,1000
"2731112",1040,1268,960
"2738142",1000,1268,1082
"2762331",1175,1267,778
"413496",1267,1067,719
"86188",422,1267,478
"1760988",1265,1214,726
"3039801",1244,1264,1033
"200644",852,1263,651
"2894310",1162,1263,863
"1108595",1215,1260,799
"2838157",819,1258,625
"1555112",1242,1257,598
"2742602",1214,1257,726
"674079",1070,1256,734
"1945512",306,598,1254
"420953",1227,1254,794
"311230",1220,1253,770
"2740807",1251,1128,596
"57480",1251,1174,725
"2857058",1249,1238,1009
"2932245",1199,1246,817
"2764705",1245,1059,647
"3028808",1081,1244,807
"3064531",739,887,1244
"345632",1244,1201,453
"2725477",1242,1158,772
"1778",1142,1240,834
"1792508",1230,1240,854
"2319844",930,1240,1095
"3050069",1164,1240,837
"133453",1126,1239,550
"1940612",1239,1180,798
"1644061",1091,1238,580
"380021",1238,1188,842
"2995140",1060,1237,1091
"1004901",1146,1236,753
"3049047",1201,1236,756
"3016090",1154,1235,709
"2066070",1234,1160,849
"2995145",1176,1234,836
"2175620",1167,1232,834
"2708084",1130,1232,791
"85021",1025,1232,739
"3009083",1004,1144,1227
"1905847",1181,1226,807
"279113",1216,1226,841
"61624",1224,1219,612
"1671680",1144,1223,738
"1704044",1223,1163,723
"1897060",1222,1211,790
"649841",1222,1000,730
"2183911",1221,1179,670
"266",1181,1221,822
"2973512",1221,1204,552
"2725414",892,1220,824
"2994661",1219,851,458
"2008795",1218,1167,774
"664962",1070,1218,868
"2759167",1217,1191,1004
"2994496",1200,1216,821
"186931",1188,1215,654
"2231055",1215,1061,719
"69395",1028,1116,1215
"2017484",1175,1214,917
"3015156",1111,1214,700
"2873270",1176,1213,812
"60548",1066,1213,708
"2175645",1074,1212,781
"1850250",1157,1207,711
"2731681",1207,922,548
"204434",1142,1206,396
"3073268",1135,1204,870
"3016096",1042,1202,624
"111015",1141,1199,750
"1612173",1148,1199,793
"1943633",1080,1199,723
"3037258",76,26,1199
"1662285",929,1163,1198
"477680",769,1198,608
"1310165",1197,1134,708
"266951",905,1120,1197
"536",1197,1188,747
"659350",1068,1196,706
"69362",1006,1196,984
"561184",1087,1194,692
"1639348",1171,1193,654
"467975",1080,1192,575
"29543",1117,1190,398
"126673",1189,1186,1078
"1749",1122,1189,628
"2527984",1189,1115,627
"47960",1187,1181,668
"1703340",933,1040,1186
"171865",1185,1124,733
"357808",1001,1185,559
"36822",1051,1184,717
"1775",1140,1183,973
"3030011",888,1182,827
"56459",1182,1066,810
"722731",1072,1182,841
"2830996",1181,1007,547
"34002",952,1180,681
"1784",1069,1178,880
"399497",1001,1177,659
"1069220",1035,1175,756
"2911538",1175,1157,805
"2842456",1173,1112,701
"2917727",1016,1173,860
"2995154",1080,1173,924
"333966",1015,1173,608
"1756988",1172,1155,780
"391905",1148,1172,789
"2795974",1098,1171,591
"1248727",1170,1038,591
"134",1142,1170,845
"1644131",1018,1170,701
"33075",1105,1170,529
"1263728",1052,1167,783
"1404367",1000,1167,1097
"2823043",1047,1165,683
"2660554",1074,1164,655
"2982692",1164,1143,676
"3073562",1133,1164,837
"1548547",1163,950,569
"311231",1071,1163,659
"376489",1110,1163,641
"56689",1101,1163,1018
"1295382",1161,1085,644
"188770",1151,1161,725
"1404768",948,1160,1052
"3026420",1124,1158,800
"1005039",1101,1156,507
"2841594",981,1156,681
"644",1130,1156,714
"2830983",1155,966,532
"1748",1142,1154,768
"487698",1142,1154,784
"2020312",984,1153,967
"1646340",420,927,1151
"1503054",1098,1148,650
"1230998",1055,1147,649
"1404443",1036,1147,985
"3045175",851,820,1146
"2811422",1143,1026,624
"191493",1047,1141,634
"507",1140,852,835
"2527995",1099,1139,596
"2571030",948,1139,564
"1617967",1138,1091,452
"370622",1138,1121,892
"72557",1137,1104,799
"2768071",1062,1136,674
"2996004",1134,1123,920
"3016341",1133,1050,563
"1547487",1036,1130,860
"3047874",1130,563,197
"317577",969,1130,662
"488446",1130,1127,634
"656178",1029,1130,628
"379895",946,1129,786
"654",1027,1129,711
"33052",801,912,1128
"2507582",982,1127,574
"1774",1065,1125,806
"2745498",125,128,1125
"2954084",611,598,1124
"420952",1124,1122,733
"913",1048,1124,1023
"1192162",1087,1123,719
"1481672",207,1123,147
"2607656",816,1122,534
"3045156",916,1122,869
"2918299",983,1121,813
"640205",1121,790,575
"1491",647,1119,1117
"560555",932,1119,866
"2880219",1096,1118,600
"3041765",978,1118,625
"2039870",922,1117,654
"502394",1012,1116,592
"2653853",1115,900,577
"556499",1091,1115,615
"34004",1114,1109,763
"85016",1113,1108,878
"1703338",858,897,1111
"564369",1078,1111,618
"1402135",1110,1098,771
"2748080",1110,886,598
"363952",1033,1110,889
"78587",931,1047,1110
"93219",1070,1110,634
"1301032",806,1109,879
"2880990",1108,743,597
"1522758",1107,1064,672
"165301",807,1107,626
"1508451",1008,1105,772
"1610493",1105,1059,635
"656179",1105,1082,641
"1561022",1104,1001,660
"321983",1076,1104,898
"69578",1018,1104,718
"2871174",343,1102,267
"3040935",1028,1101,686
"453842",1098,1101,988
"2972478",1100,887,547
"28453",645,1099,623
"336203",813,886,1099
"33996",1099,1070,751
"1294143",1098,951,539
"2486855",1098,1035,677
"2493677",1098,1039,816
"577492",1012,1097,891
"120962",955,1094,518
"1660",1079,1094,630
"1493872",127,307,1092
"68192",1034,1092,643
"169430",1090,1012,614
"446683",733,1090,625
"475662",1077,1090,624
"1486262",1018,1089,818
"38310",1089,1003,688
"2605946",1087,1012,748
"2795215",1087,1066,798
"3016089",992,1087,635
"1053",1086,1078,558
"2800818",847,1085,1063
"1799",1081,1084,985
"2766784",853,1084,876
"2829815",1084,1080,737
"2893890",1084,934,637
"204037",1083,1019,689
"2995143",824,918,1083
"200252",994,1082,607
"2840468",867,845,1082
"470",653,742,1082
"3047478",1080,1001,814
"3064287",986,1080,717
"2527972",1079,1046,505
"2770551",1079,1077,692
"1561023",1078,961,655
"227605",1078,1004,725
"60136",1001,1078,728
"1592106",1024,1077,456
"1842536",326,442,1075
"2077182",942,1046,1074
"857417",950,1073,674
"2705472",1072,852,619
"1331258",1003,1071,718
"134536",1071,1045,645
"1813451",728,988,1070
"2683590",950,1070,653
"489632",1070,596,1031
"1503055",1069,1021,625
"2498452",1028,1069,692
"1729695",1018,1066,713
"2831662",973,1066,649
"2742129",875,1064,681
"423349",664,1064,577
"67308",928,1064,780
"1962974",1038,1063,553
"2792603",1063,1056,573
"522259",1020,1062,737
"2086471",869,1061,742
"309887",1053,1061,623
"1176587",705,1060,579
"2895559",976,1060,667
"2920382",659,1060,639
"1069",1002,1059,617
"1332080",617,738,1059
"125",1058,984,578
"351052",1045,1057,591
"2587844",1055,1005,597
"53376",908,1055,713
"3015163",993,1054,589
"99653",1053,1039,605
"206351",1051,952,607
"2211210",1007,1050,663
"31957",914,1049,577
"2816454",986,1048,764
"2847045",1046,825,357
"2303750",118,1045,122
"1725",995,1044,616
"1761016",1023,1044,665
"2175646",1044,948,636
"405212",1010,1044,427
"414",1044,905,544
"56450",1040,1044,736
"2915130",975,1043,618
"2483403",1041,990,735
"2964606",510,1041,933
"68280",997,1041,745
"173479",896,1040,284
"2546351",1040,1039,538
"2811421",946,1040,558
"3036127",946,1040,577
"339268",1040,1022,762
"555316",1040,954,847
"1325564",1039,992,455
"2962065",1031,1038,669
"311182",1038,1002,612
"2664893",377,467,1037
"280",949,1037,648
"2911539",1037,1011,668
"2495594",1036,1000,417
"71999",998,1035,635
"244734",934,1034,894
"43617",1034,827,691
"469",896,1034,957
"511",1034,679,576
"2419844",1031,1012,748
"1396826",988,1030,652
"2764185",1030,932,612
"2744517",1028,927,688
"281472",982,1028,597
"53635",1011,1028,494
"1897061",969,1027,645
"2676868",652,1027,575
"459858",910,1025,716
"76758",973,1025,638
"1379910",836,1024,506
"2961531",515,473,1024
"1906273",1022,994,931
"1913979",1018,1022,625
"2760310",977,1022,646
"980254",964,1022,528
"1659",1015,1021,629
"1495650",954,1020,465
"1768",903,1019,680
"2494374",882,1019,858
"2682487",355,1018,426
"2081791",977,1017,876
"204286",1007,1016,565
"479978",981,1016,611
"106634",1014,994,540
"419475",1014,858,712
"701042",893,1014,756
"1806885",714,845,1012
"2856555",1012,966,633
"47759",969,1012,632
"1279031",159,181,1011
"2763107",929,1011,398
"3068889",1011,974,481
"67294",785,1009,468
"279828",971,1005,671
"472693",1005,497,308
"569860",976,1005,727
"28256",989,1004,545
"1658672",883,1003,614
"658446",606,1003,472
"2697363",920,1001,648
"518",1000,943,611
"2306583",745,954,999
"2560787",256,999,350
"1712261",990,998,627
"2065379",964,997,633
"135613",994,942,515
"396595",992,963,562
"1978566",974,991,644
"2835787",890,991,736
"3016419",920,990,616
"590652",920,990,757
"506591",964,989,604
"1267768",965,988,566
"155177",895,988,568
"215813",914,988,619
"322509",928,986,545
"1744",918,985,595
"2678260",985,862,635
"546160",867,985,550
"47853",906,984,555
"36808",863,982,532
"2726185",964,981,488
"157782",979,869,622
"1705399",799,979,558
"3024245",524,790,979
"1211322",952,978,474
"2795488",978,910,625
"2719023",875,977,394
"60552",903,977,596
"1049",973,976,519
"139021",927,975,606
"1075",938,974,720
"1719132",890,973,652
"2927975",910,973,439
"280333",819,972,700
"454662",470,971,940
"2259622",970,782,691
"169765",850,969,606
"1788",969,902,700
"2862331",889,968,703
"2987688",648,968,399
"33900",968,963,600
"82367",907,968,679
"2600596",966,811,504
"37914",868,966,539
"3014995",814,965,494
"2954085",162,26,964
"2979324",964,777,541
"398694",866,964,575
"63745",964,919,541
"712122",886,964,600
"114707",962,628,342
"2726956",957,792,962
"2895796",903,962,695
"73919",946,962,417
"2931382",961,805,596
"364197",961,717,488
"482",961,921,551
"1073531",836,960,635
"1872427",932,960,550
"2211211",935,960,548
"103816",943,958,658
"186188",958,883,826
"2259340",891,958,680
"2835531",957,732,434
"470076",927,957,694
"2952527",929,956,524
"186802",775,955,437
"190323",905,955,685
"2527978",887,955,433
"2943498",955,896,601
"2910158",702,949,953
"3016103",790,953,509
"72000",876,953,504
"2011159",820,952,900
"2603292",924,952,603
"3031330",917,952,584
"1562974",856,950,627
"2017485",902,950,782
"2071",575,950,482
"1945662",824,949,687
"52771",917,948,497
"342113",941,947,543
"2932250",769,945,500
"2762576",944,827,592
"1919",864,942,518
"47850",915,942,535
"32011",939,714,611
"1225769",899,937,548
"2220095",814,937,591
"2773266",917,937,587
"2811424",937,869,610
"168471",935,782,541
"2746321",630,503,935
"2735433",821,934,516
"2867238",824,770,934
"141349",933,926,740
"1399",931,448,164
"2840183",931,856,462
"74329",746,866,931
"1765967",930,863,510
"940614",858,929,401
"1499686",927,640,461
"2175650",915,927,657
"219687",783,927,272
"925818",870,925,711
"66428",827,924,495
"1750",845,923,539
"29314",877,922,655
"3074897",905,922,684
"55395",611,922,681
"1411621",715,921,522
"1780",818,921,588
"553982",921,913,491
"1534348",920,918,833
"2594795",920,899,632
"2745197",609,920,512
"3039385",891,920,546
"93218",920,894,548
"2596912",857,919,514
"32012",884,919,518
"94869",610,654,919
"249058",856,917,531
"292462",899,917,699
"2175655",916,804,552
"1837283",884,915,566
"2775496",903,915,711
"2211140",832,914,364
"3015167",816,914,521
"36873",897,912,563
"1461694",860,911,609
"110505",897,910,672
"1938841",859,910,525
"2060",909,893,559
"2968969",909,769,820
"377615",824,909,420
"1915078",908,897,590
"2502781",593,907,365
"2991729",907,871,635
"39775",906,903,510
"453230",856,906,479
"1891094",761,905,489
"2724121",806,812,905
"68175",810,905,575
"1173025",464,904,337
"2654282",866,904,621
"34003",796,903,587
"394964",902,854,506
"1798806",707,900,663
"1678128",864,899,606
"2703787",655,815,899
"242605",836,898,541
"2885079",873,898,645
"1917485",851,897,575
"2771012",897,839,467
"2984530",807,897,575
"2705399",896,830,476
"1120045",685,895,511
"2898442",739,892,885
"3068640",829,892,394
"1040979",856,891,525
"2045451",473,891,377
"400092",777,891,451
"2267833",767,888,763
"2600304",813,888,464
"2726189",714,785,888
"2939415",347,888,440
"2952571",632,888,604
"501023",825,888,522
"1032851",795,887,496
"2609255",734,887,498
"2932492",349,885,839
"486698",841,885,675
"458032",783,883,374
"2527980",802,881,419
"416",881,783,509
"1009682",880,812,498
"1550733",769,880,846
"173366",861,880,622
"1609966",847,879,600
"2799564",166,877,71
"3061629",731,876,454
"79329",572,876,845
"126",829,875,418
"1548548",858,875,421
"270",875,866,395
"2980557",273,875,249
"1789",866,874,550
"2020486",874,748,435
"3074437",873,874,521
"119981",858,873,468
"488731",851,871,518
"2884455",850,870,518
"943830",753,870,627
"1273",866,869,602
"2867236",655,829,867
"42255",776,867,426
"179879",866,858,538
"2108470",667,866,420
"223392",836,863,522
"2906062",605,470,863
"347534",863,839,500
"37931",863,784,430
"1484118",709,862,446
"128",807,861,451
"2071627",652,861,397
"2738409",798,861,553
"2878391",849,861,526
"2584094",777,815,860
"2979468",740,860,523
"1379909",629,859,482
"2021862",834,859,581
"28232",859,734,306
"3026192",849,859,574
"405559",655,859,458
"293088",837,858,656
"2954101",149,36,858
"2991715",858,835,522
"1114970",154,107,857
"2051957",818,857,425
"2716227",856,802,516
"531813",817,856,594
"81479",790,856,444
"2860258",837,855,500
"1306787",840,854,506
"1134435",853,824,335
"2080419",766,852,487
"2813744",779,852,547
"345370",852,827,481
"1084",851,842,454
"1851",739,851,427
"2704462",851,843,498
"370038",820,851,437
"63",753,851,566
"67258",851,827,674
"1620421",850,833,634
"204461",850,772,351
"1608628",849,758,443
"1649486",708,849,763
"172043",713,784,849
"2742",849,799,514
"2027857",847,225,147
"1395974",779,846,700
"2203219",607,846,552
"400061",846,807,509
"656366",846,753,536
"1028989",796,845,529
"1883416",845,780,483
"132919",795,844,543
"2823875",525,476,844
"2991728",779,844,680
"386911",810,844,626
"43356",639,844,354
"1564506",840,843,493
"1081866",841,816,502
"816",609,841,548
"1691904",716,622,840
"1802",700,725,840
"86265",413,430,840
"2982694",839,804,456
"2175666",818,834,609
"2745495",817,834,505
"1134687",667,518,832
"158080",832,776,428
"2708301",822,831,496
"255984",672,830,808
"2943192",830,830,441
"3034026",830,767,477
"1694",737,829,416
"2571029",829,821,626
"2822761",823,827,530
"2829499",649,827,467
"84566",507,827,398
"2703788",782,826,339
"1219",536,825,804
"1302308",825,782,635
"1849581",825,811,567
"221822",740,825,503
"323449",691,825,404
"1734031",824,750,485
"2866627",805,824,351
"28901",824,782,706
"940615",777,824,336
"2565368",823,352,284
"2841257",823,763,469
"195913",563,822,382
"225992",673,822,523
"2583231",754,816,822
"2895490",822,282,428
"2185142",620,734,821
"225326",821,798,502
"2875540",584,821,406
"959",591,821,488
"3051119",754,819,603
"191494",743,818,367
"199591",811,818,494
"186192",690,817,429
"249567",778,817,562
"1897729",788,816,470
"3046670",709,816,614
"1484116",667,815,414
"1903858",708,815,758
"2828862",814,767,474
"156980",782,813,523
"3026162",766,813,531
"2493674",811,772,557
"712270",771,811,458
"187303",756,810,540
"2202141",800,810,477
"254250",746,714,809
"686597",692,808,535
"2079792",806,782,525
"308754",775,806,530
"2953657",801,805,534
"2908006",804,705,538
"2583377",761,802,452
"1564114",801,787,549
"2293838",697,799,336
"2724122",799,717,735
"2986919",798,788,535
"191028",741,797,513
"2781024",797,747,504
"12960",794,722,348
"1898684",750,640,794
"2025949",791,794,555
"413497",403,389,794
"146939",793,754,649
"2789739",793,792,511
"2894192",783,790,477
"237609",789,651,493
"2587849",741,788,491
"244596",750,787,527
"2856823",737,787,495
"1765049",770,786,565
"2737050",737,786,443
"2867516",390,493,786
"470931",774,580,785
"9",521,785,732
"114687",743,784,474
"1783348",664,784,417
"2840474",783,777,577
"2690837",746,782,427
"886343",734,782,575
"1325114",594,781,711
"207340",773,781,611
"1419277",662,780,539
"46352",703,780,512
"2678258",737,751,779
"328692",719,779,447
"2779671",744,778,525
"125287",632,777,447
"150123",702,776,475
"3041175",699,776,436
"907364",667,775,406
"1715989",753,774,314
"195105",772,774,611
"2493670",771,774,546
"1933044",772,740,351
"2743089",772,724,455
"2961596",717,772,435
"1870985",771,742,393
"196013",645,771,418
"512402",662,771,497
"2735434",708,770,439
"134034",650,769,482
"89184",716,768,544
"3058420",633,767,430
"2169400",704,766,584
"2613965",697,766,516
"2777556",742,766,474
"692036",750,766,366
"2587852",758,765,476
"2831968",685,764,411
"1404741",730,763,566
"1416614",689,763,348
"574727",649,762,677
"2930199",752,761,459
"2773308",759,705,411
"2855503",755,759,582
"84112",759,748,448
"2678257",302,262,758
"301",512,435,758
"104087",756,599,521
"2497861",756,723,445
"2822760",677,756,510
"146922",688,755,482
"388459",733,755,638
"1414719",677,754,344
"2675878",576,754,407
"412384",753,531,321
"1526572",698,751,495
"2933562",523,648,751
"39491",751,106,109
"69218",549,572,751
"2764720",333,750,454
"332158",555,750,419
"2747268",458,749,559
"2798804",748,710,459
"83262",681,748,516
"2916410",737,747,338
"3029055",747,719,444
"159346",739,746,456
"55080",680,746,397
