"","SRR14320323","SRR14320322","SRR14320321"
"48935",6037,7323,9633
"2986923",9618,6709,5032
"2714952",8000,9610,6396
"139208",9097,9598,8745
"2807512",7622,9559,3975
"409290",9534,6189,3546
"354356",5714,9482,7081
"2840469",8828,9469,7328
"386874",6896,9452,6980
"2872154",7155,9444,6649
"2518371",7468,9432,6616
"2020412",5753,6511,9409
"41294",8628,9378,6788
"1437360",8856,9335,6939
"2914710",7530,9297,5943
"50338",5099,5904,9137
"2760705",7385,9129,6312
"135621",9117,8173,5184
"2792008",7738,9112,2503
"80816",9093,8778,4596
"674703",9041,8973,6651
"2760089",7258,8958,6187
"1391654",7048,8954,4484
"1798224",6257,8951,3750
"1842539",7398,8239,8928
"2996826",7424,8903,6272
"290399",8879,5923,3320
"2918170",8873,8482,3486
"449461",7619,8855,6462
"436515",8852,7174,6180
"3064139",7166,8837,7798
"164546",8390,8800,5532
"135614",8792,8680,5712
"113562",4168,8739,4808
"2732487",8731,8496,3305
"2975441",7258,8680,5580
"2962064",6572,8570,8610
"103733",6596,8564,4721
"1176646",6082,8559,6540
"1794",5229,6315,8534
"88688",6017,7183,8519
"445576",6558,8449,5797
"2851598",8428,6906,4348
"627192",6269,6966,8394
"2675225",6069,7617,8358
"56458",8358,7824,7287
"287",8344,6947,5238
"1838286",6994,8331,4356
"1176536",5040,6455,8274
"1357915",8260,6627,3873
"2290922",8248,7948,5004
"35754",7956,8243,4749
"2879617",8242,6514,3776
"2714938",6795,8240,5707
"157920",8232,7890,7308
"2202149",8221,7389,4869
"266062",8189,8130,7801
"211114",7750,8124,2928
"2782641",6945,8111,6505
"3043848",6873,8090,5840
"404589",8084,7721,3187
"2822368",8076,7615,4836
"1105204",7718,8074,7442
"343",8057,7589,7468
"2509455",7104,7990,5333
"413882",6544,7985,4760
"1795631",7980,7707,6105
"2698682",7953,6881,4739
"3014784",4973,6902,7951
"1882749",6376,7877,4228
"2108445",7874,6027,4841
"639200",6605,7857,5280
"339",7828,7353,5779
"160791",6811,7818,7584
"1368430",2161,2875,7773
"2575374",7765,5522,3194
"52",5779,7750,5455
"2013",7522,7742,4499
"61645",7741,1378,5989
"1045317",6009,7731,6066
"2527974",6728,7715,4545
"2901869",7707,6207,6093
"2268449",4976,7694,3111
"2053",7116,7677,4496
"2986920",4896,7673,3170
"2954077",2707,3241,7670
"2931983",7668,6410,4380
"204455",7296,7611,4549
"41",4409,7597,4577
"477641",6541,7583,3963
"310581",4713,6295,7582
"36814",3764,5235,7568
"1016987",4661,5672,7540
"2899123",5627,7151,7520
"2792015",2181,3550,7485
"2780074",4789,6000,7471
"2651199",7449,5704,3367
"216778",7448,6918,5858
"82633",6984,7424,4473
"2663857",6359,7419,5465
"1597781",5997,7407,4547
"68212",6971,7396,6897
"2799326",7380,6704,4732
"419476",6255,7369,5276
"1836",6186,7336,3643
"361575",7336,6271,3506
"2599640",6195,6860,7333
"85698",5457,7322,3667
"1690815",6283,7315,2807
"69367",2549,7305,3206
"65656",7288,5757,2470
"204447",6816,7281,5644
"2558918",6146,7278,5009
"2493668",7213,5922,5668
"2836373",5465,7199,4097
"2782665",6206,7188,6007
"2486272",7058,7185,5227
"748247",7184,5971,2800
"2762611",7178,6325,4072
"2653857",7174,6341,5638
"465721",7157,6965,5275
"747",3405,7152,6556
"2594473",5801,7131,6255
"2978974",5389,6563,7123
"1707",7096,7110,5421
"2071607",5424,7103,5967
"372663",6979,6799,7103
"2774875",7098,6121,4941
"2728827",7086,6867,3814
"1882682",5641,7085,5991
"2800373",7065,4329,2346
"83655",7059,643,685
"376175",5714,7029,4112
"160826",5885,7008,5119
"1355477",6269,6973,5511
"2843216",6086,6960,4166
"2715959",2525,6957,2641
"1198456",2529,2345,6939
"47880",6928,2811,2770
"1658665",5868,6917,4991
"41275",6067,6822,6908
"2969431",15,377,6901
"515361",6546,6866,6567
"2592334",5776,6864,4585
"1909395",6241,6836,3761
"215691",6784,5989,4098
"2749991",4891,4645,6782
"2973976",6782,6156,3153
