"","SRR4142418","SRR4141180"
"3015151",6494,22124
"758802",5566,22075
"2745196",13586,21981
"1892855",6916,21951
"47865",5727,21941
"1451",21852,10371
"2981138",7387,21748
"47858",6213,21745
"2897332",6035,21681
"419479",8475,21634
"2789776",8876,21623
"3028804",6570,21595
"83637",8342,21359
"1798224",7566,21351
"2653857",7257,21285
"47872",5488,21175
"1472",21168,1267
"2898149",6636,21096
"2268449",7375,21081
"338",8242,20986
"37326",9381,20771
"722472",8018,20689
"642780",3738,20617
"2917724",5279,20570
"2742128",6608,20558
"43357",6231,20546
"2931390",4801,20529
"3037797",6872,20516
"384",8479,20494
"2763008",4363,20451
"299152",5543,20449
"165695",6733,20305
"3039155",8613,20264
"588673",6078,20262
"2714939",4462,20107
"321984",1487,20060
"2843215",6325,20003
"40323",19591,19973
"2518370",4650,19839
"114",6764,19811
"1223566",14432,19768
"747",6794,19762
"1914461",5085,19759
"363835",3796,19727
"2714944",3121,19674
"2582905",4581,19671
"53362",4784,19663
"1725411",8813,19649
"2894081",4389,19614
"85009",3864,19607
"119045",6329,19596
"1219491",6508,19573
"3039159",6511,19570
"543",19570,9484
"227318",4978,19564
"399",6978,19562
"356852",5618,19544
"270351",5945,19542
"1641402",5343,19541
"2591108",6227,19511
"1141883",4685,19468
"1387353",5649,19412
"2797636",11221,19257
"390989",4870,19253
"1708",5154,19179
"466153",5437,19085
"2001",5586,19054
"222",7427,19051
"2898796",4305,18995
"261654",5137,18924
"41275",6761,18881
"2769491",2631,18862
"2013",5331,18859
"2764186",3486,18821
"255045",6649,18770
"2843216",5836,18760
"1881",5067,18616
"871203",2909,18613
"34072",6056,18557
"1707",4844,18476
"1891675",18418,505
"39691",5452,18396
"1636152",5368,18333
"1794",4884,18333
"165697",6376,18329
"85698",11930,18315
"135735",18309,933
"504468",4825,18308
"659352",5562,18293
"1716",5338,18228
"944492",5814,18228
"115808",6184,18200
"304895",4951,18199
"1162966",2187,18198
"288000",6451,18194
"223967",4954,18190
"357",3507,18144
"2548456",10186,18134
"1411117",5587,18022
"211114",6237,17957
"1804986",5876,17953
"114615",6106,17917
"1984785",17847,66
"2750812",6150,17816
"2782654",5572,17808
"2984843",4235,17790
"1855352",5096,17781
"2760089",4151,17727
"2903901",6539,17702
"2034",4822,17686
"2996826",4015,17682
"1877",5257,17641
"1420889",4826,17617
"1750527",5195,17571
"164546",9076,17516
"2899123",16122,17445
"2651334",5448,17434
"1971",5649,17429
"37919",4673,17403
"80816",6994,17401
"2017486",3947,17338
"82115",7881,17191
"3015177",6032,17177
"2995223",5007,17146
"39689",4582,17145
"292",17117,8408
"2598579",5795,17071
"53461",3967,17040
"1521768",8053,17025
"2878388",5291,16984
"47875",4966,16981
