"","SRR17036901","SRR17036899","SRR17036897","SRR17036898","SRR17036900","SRR17036904","SRR17036902","SRR17036903"
"43767",10572,2754,5373,15226,4070,3382,3709,3269
"196914",9810,4889,15224,11356,10350,5393,8035,6605
"649831",10175,5203,15209,11564,11057,5413,8320,6917
"3068632",15207,1854,1920,5131,1903,2764,2373,2585
"1219491",10776,6168,14509,15200,10750,5968,9186,8142
"710705",10062,3325,15179,14473,6130,5740,6883,7994
"2728827",11266,5657,14070,14811,10681,6625,15155,8068
"2053",13100,7592,14959,15151,11940,7744,9899,9234
"41294",12132,11508,8802,9249,8244,15069,9098,13540
"659012",8362,2150,4813,15022,3471,1890,3114,2613
"3049772",9789,14976,6416,7287,7083,14925,8374,12905
"101571",6540,14895,8295,5755,6385,5360,5310,5405
"2903901",14895,5790,7777,5355,7426,6162,9960,5466
"53358",10793,6749,14772,12450,12159,4779,8112,6917
"2722752",12301,5047,8087,14753,8150,5779,8706,6340
"2789776",14713,5412,7402,9422,8475,6739,9265,7010
"2020412",14635,1570,1721,5126,2011,2563,2371,2505
"2587808",7071,1805,3172,14633,2675,1721,3068,2032
"103731",7468,4519,14418,10028,7146,4095,6042,5285
"2932773",10641,5660,14374,13655,10369,5899,9227,7790
"1836",10602,6267,12866,14127,10277,5989,8201,7436
"715473",9960,5104,12556,14100,8952,6016,7627,7700
"1764",7505,3964,14089,12556,5491,6939,4754,8522
"2013",10340,5813,13491,14071,10391,5650,8261,7193
"68287",14036,11771,12215,12390,8718,12950,10041,12123
"231455",2859,14018,11621,8300,3972,4438,3517,4562
"88688",13995,7848,9672,8079,8722,9150,13575,7677
"1268",11077,8127,13855,13777,11124,8339,9906,9902
"1707785",10798,9124,3108,2637,3855,13848,5341,9661
"3014784",13837,3202,4436,2487,2798,5085,3863,5865
"2763498",2699,13836,10881,8204,3673,4215,3042,4256
"1817",8423,4955,13825,12297,7998,5766,6689,6726
"2884263",13820,5970,8541,9905,9170,6722,9656,6989
"56438",10203,5045,13815,11321,10489,5190,8306,6534
"3075432",10436,5215,13789,12606,7475,6882,8392,8342
"2750812",9623,5271,12575,13667,8988,5645,7845,7248
"912630",2064,1264,3293,13654,1774,5711,1845,1280
"67304",10475,5657,13517,12403,7667,6652,8252,8008
"82380",13499,2137,4788,4592,3177,1954,2834,2534
"69",7695,6327,7014,13460,6799,4914,6363,5389
"191",12363,10345,13369,10438,8115,10735,8515,9725
"2589903",5314,13349,5410,3118,5142,6281,5557,7113
"2849779",13282,5628,8382,9712,8625,6140,9289,6554
"701042",3919,1887,13023,7518,2714,4031,2019,4770
"2843215",12973,7620,11825,12741,10646,7046,10666,8623
"2020",7621,3714,11033,12924,7890,4224,6085,5567
"2840469",8582,10764,5359,6083,5934,12871,6605,12666
"2789216",12852,2794,3079,2577,1904,3940,2070,2320
"511",3338,12836,3129,2686,4107,6304,8170,7636
"588673",9644,3573,11992,12711,6707,5250,7080,6613
"946334",9356,4965,12626,10777,9503,5048,7696,6299
"85015",9651,6943,12480,12574,11510,4849,7627,6341
"2010829",3411,10794,12572,11758,4926,4168,3549,5467
"28095",7924,12506,9020,6853,6156,6337,6433,6235
"2714944",6606,8092,3431,2649,3662,12499,5058,8025
"871742",3770,5719,2539,2524,2969,12445,6613,3643
"2006",7905,3969,10793,12418,7842,4568,6068,5865
"2843216",12392,7601,10672,11248,10547,6284,10254,8077
"122358",9138,4692,12390,10855,9059,4912,7693,6452
"1325095",8801,6295,5424,2642,3479,12386,8097,11424
"1325112",8525,5238,4895,2380,3024,11763,9655,12368
"2136173",7454,4042,11081,12339,7514,4305,5947,5499
"2704468",7584,3997,12228,12294,7568,4694,6021,6109
"1988",7249,4027,11214,12273,7889,4137,5898,5655
"294",12261,4233,4176,4111,3323,4079,3398,3525
"3040509",8574,4519,12257,9888,9267,4765,7361,5994
"2764186",6939,7979,3757,2938,4014,12249,4922,7529
"3004093",9589,4008,12245,10843,5916,5493,7349,6720
"217203",12143,2328,2282,2416,1978,4738,2601,2236
"37326",9393,5075,12108,11754,8405,5867,7523,7115
"1658665",4731,4424,2823,2945,4097,5265,12053,3312
"134536",3457,6996,4397,2071,4283,8976,4297,12044
"3052846",9277,3633,12014,8636,7335,4976,8314,6383
"86188",11998,650,193,200,214,469,446,423
"1865",7604,3895,11945,9460,8626,3982,6475,5311
"543",4534,11942,4643,4093,4057,5854,6571,5912
"41275",11892,7191,7678,6737,6673,7863,9579,7989
"3016096",2079,3293,2898,3116,11874,1011,1676,1373
"164546",11870,8275,7185,7148,5966,6885,6881,6847
"2732249",11823,3716,2889,3630,6027,8453,6328,7655
"3075199",6306,4212,11817,9232,6876,3507,5509,5091
"1904616",10454,3408,11734,10919,5860,5392,7582,6931
"3034358",3331,11720,5103,2603,2534,3285,2928,2736
"314722",6154,5255,5125,11716,4932,3270,4350,3842
"33910",8967,3813,11706,9659,7152,5002,7644,6176
"3004092",6070,2893,11662,10442,5920,3037,4497,3965
"2558918",7610,7129,11660,9429,10822,3769,6257,4922
"406548",11660,4350,9407,9572,5892,9744,7312,9694
"34071",7884,10861,3519,3270,6979,11603,5119,7503
"488446",1699,7079,4425,2528,11589,1747,1540,1530
"48",8577,4095,11564,9095,5919,6771,5861,6585
"1855352",7959,4537,11541,10645,8638,4085,6638,5341
"2981136",11491,3191,9081,8485,5283,6490,8237,7836
"2849501",9304,7049,11122,11101,11459,4397,7568,6475
"455432",7385,4445,11447,10496,7157,5074,5791,6156
"1866",8211,4635,11437,9567,8475,4605,6839,5381
"43357",8227,4409,11110,11437,7330,4319,6274,5747
"47989",8933,4694,9322,10323,11430,4679,7383,6239
"2731680",11424,68,379,898,293,162,885,159
"2726118",3920,1579,11414,6712,3455,2234,3382,2585
