"","SRR4140275","SRR4140276"
"549",1283402,6527
"1883",590212,653955
"283686",21955,650800
"2865833",97036,435315
"9606",138674,346259
"356",301822,346049
"2494702",313387,402
"374",311425,300070
"470934",295797,10395
"60548",73124,289289
"1404",195602,226596
"1861",104711,184443
"2067958",180890,4997
"286",169822,178178
"371036",177768,423
"477641",81166,155094
"1873",124819,150747
"80840",136996,117214
"3039158",95829,132833
"53335",129110,5212
"191495",87382,128850
"2884022",84537,128419
"674703",102106,121358
"85006",108421,120557
"13687",113308,102265
"2812560",65331,107926
"2933797",58412,105004
"28056",81395,104498
"2997333",72631,102073
"379",67364,101639
"861299",99735,92818
"1894999",97646,82596
"2951806",34220,97473
"2851567",35626,96756
"1839",64642,96242
"41297",95432,95913
"624315",37919,91771
"56438",48039,90979
"1882682",62115,88305
"1890302",86233,444
"407",71440,85285
"1866885",57684,83876
"138336",43369,82561
"1762",61825,79135
"496014",54389,79111
"34071",13224,77576
"196914",50424,77462
"3018446",22638,76739
"85023",62211,75801
"2800373",59818,75774
"2949664",48442,75724
"2782641",75068,61085
"2070",48815,74884
"56",74586,71748
"1386",72837,7582
"2782665",72435,63826
"1076124",30896,72430
"649831",46405,72155
"1586287",28082,71870
"715475",32644,71735
"1437360",70819,59149
"1223566",19516,68475
"190148",56679,66221
"858422",60936,65326
"1355477",63634,51935
"2807101",35620,63616
"1914861",63403,5034
"2722752",47048,62947
"32008",60846,57782
"85007",55171,60803
"212767",43706,60260
"1813",40407,60148
"399",25490,59694
"182640",25896,58530
"68287",48744,58493
"2836373",42625,57859
"1827",52783,57714
"477697",23158,57650
"33882",52141,57026
"2712223",33572,56784
"204457",55401,51761
"450367",55091,15388
"1855912",54997,34936
"3047875",54591,963
"386874",54579,24210
"3056648",53804,53503
"2742131",21037,53721
"2736640",38712,53547
"34073",53447,48312
"2802971",52334,41316
"946334",33284,52217
"35754",45105,51726
"2781734",48298,51654
"68",51395,40998
"1176646",51083,22899
"940133",51038,19585
"715472",23757,50588
"1076",50091,50326
"453783",37238,50209
"2740529",29185,49729
"80864",49569,40354
"3028622",49434,972
"94132",49244,38600
"119060",49125,43371
"41294",48415,48226
"1045317",48277,20874
"54571",48162,43000
"1865",31958,47981
"2781735",16430,47811
"43",9486,47367
"1866",29913,46938
"439387",45642,19775
"3052846",17385,45009
"240495",35085,44948
"1763",38211,44673
"2528023",44595,39537
"384",25895,44119
"860235",17903,43384
"3037797",43164,26158
"1969",41906,33722
"3040509",29472,41889
"1867",28668,41516
"35753",34572,41205
"1544730",19725,40606
"3002436",18955,39890
"32033",35796,39773
"2840469",38668,35300
"67304",38425,37426
"2954771",38242,33557
"113562",25691,38217
"284016",37719,37349
"2797636",37496,34556
"2978974",12239,37158
"122358",27245,37137
"2932773",20668,36619
"927083",36604,36333
"546871",26573,36527
"83451",28555,36103
"41275",22075,35765
"2527974",35728,26857
"2849093",26372,35629
"358",29694,35403
"2062",34822,35129
"2268449",14208,34978
"2653851",34908,26367
"106589",34582,31206
"3049772",34525,30643
"419479",20466,34257
"2840457",24616,33892
"37331",24389,33860
"2712222",27233,33853
"406548",33704,25475
"2763008",21787,33431
"2926709",9743,33425
"2904252",33332,9825
"103733",19349,33172
"2548456",32946,17253
"1330547",17689,32646
"191",28517,32564
"2496836",14020,32490
"218821",17090,32441
"1847",23749,32423
"82115",22812,32133
"49319",31928,24395
"29539",20308,31900
"398",5853,31899
"546874",29383,31556
"165695",24877,31207
"2992573",23035,30947
"33910",14782,30887
"1798224",18776,30808
"2782662",30190,30758
"354356",21158,30707
"993502",12909,30620
"374432",18054,30473
"2899123",16700,29598
"1274631",29102,29526
"3014784",16046,29500
"2894081",18884,29391
"134536",29376,14792
"1325100",29365,29303
"1938607",15046,29198
"467976",23887,29198
"2017486",18010,29043
"48",26480,28947
"2728827",24732,28942
"196162",20532,28913
"2219224",19328,28861
"1141883",14235,28807
"1909395",20231,28758
"382",6072,28711
"47760",19670,28520
"273251",28461,5784
"2613770",13534,28400
"2849501",20028,28184
"2714944",28041,13582
"2764186",27868,13918
"93064",15598,27851
"858423",27770,24793
"2518370",19004,27720
"2099693",11244,27645
"1404888",20217,27584
"36814",20629,27552
"331696",27280,27363
"88688",27297,26453
"1736675",24888,27218
"1892855",17526,27170
"2937800",20688,27146
"2937801",20190,26992
"1327635",15121,26955
"1413221",12854,26823
"93944",18301,26791
"39643",26773,25489
"2792008",19988,26760
"2995304",26710,26634
"2917724",17225,26697
"28105",14827,26549
"363835",26524,15290
"2686094",19314,26062
"2807512",26010,25415
"2582905",15860,25910
"1824",23374,25859
"2849779",22663,25838
"871742",8949,25750
"1822464",25566,25024
"114616",20262,25538
"2045",20478,25410
"338",23317,25388
"164546",25375,17610
"2732067",25304,17580
"2774151",25281,22255
"1725411",20410,25027
"2567896",24981,24806
"2931390",16928,24950
"1643322",18881,24772
"40323",23241,24750
"1836",20090,24707
"83637",24696,22777
"2996826",13943,24550
"2802641",24422,24498
"375",24447,20701
"2898796",15263,24381
"1526658",18929,24147
"91347",24086,12511
"53359",20796,24079
"2709380",19371,24037
"85015",18656,23953
"1483604",21284,23917
"103731",15109,23807
"2653852",23793,19509
"1235591",23785,23476
"3039159",23658,18923
"2789776",21372,23628
"2884263",21669,23618
"2653857",14917,23593
"1690815",17573,23444
"2897332",21037,23303
"1034889",23184,16445
"708113",12508,23105
"2071607",23070,12101
"543",23023,16121
"2898149",22974,19857
"2074",18033,22951
"722472",22615,19368
"208223",2203,22600
"165697",21617,22541
"2053",20489,22237
"338584",17451,21936
"2714943",21777,11446
"114",21775,19893
"40324",16440,21745
"662548",14451,21707
"380",17023,21701
"404386",16821,21653
"222",20398,21456
"1867715",13216,21437
"2804617",21406,13634
"2714939",14377,21379
"2558918",18934,21372
"642780",12318,21317
"1396",21302,2635
"715473",16207,21294
"2594473",21286,10822
"758802",13698,21216
"2651334",12920,21211
"2760089",14115,21158
"41",10309,21100
"1268",21028,20142
"1387353",21013,15808
"946333",21008,12474
"288000",21005,18469
"34072",20815,17985
"1286181",10256,20791
"2778070",15312,20721
"1993",16988,20693
"1325095",20683,18478
"39691",13552,20630
"1636152",20595,15547
"1710",17790,20561
"119045",16567,20548
"46165",17679,20531
"3039154",13623,20514
"2202825",15762,20512
"2509455",18299,20483
"3015177",18412,20461
"2981138",14698,20445
"1325112",20429,15705
"1521768",20366,20334
"2745196",13870,20362
"114615",20311,17796
"2842346",5267,20282
"2903901",18173,20258
"2589903",20248,16748
"2057741",20084,17565
"1658665",12787,20067
"115808",20064,17757
"217203",8850,20032
"3015152",16037,19987
"1794",11423,19913
"1750527",18165,19872
"85030",11083,19864
"466153",19811,14846
"433659",15505,19752
"2917727",8826,19719
"255045",19668,17133
"588673",12534,19488
"270351",16135,19484
"2753607",19475,12850
"547",19464,7020
"941907",16465,19444
"2736875",19408,13902
"2598579",19360,18185
"539813",19255,5193
"1653480",11047,19250
"2782654",19236,16481
"2769491",19218,18141
"131568",10278,19156
"3039155",17096,19149
"204525",14610,19126
"2843215",15213,19055
"2768162",13756,18971
"3073064",9653,18852
"2562284",18683,18846
"106592",18832,18072
"2903960",9586,18773
"2872154",12979,18725
"2591463",7185,18659
"2565368",18561,7149
"2760705",12723,18497
"445576",14070,18464
"2775403",10832,18449
"39689",10759,18447
"2732487",18440,12612
"304895",18423,14741
"2981134",9111,18412
"2768161",11697,18409
"2813578",15933,18397
"2663857",12006,18351
"47857",14499,18327
"2742128",14651,18316
"303",18009,18281
"80816",17869,18212
"3039153",18158,15018
"357",9972,18143
"207745",12572,18118
"37326",16035,18112
"2024580",15410,18105
"43357",13849,18039
"2942996",17940,10384
"1804986",11944,17924
"42684",12890,17862
"497725",17813,8091
"29448",17794,16035
"76892",15709,17749
"2675222",14474,17667
"2938948",17595,11092
"37919",17580,15179
"2843216",14836,17526
"2681549",15594,17524
"298654",17266,17504
"1708",15223,17478
"408",12192,17460
"47885",6737,17453
"94",16381,17444
"1219491",14409,17437
"2714942",17398,8846
"307121",14015,17391
"515361",7032,17388
"2082949",10470,17291
"2027919",796,17256
"3068633",7157,17183
"335929",17122,16221
"944492",13831,17113
"125216",15466,17096
"204455",16224,17083
"2861285",5207,17016
"37921",6462,16992
"28068",16982,12444
"1707",13780,16941
"1428",16872,1120
"504468",16865,15537
"1312364",5696,16790
"2653200",12785,16763
"75",15660,16744
"211114",12952,16721
"449461",12548,16700
"151416",10815,16691
"200618",11974,16664
"2865832",13059,16656
"2991075",10717,16652
"204447",14674,16618
"44255",16599,14772
"2010972",13170,16514
"321662",16480,7150
"2591108",13828,16456
"257708",14516,16416
"2493680",8439,16406
"397260",15666,16389
"470931",16359,842
"2777475",16337,13679
"2973977",11479,16307
"1325120",16280,13725
"29449",7465,16273
"3044187",12056,16248
"2202249",14638,16235
"160826",11435,16158
"82633",16137,15164
"1814",12786,16124
"352475",9339,16103
"186650",9140,16042
"2750812",13115,16025
"1333996",16009,15981
"47989",13949,15986
"160791",14153,15956
"2823693",15359,15891
"2483798",11207,15859
"2774137",4763,15775
"3015151",12601,15759
"396",7233,15725
"399176",10151,15714
"3028804",12370,15696
"2013",15289,15671
"2001",14678,15667
"2034",13339,15663
"1716",15148,15654
"419476",10972,15594
"2584466",11517,15482
"223967",12560,15445
"1641402",11732,15425
"2879617",15413,11252
"1275",7127,15382
"2995223",11271,15376
"1842539",12245,15373
"370526",9453,15343
"434009",12031,15340
"47858",12540,15327
"2202828",11142,15315
"3074822",15313,166
"1971",13834,15237
"2878388",13040,15214
"1940610",13603,15198
"1609977",9815,15192
"2602016",12525,15180
"2861282",5298,15132
"69277",11743,15077
"2984843",11444,15057
"3016000",13471,15054
"3061627",13752,15014
"321985",7637,14965
"659352",13823,14938
"2599640",12581,14886
"28214",12092,14815
"434008",11849,14795
"457921",9353,14736
"1871048",9537,14728
"69",13513,14712
"1774216",11127,14675
"1391654",14169,14664
"715471",11249,14638
"1592106",12569,14606
"1817",12947,14562
"3043848",10894,14554
"104663",14552,7663
"1812480",14487,5342
"85009",13449,14468
"2650471",11663,14456
"745310",12040,14442
"1405",14428,415
"53462",9154,14357
"2842453",10202,14356
"265",12806,14350
"47872",12612,14308
"2898431",14304,11147
"435897",13091,14299
"204441",12445,14294
"1855352",13499,14208
"391953",14189,11308
"1707785",10996,14176
"53461",14174,11698
"110319",9597,14172
"388357",4602,14168
"83627",14157,11355
"2931983",10681,14152
"28095",13984,14146
"2898433",9225,14123
"47865",13326,14112
"44249",14086,7710
"299152",11479,14060
"356852",11428,13981
"709879",13056,13965
"69666",13317,13963
"1813879",10920,13902
"135621",13138,13892
"1882757",11402,13816
"450734",9553,13778
"227318",12723,13772
"1411117",13518,13771
"2589074",9816,13756
"3075432",11370,13752
"1325090",13717,11079
"157920",11017,13662
"390989",12501,13597
"285665",11181,13587
"2895565",9601,13585
"3064901",6302,13543
"3012344",11268,13520
"82380",6933,13491
"294",13488,11740
"53362",10956,13478
"2653203",11194,13434
"2745",13163,13375
"2969621",11335,13373
"2782169",11736,13367
"2795690",11549,13364
"864828",7032,13357
"3015154",10233,13293
"2108445",9530,13271
"2591145",11041,13242
"675281",10579,13231
"1333528",7775,13193
"2872652",11447,13192
"1848900",11625,13191
"1522432",7910,13185
"135487",11364,13166
"1871086",6587,13163
"3039156",13116,6543
"261654",10842,13101
"68270",11836,13099
"1877",10468,13081
"1437009",11149,13077
"2735134",11125,13073
"3036374",10417,13052
"193462",11004,13049
"1927",9423,13034
"2565556",4788,13028
"2135430",11260,13024
"1473598",13022,10292
"2944128",13010,12405
"3068632",8983,13002
"1357915",12981,9669
"1827580",8551,12954
"2981136",11270,12941
"2528024",10337,12937
"1772",9402,12929
"1881",11186,12907
"2599297",8259,12897
"116188",10042,12870
"2976823",11160,12753
"2771361",11609,12724
"465721",8411,12723
"2736757",9557,12714
"2602015",10542,12699
"524884",10717,12695
"1792307",9959,12687
"1868589",10939,12673
"2136173",11837,12631
"237610",6036,12620
"2051553",10956,12599
"83656",11269,12577
"1914461",11427,12575
"2976824",12529,11321
"2918170",12520,12038
"73044",11137,12494
"117157",11589,12479
"2202148",10720,12441
"921",11642,12420
"1795",8207,12352
"2867410",10711,12352
"1867719",7480,12346
"52",12344,11988
"2028343",4884,12335
"83291",10250,12318
"1249101",7501,12308
"2592334",8792,12304
"1616117",11204,12300
"2020412",8845,12291
"1915",10540,12276
"1003110",9823,12271
"2518371",8752,12238
"1679497",11205,12235
"66880",12231,12183
"68246",11736,12221
"642",12176,11961
"1541170",10652,12164
"1197460",12161,10617
"310581",5187,12132
"470932",12128,1056
"152142",7420,12064
"28447",9407,12059
"2730915",9550,12056
"3019544",11266,12055
"455432",11231,12051
"1842534",5175,12050
"68212",10219,12034
"1813468",10439,12020
"3018036",9744,12016
"33886",9890,12007
"2078691",11883,11989
"2015316",10250,11939
"335406",11820,11883
"1420889",9567,11867
"2749844",9331,11856
"1404864",11832,10980
"515350",9369,11828
"2782168",11802,11596
"2175864",10455,11799
