"","1ayWM2CHIPOOB100705","oAVVM2CHIPOOB051360","3xfYM2CHIPOOA051365","jYxWM2CHIPOOB051110","hoQoM2CHIPOOA051115","eBCjM2CHIPOOBXX1180","j1iWM2CHIPOOBXX1561"
"Bradyrhizobium_sp._200","39419","7240","4679","4875","12463","15417","2494"
"Bradyrhizobium_sp._170","38947","6626","4262","4475","11166","14474","2226"
"Bradyrhizobium_sp._CCBAU_051011","27900","5996","3993","4144","10048","13366","1997"
"Bradyrhizobium_sp._CCBAU_51753","13893","5792","3813","3307","10817","9469","2933"
"Bradyrhizobium_sp._A19","9920","4729","3243","2493","8841","7211","2555"
"Bradyrhizobium_sp._BTAi1","9731","4717","3134","2604","9220","7050","2671"
"Bradyrhizobium_sp._ORS_278","9813","4910","3301","2688","9521","7274","2570"
"Bradyrhizobium_sp._ORS_285","9408","4831","3110","2699","9079","6900","2620"
"Bradyrhizobium_sp._SK17","10012","4212","2739","2501","8153","6930","2399"
"Bradyrhizobium_sp._CCGE-LA001","8833","2639","1914","1273","4314","4265","1463"
"Bradyrhizobium_sp._186","7767","3628","2485","1939","6736","6044","2084"
"Bradyrhizobium_sp._CCBAU_53421","7755","3485","2192","1961","6316","5418","1771"
"Bradyrhizobium_sp._195","7600","3051","1998","1521","5253","5636","2007"
"Bradyrhizobium_sp._S2-11-2","9927","2865","2085","1876","6069","5523","1644"
"Bradyrhizobium_sp._1(2017)","6657","2990","2109","1521","5155","5078","1776"
"Bradyrhizobium_sp._CCBAU_53338","6742","3314","2225","1809","5766","6174","2130"
"Bradyrhizobium_sp._CCBAU_53351","7160","3250","2142","1695","5778","7860","2697"
"Bradyrhizobium_sp._S2-20-1","8510","2764","1764","1619","5217","4493","1423"
"Bradyrhizobium_sp._CCBAU_53340","6435","3158","2021","1583","5537","5403","1763"
"Bradyrhizobium_sp._S2-11-4","8559","2691","1780","1677","5136","4632","1296"
"Bradyrhizobium_sp._6(2017)","6645","2958","1853","1527","5369","4357","1389"
"Bradyrhizobium_sp._41S5","6176","2585","1673","1538","5004","4301","1423"
"Bradyrhizobium_sp._191","7122","3022","2095","1500","5119","6267","1509"
"Bradyrhizobium_sp._CCBAU_51765","6293","2983","2295","1551","4895","6095","1452"
"Bradyrhizobium_sp._I71","5999","2863","2076","1442","5010","6014","1551"
"Bradyrhizobium_sp._C-145","3707","2054","1430","1032","3711","3048","852"
"Bradyrhizobium_sp.","6262","3720","2185","1898","5977","4840","1686"
"Bradyrhizobium_sp._40","4415","1906","1151","1003","3503","3042","1001"
"Bradyrhizobium_sp._144S4","4145","2097","1331","1050","3754","2781","1023"
"Bradyrhizobium_sp._4","4125","2085","1389","1123","3659","3102","1033"
