"","Ia7iM2MAIPOOB100245","P0ZQM2MAIPOOA100240","qU3SM2MAIPOOM070605","B7zTM2MAIPOOA070610","c5isM2MAIPOOA070615","TgLUM2MAIPOOM070620","pse1M2MAIPOOA100685","AJwcM2MAIPOOA100700"
"Tardiphaga_sp._37S4","3318","3314","1920","475","3287","2699","625","4127"
"Tardiphaga_sp._vice154","2183","2158","1334","0","2238","1802","426","2832"
"Tardiphaga_sp._vice278","1745","1954","1223","0","2268","1682","420","2427"
"Tardiphaga_sp._vice304","923","793","872","0","1001","927","269","1913"
"Tardiphaga_sp._vice352","495","975","494","0","615","654","0","711"
"Tardiphaga_robiniae","3099","3443","2021","180","3311","2722","553","4263"
"Afipia_carboxidovorans","5412","5184","3422","417","6098","4661","945","7377"
"Afipia_sp._GAS231","6112","6871","3524","365","6933","4589","1123","8352"
"Variibacter_gotjawalensis","7151","8473","4719","441","7636","6142","1560","10787"
"Rhizobium_sp._BG4","25053","4556","2579","414","3355","5688","777","4174"
"Rhizobium_sp._WYJ-E13","21728","8091","2801","742","9703","9076","1928","4624"
"Rhizobium_sp._NXC24","2476","2348","1854","169","2210","2312","421","2864"
"Rhizobium_sp._WL3","2430","2207","2291","139","1639","1890","435","2701"
"Rhizobium_sp._SL42","2198","2153","1751","143","1633","1997","397","2596"
"Rhizobium_sp._ACO-34A","2178","2217","1789","184","1743","2098","445","2840"
"Rhizobium_sp._11515TR","2044","1764","1355","157","2627","2268","384","2090"
"Rhizobium_sp._NZLR1","2046","1791","1259","107","1434","1730","424","2172"
"Rhizobium_sp._AB2/73","2307","2163","2021","209","33244","3126","473","2758"
"Rhizobium_sp._CIAT894","2137","1887","1330","143","1497","1785","389","2320"
"Rhizobium_sp._NXC14","1880","1588","1264","135","2586","1517","320","1943"
"Rhizobium_sp._NLR16a","1714","1700","1330","137","1554","1528","288","1947"
"Rhizobium_sp._C104","1751","1504","1234","127","1256","1487","349","2290"
"Rhizobium_sp._K102","1747","1653","1401","142","1276","1505","351","2148"
"Rhizobium_sp._L51/94","1604","1615","1309","199","1218","1464","381","1934"
"Rhizobium_sp._Y9","2457","455","880","94","1199","1775","68","465"
"Rhizobium_sp._X9","1270","1336","1242","90","999","1395","286","1786"
"Rhizobium_sp._Kim5","1127","986","861","148","782","934","226","1078"
"Rhizobium_sp._IE4771","1046","968","875","90","891","927","175","1127"
