"","Ia7iM2MAIPOOB100245","P0ZQM2MAIPOOA100240","qU3SM2MAIPOOM070605","B7zTM2MAIPOOA070610","c5isM2MAIPOOA070615","TgLUM2MAIPOOM070620","pse1M2MAIPOOA100685","AJwcM2MAIPOOA100700"
"Brenneria_goodwinii","320","390","351","22","476","459","86","542"
"Brenneria_rubrifaciens","199","215","216","21","279","290","44","293"
"Lonsdalea_populi","278","317","299","27","349","337","49","354"
"Lonsdalea_britannica","196","250","225","18","293","310","35","385"
"Musicola_paradisiaca","248","264","274","24","380","388","49","404"
"Morganella_morganii","829","793","766","96","740","999","122","1149"
"Providencia_rettgeri","281","257","149","0","222","283","62","318"
"Providencia_alcalifaciens","72","73","57","0","100","91","21","121"
"Providencia_sp._R33","35","21","19","0","19","21","0","34"
"Providencia_heimbachae","38","35","23","0","39","36","0","39"
"Providencia_rustigianii","32","25","23","0","33","35","0","50"
"Providencia_sneebia","25","0","13","0","21","14","0","35"
"Providencia_vermicola","78","0","0","0","0","0","0","0"
"Xenorhabdus_bovienii","96","102","80","0","129","77","0","101"
"Xenorhabdus_doucetiae","70","88","62","0","102","79","14","94"
"Xenorhabdus_budapestensis","33","34","28","0","45","28","0","57"
"Xenorhabdus_poinarii","34","35","33","0","35","44","0","46"
"Xenorhabdus_nematophila","32","42","44","0","60","60","0","63"
"Xenorhabdus_hominickii","32","97","39","0","25","41","0","48"
"Photorhabdus_laumondii","91","35","33","0","41","51","0","41"
"Photorhabdus_thracensis","74","77","82","0","88","87","15","86"
"Photorhabdus_akhurstii","35","45","38","0","50","39","0","47"
"Photorhabdus_asymbiotica","25","30","15","0","34","38","0","53"
"Proteus_mirabilis","122","138","146","0","217","337","51","276"
"Proteus_vulgaris","48","103","102","0","109","118","0","113"
"Proteus_terrae","106","0","0","0","0","0","0","0"
"Arsenophonus_endosymbiont_of_Apis_mellifera","15","19","16","0","27","21","0","29"
"Arsenophonus_nasoniae","25","17","16","0","17","23","0","32"
"Moellerella_wisconsensis","47","38","33","0","48","35","0","48"
"Edwardsiella_tarda","531","620","833","84","703","1147","191","1461"
"Edwardsiella_hoshinae","212","281","205","20","321","299","55","358"
"Edwardsiella_ictaluri","236","391","200","25","234","287","59","431"
"Edwardsiella_piscicida","498","619","254","0","903","502","0","652"
"Hafnia_alvei","201","212","163","0","249","207","41","266"
"Hafnia_paralvei","45","65","60","0","63","68","19","72"
"Obesumbacterium_proteus","42","47","43","0","91","58","0","75"
"Sodalis_sp._dw_23","388","441","423","25","563","510","100","651"
"Sodalis_endosymbiont_of_Henestaris_halophilus","15","11","14","0","16","11","0","19"
"Sodalis_praecaptivus","355","355","334","31","400","397","82","497"
"Sodalis_glossinidius","191","201","220","16","220","220","32","341"
"Candidatus_Sodalis_pierantonius","140","147","138","16","165","168","25","227"
"Leminorella_richardii","113","147","147","14","162","173","51","195"
"Pragia_fontium","44","60","56","0","64","78","0","56"
"Limnobaculum_parvum","34","48","24","0","31","56","0","56"
"Jinshanibacter_zhutongyuii","32","42","26","0","29","54","0","44"
"Thioalkalivibrio_sulfidiphilus","3148","3428","2582","295","3470","4093","519","4422"
"Thioalkalivibrio_paradoxus","2021","2382","2008","179","2640","2895","376","3245"
"Thioalkalivibrio_nitratireducens","1951","2204","1825","194","2586","2843","406","3115"
"Thioalkalivibrio_sp._K90mix","1469","1605","1276","122","1613","1768","247","2204"
"Thioalkalivibrio_versutus","1327","1559","1251","111","1626","1865","236","2062"
"Spiribacter_sp._E85","3334","3737","3751","328","4068","4860","664","5597"
"Spiribacter_sp._2438","753","787","649","68","813","959","134","1211"
"Spiribacter_curvatus","842","938","736","76","951","1055","161","1360"
"Spiribacter_salinus","655","674","501","63","680","765","100","921"
"Acidihalobacter_aeolianus","1720","1830","1449","142","1837","2158","321","2394"
"Acidihalobacter_ferrooxydans","1447","1485","1177","107","1610","1751","245","2079"
"Acidihalobacter_yilgarnensis","873","961","734","73","1061","1082","154","1279"
"Halorhodospira_halophila","1636","1805","1604","163","1951","2273","289","2518"
"Halorhodospira_halochloris","282","339","253","30","261","381","71","438"
"Ectothiorhodospira_sp._BSL-9","888","895","693","70","867","963","119","1094"
"Ectothiorhodospira_haloalkaliphila","839","906","711","68","938","1055","141","1089"
"Aquisalimonas_sp._2447","1600","1948","1548","141","1999","2182","272","2574"
"Alkalilimnicola_ehrlichii","1585","1810","1617","151","1982","2158","286","2656"
"Ectothiorhodosinus_mongolicus","262","255","203","14","249","272","42","366"
"Allochromatium_vinosum","1623","1774","1631","148","2017","2255","315","2538"
"Allochromatium_tepidum","1673","1946","1706","182","2272","2430","352","2752"
"Candidatus_Thiodictyon_syntrophicum","2220","2710","2668","243","3406","3519","463","4021"
"Thioflavicoccus_mobilis","2241","2902","2469","258","3109","3439","535","4171"
"Marichromatium_purpuratum","2431","2702","2440","237","3162","3399","492","4196"
"Thiocapsa_bogorovii","1845","2138","1962","187","2399","2549","378","3137"
"Thiocystis_violascens","1411","1648","1477","157","1909","1962","255","2275"
"Thermochromatium_tepidum","1048","1263","1071","115","1333","1430","202","1742"
"Caldichromatium_japonicum","617","725","696","77","903","968","142","1097"
"Nitrosococcus_halophilus","144","181","234","0","214","224","45","293"
"Nitrosococcus_watsonii","151","136","174","18","158","200","34","243"
"Nitrosococcus_wardiae","133","162","216","0","197","307","34","270"
"Nitrosococcus_oceani","121","151","146","14","169","159","20","236"
"Rheinheimera_sp._F8","111","139","115","13","173","128","26","152"
"Rheinheimera_sp._D18","44","65","38","0","49","49","0","101"
"Rheinheimera_mangrovi","56","76","50","0","105","72","18","85"
"Candidatus_Nitrosoglobus_terrae","54","39","24","0","30","43","0","40"
"Candidatus_Nitrosacidococcus_tergens","38","57","37","0","37","40","0","74"
"Wenzhouxiangella_marina","1762","1919","1645","135","2082","2277","319","2658"
"Wenzhouxiangella_sp._AB-CW3","1143","1339","993","94","1195","1404","234","1672"
"Thiohalobacter_sp._COW1","1307","1389","1279","122","1350","1603","218","1763"
"Thiohalobacter_thiocyanaticus","1269","1557","1043","98","1448","1620","222","1866"
"Sulfurivermis_fontis","2344","2574","1869","241","2588","2969","347","3258"
"Guyparkeria_halophila","1908","2050","1787","194","2410","2561","342","3065"
"Woeseia_oceani","1305","1448","847","96","1112","1357","183","1725"
"Halothiobacillus_sp._LS2","874","929","646","65","985","984","141","1183"
"Halothiobacillus_neapolitanus","337","375","257","30","344","409","61","449"
"Sulfuriflexus_mobilis","436","438","333","19","391","488","76","538"
"Granulosicoccus_antarcticus","332","355","279","26","343","394","50","468"
"Halomonas_sp._THAF5a","1292","1528","1614","158","2006","1990","278","2442"
"Halomonas_sp._1513","1145","1264","1215","113","1350","1566","258","1917"
"Halomonas_sp._MCCC_1A13316","915","985","868","101","1045","1142","183","1536"
"Halomonas_sp._YLGW01","920","975","972","90","1162","1231","179","1494"
"Halomonas_sp._HG01","1092","1172","1112","96","1417","1529","226","1892"
"Halomonas_sp._THAF12","1222","1305","1328","137","1648","1781","228","2126"
"Halomonas_sp._JS92-SW72","1522","1602","1952","157","1974","1995","356","2476"
"Halomonas_sp._PGE1","1143","1434","1292","166","1532","1800","250","2130"
"Halomonas_sp._Y2R2","317","322","311","24","380","444","59","485"
"Halomonas_sp._A40-4","368","379","307","23","349","416","63","508"
"Halomonas_sp._SH5A2","275","290","225","27","289","319","44","431"
"Halomonas_sp._R57-5","264","253","244","19","242","284","41","364"
"Halomonas_sp._KO116","207","428","206","0","234","263","49","336"
"Halomonas_sp._18071143","419","500","443","47","467","493","95","637"
"Halomonas_sp._GFAJ-1","144","142","122","0","171","163","31","194"
"Halomonas_sp._FeN2","170","222","208","23","210","201","27","287"
"Halomonas_sp._SF2003","623","491","474","91","585","822","64","727"
"Halomonas_sp._SS10-MC5","1028","989","1166","0","1212","1526","237","1600"
"Halomonas_sp._NyZ770","437","492","413","0","509","430","99","586"
"Halomonas_sp._TD01","78","108","78","0","90","107","19","147"
"Halomonas_sp._HL-93","391","439","423","0","383","485","0","548"
"Halomonas_sp._GT","64","105","66","0","66","69","0","101"
"Halomonas_sp._N3-2A","78","127","80","0","67","118","0","156"
"Halomonas_sp._hl-4","226","380","274","0","349","464","96","557"
"Halomonas_sp._A3H3","459","492","428","0","481","397","0","907"
"Halomonas_beimenensis","1351","1487","1569","135","1840","1988","312","2430"
"Halomonas_aestuarii","1133","1188","1246","129","1464","1549","235","1970"
"Halomonas_socia","992","1174","1106","85","1297","1396","198","1688"
"Halomonas_sulfidivorans","999","1091","1062","75","1222","1349","208","1708"
"Halomonas_tianxiuensis","1012","1116","1018","80","1156","1370","209","1694"
"Halomonas_elongata","827","954","818","66","912","1052","187","1343"
"Halomonas_chromatireducens","671","861","704","82","783","931","116","1128"
"Halomonas_subglaciescola","495","469","420","42","545","602","83","706"
"Halomonas_huangheensis","454","438","381","40","438","527","86","582"
"Halomonas_meridiana","696","828","707","78","986","975","174","1079"
"Halomonas_piezotolerans","467","455","379","59","451","550","82","626"
"Halomonas_profundi","137","210","147","0","173","193","40","254"
"Halomonas_sulfidoxydans","812","1187","1205","178","1583","1483","211","1877"
"Halomonas_titanicae","493","693","626","98","689","881","136","952"
"Halomonas_hydrothermalis","314","351","242","0","363","388","73","478"
"Halomonas_venusta","130","99","80","0","169","106","0","189"
"Halomonas_campaniensis","187","82","94","0","194","157","0","164"
"Cobetia_sp._L2A1","370","335","317","27","387","424","54","451"
"Cobetia_sp._cqz5-12","337","557","419","145","525","540","87","729"
"Cobetia_sp._AM6","578","506","398","0","564","517","106","667"
"Cobetia_sp._4B","391","526","365","0","405","544","79","640"
"Cobetia_pacifica","353","413","281","0","499","437","106","617"
"Cobetia_amphilecti","432","438","443","0","502","382","106","586"
"Cobetia_marina","147","208","218","0","249","300","0","339"
"Halotalea_alkalilenta","1530","1712","1551","155","1900","1971","291","2590"
"Salinicola_tamaricis","1257","1498","1324","146","1597","1791","304","2150"
"Kushneria_phosphatilytica","400","380","373","35","404","459","76","549"
"Kushneria_konosiri","358","427","319","35","449","433","48","591"
"Kushneria_marisflavi","347","333","306","37","385","389","73","484"
"Chromohalobacter_salexigens","1066","1080","922","96","1309","1332","207","1628"
"Pistricoccus_aurantiacus","650","678","726","68","798","893","117","1046"
"Zymobacter_palmae","228","251","181","19","243","258","27","317"
"Candidatus_Portiera_aleyrodidarum","128","47","26","0","68","36","0","64"
"Alcanivorax_sp._N3-2A","2020","2172","2092","212","2411","2971","345","3327"
"Alcanivorax_sp._NBRC_101098","258","324","0","0","0","124","0","219"
"Alcanivorax_pacificus","1325","1384","1079","108","1470","1567","203","1781"
"Alcanivorax_xenomutans","661","740","750","53","819","843","133","978"
"Alcanivorax_dieselolei","549","634","678","59","708","753","135","989"
"Alcanivorax_borkumensis","131","0","0","0","235","238","0","152"
"Ketobacter_alkanivorans","205","204","174","23","211","207","29","274"
"Marinobacterium_aestuarii","619","677","565","64","731","724","125","951"
"Marinobacterium_sediminicola","338","312","261","34","346","379","57","446"
"Marinobacterium_georgiense","335","415","271","29","377","430","55","452"
"Marinobacterium_sp._LSUCC0821","42","47","30","0","49","47","0","61"
"Marinomonas_sp._A3A","50","21","32","0","38","26","0","47"
"Marinomonas_sp._CT5","29","40","28","0","50","38","0","37"
"Marinomonas_sp._FW-1","25","44","22","0","23","25","0","36"
"Marinomonas_mediterranea","59","46","37","0","37","61","0","51"
"Marinomonas_arctica","64","56","37","0","50","59","0","76"
"Marinomonas_algicola","63","50","50","0","31","47","0","73"
"Marinomonas_profundi","58","73","70","0","58","73","12","86"
"Marinomonas_primoryensis","46","50","53","0","67","65","13","89"
"Marinomonas_foliarum","30","37","36","0","34","46","13","24"
"Marinomonas_posidonica","18","31","24","0","40","49","12","50"
"Thalassolituus_sp._C2-1","160","151","126","10","161","184","28","266"
"Thalassolituus_oleivorans","104","95","54","0","119","96","17","129"
"Venatorbacter_cucullus","257","267","231","0","222","310","34","300"
"Bacterioplanes_sanyensis","181","192","150","18","169","192","40","191"
"Nitrincola_iocasae","130","128","113","0","110","147","26","153"
"Neptunomonas_concharum","39","53","51","0","55","67","0","69"
"Neptunomonas_phycophila","35","51","26","0","53","50","0","51"
"Neptunomonas_japonica","34","44","33","0","43","63","0","50"
"Amphritea_japonica","68","89","75","0","100","99","10","116"
"Bermanella_marisrubri","55","34","27","0","37","53","0","73"
"Saccharospirillum_mangrovi","522","516","398","44","532","561","85","585"
"Reinekea_forsetii","220","209","148","21","196","202","29","275"
"Gynuella_sunshinyii","146","119","153","15","155","179","24","192"
"Hahella_chejuensis","412","472","315","32","436","457","55","584"
"Hahella_sp._KA22","326","516","322","38","450","501","61","620"
"Litoricola_lipolytica","319","290","235","17","266","327","66","430"
"Oleiphilus_messinensis","125","117","107","0","113","119","29","171"
"Endozoicomonas_montiporae","95","101","78","10","108","143","15","157"
"Spartinivicinus_ruber","40","48","34","0","41","36","0","170"
"Steroidobacter_denitrificans","12446","10973","8476","856","10295","12295","1261","11034"
"Solimonas_sp._K1W22B-7","4659","5380","3916","561","6336","8435","904","8019"
"Flagellatimonas_centrodinii","1577","1568","1322","152","1699","2270","252","2442"
"Sinimarinibacterium_sp._NLF-5-8","1204","1301","935","120","1437","1712","193","1809"
"Methylococcus_sp._EFPC2","1519","1768","1527","145","1912","2201","305","2394"
"Methylococcus_sp._Mc7","1682","1760","1535","158","2015","2178","296","2381"
"Methylococcus_capsulatus","1266","1395","1379","127","1776","1913","264","2095"
"Methylococcus_geothermalis","1298","1527","1241","137","1639","1789","261","2120"
"Methylomonas_sp._LL1","436","464","422","39","541","529","65","632"
"Methylomonas_sp._LW13","301","325","222","28","352","361","53","356"
"Methylomonas_sp._EFPC1","300","282","248","21","307","313","62","378"
"Methylomonas_sp._DH-1","489","542","423","45","490","578","76","594"
"Methylomonas_koyamae","773","940","697","59","1029","1166","192","1320"
"Methylomonas_rhizoryzae","383","560","386","35","459","459","78","604"
"Methylomonas_denitrificans","365","403","346","48","418","444","66","471"
"Methylomonas_methanica","286","379","259","40","391","404","71","478"
"Methylomonas_paludis","113","125","100","0","125","140","28","171"
"Methylomicrobium_album","1278","1464","1052","138","1593","1612","239","2030"
"Methylomicrobium_sp._wino1","453","497","469","43","566","543","101","707"
"Methylomagnum_ishizawai","1508","1830","1426","136","1952","2062","301","2391"
"Methylogaea_oryzae","1513","1781","1311","126","1846","1981","272","2243"
"Methylocaldum_marinum","1278","2201","1430","149","1877","1875","259","2600"
"Candidatus_Methylospira_mobilis","515","634","498","51","592","695","101","768"
"Methylotuvimicrobium_buryatense","350","381","242","36","337","418","41","442"
"Methylotuvimicrobium_alcaliphilum","248","329","212","0","322","366","38","451"
"Methylovulum_psychrotolerans","201","238","214","20","268","238","48","314"
"Methylobacter_sp._S3L5C","93","95","86","0","113","110","17","136"
"Aeromonas_sp._FDAARGOS_1415","389","341","369","36","431","479","77","565"
"Aeromonas_sp._CA23","251","267","261","21","366","371","44","424"
"Aeromonas_sp._FDAARGOS_1409","407","255","249","35","358","401","78","464"
"Aeromonas_sp._CU5","194","177","166","18","172","200","29","226"
"Aeromonas_sp._FDAARGOS_1410","177","105","117","0","140","148","0","166"
"Aeromonas_sp._FDAARGOS_1405","142","89","93","0","79","101","0","139"
"Aeromonas_sp._FDAARGOS_1407","174","139","124","0","156","291","0","206"
"Aeromonas_sp._ASNIH4","209","363","147","0","195","235","89","302"
"Aeromonas_sp._2692-1","218","199","112","0","105","205","0","189"
"Aeromonas_sp._FDAARGOS_1417","87","39","61","0","103","41","0","67"
"Aeromonas_sp._1805","78","96","155","0","168","150","51","196"
"Aeromonas_sp._FDAARGOS_1402","217","145","193","0","310","237","0","204"
"Aeromonas_sp._FDAARGOS_1403","79","123","123","0","103","177","0","154"
"Aeromonas_sp._FDAARGOS_1419","74","52","65","0","73","96","0","124"
"Aeromonas_sp._FDAARGOS_1408","110","81","107","0","165","167","0","129"
"Aeromonas_sp._FDAARGOS_1404","69","105","91","0","99","117","0","101"
"Aeromonas_sp._ASNIH1","234","483","324","0","578","292","0","607"
"Aeromonas_sp._FDAARGOS_1406","112","0","0","0","129","117","0","147"
"Aeromonas_sp._FDAARGOS_1411","45","0","43","0","78","58","0","119"
"Aeromonas_sp._FDAARGOS_1416","42","48","41","0","77","79","0","67"
"Aeromonas_sp._ASNIH2","146","234","0","0","298","270","0","336"
"Aeromonas_sp._ASNIH3","451","495","508","0","509","0","0","646"
"Aeromonas_hydrophila","3581","4937","3701","364","6922","5545","758","8856"
"Aeromonas_media","2719","1764","1603","197","2036","2423","379","2463"
"Aeromonas_veronii","2382","2986","2675","295","2825","3565","573","3689"
"Aeromonas_schubertii","756","865","733","75","852","956","135","1128"
"Aeromonas_encheleia","759","1650","653","57","849","874","128","1096"
"Aeromonas_salmonicida","2653","1300","992","88","1298","1387","260","1461"
"Aeromonas_simiae","771","954","874","76","1138","1067","171","1327"
"Aeromonas_caviae","3350","4200","3593","362","4024","4286","745","5413"
"Aeromonas_enteropelogenes","524","503","477","65","660","697","129","824"
"Aeromonas_rivuli","362","364","344","28","437","419","75","582"
"Aeromonas_jandaei","449","435","450","49","528","611","111","679"
"Aeromonas_dhakensis","657","892","734","70","875","1035","188","944"
"Aeromonas_sanarellii","537","410","499","0","564","681","111","795"
"Aeromonas_rivipollensis","131","133","131","0","163","166","28","205"
"Aeromonas_allosaccharophila","80","131","85","0","140","140","28","186"
"Zobellella_denitrificans","1081","1273","1112","119","1352","1617","214","1756"
"Oceanimonas_sp._GK1","540","483","586","53","617","728","88","828"
"Oceanisphaera_profunda","78","98","80","0","105","121","24","114"
"Oceanisphaera_avium","63","43","47","0","54","53","13","56"
"Dongshaea_marina","117","146","132","21","203","201","27","211"
"Tolumonas_auensis","133","146","126","0","183","189","32","178"
"Succinivibrio_dextrinosolvens","33","35","21","0","50","46","14","55"
"Microbulbifer_sp._YPW16","688","764","577","56","774","842","119","966"
"Microbulbifer_sp._SH-1","717","739","521","53","717","844","114","944"
"Microbulbifer_sp._YPW1","452","576","410","26","450","498","92","651"
"Microbulbifer_sp._ALW1","375","438","330","36","374","430","80","513"
"Microbulbifer_sp._A4B17","187","132","144","0","121","126","20","174"
"Microbulbifer_sp._THAF38","172","196","139","0","186","218","29","268"
"Microbulbifer_sp._GL-2","143","199","111","0","138","163","28","200"
"Microbulbifer_aggregans","514","523","406","48","445","571","92","614"
"Microbulbifer_hydrolyticus","496","474","381","46","481","561","89","664"
"Microbulbifer_thermotolerans","415","434","329","24","386","415","84","535"
"Microbulbifer_celer","387","488","301","42","432","532","74","536"
"Microbulbifer_elongatus","382","396","325","39","401","428","67","490"
"Microbulbifer_agarilyticus","273","298","182","21","257","263","41","353"
"Microbulbifer_variabilis","139","142","124","0","135","154","21","185"
"Cellvibrio_sp._PSBB006","570","547","382","27","264","899","241","1755"
"Cellvibrio_sp._KY-GH-1","302","238","148","16","221","245","157","231"
"Cellvibrio_sp._KY-YJ-3","293","1444","124","16","229","235","187","338"
"Cellvibrio_sp._PSBB023","250","266","159","21","238","228","159","233"
"Cellvibrio_japonicus","293","253","167","29","248","284","70","301"
"Simiduia_agarivorans","427","399","255","23","399","405","65","459"
"Teredinibacter_turnerae","191","206","137","0","236","254","36","243"
"Teredinibacter_purpureus","88","78","58","0","72","80","19","93"
"Teredinibacter_haidensis","85","86","66","10","103","104","15","107"
"Saccharophagus_degradans","74","60","52","0","79","67","18","75"
"Marinagarivorans_sp._GE09","72","57","41","0","54","78","11","94"
"Agarilytica_rhodophyticola","49","45","38","0","71","53","0","46"
"Kineobactrum_salinum","916","988","842","77","985","1085","177","1380"
"Halioglobus_japonicus","431","487","315","24","407","463","80","664"
"Halioglobus_maricola","367","431","266","28","329","398","58","525"
"Congregibacter_litoralis","532","626","438","49","535","690","94","788"
"Aequoribacter_fuscus","117","164","97","11","146","135","20","198"
"Spongiibacter_taiwanensis","366","285","255","32","294","319","60","454"
"Spongiibacter_nanhainus","298","335","272","15","284","367","52","445"
"Spongiibacter_sp._IMCC21906","135","121","93","0","113","116","30","151"
"Zhongshania_aliphaticivorans","147","179","105","11","172","154","34","202"
"Oceanicoccus_sagamiensis","92","91","53","0","86","85","11","116"
"Shewanella_sp._FJAT-53555","108","140","107","35","128","134","36","172"
"Shewanella_sp._FJAT-52072","105","93","53","0","112","119","0","99"
"Shewanella_sp._FJAT-51860","49","65","45","0","59","87","0","86"
"Shewanella_sp._FJAT-53532","109","162","87","0","96","124","0","186"
"Shewanella_sp._FJAT-53681","102","101","71","0","98","119","0","157"
"Shewanella_sp._FJAT-53764","100","131","144","0","158","166","0","135"
"Shewanella_sp._FJAT-54031","95","143","143","0","160","181","55","215"
"Shewanella_sp._KX20019","41","47","25","0","41","58","11","52"
"Shewanella_sp._FJAT-52076","84","56","83","0","137","121","0","176"
"Shewanella_sp._WE21","48","49","29","0","54","56","0","71"
"Shewanella_sp._Scap07","35","31","23","0","41","38","0","55"
"Shewanella_sp._FJAT-53870","37","40","32","0","39","41","0","50"
"Shewanella_sp._FJAT-53749","29","28","27","0","43","28","0","46"
"Shewanella_sp._SNU_WT4","29","46","44","0","44","49","0","50"
"Shewanella_sp._Arc9-LZ","32","30","19","0","28","22","0","24"
"Shewanella_sp._OM3-2","19","19","11","0","18","17","0","28"
"Shewanella_sp._MR-4","29","55","33","0","29","51","0","43"
"Shewanella_sp._FJAT-51754","32","35","39","0","57","59","0","57"
"Shewanella_sp._FJAT-51649","30","43","0","0","30","35","0","64"
"Shewanella_sp._ANA-3","39","63","37","0","68","86","0","66"
"Shewanella_sp._Pdp11","39","37","44","0","0","0","0","80"
"Shewanella_cyperi","278","329","228","20","288","326","60","336"
"Shewanella_algae","315","433","257","60","387","416","75","519"
"Shewanella_khirikhana","194","217","175","17","225","220","33","278"
"Shewanella_putrefaciens","439","467","304","87","516","504","98","564"
"Shewanella_litorisediminis","126","207","125","14","180","165","45","189"
"Shewanella_baltica","252","245","172","0","268","281","26","277"
"Shewanella_marisflavi","106","115","117","0","144","151","35","157"
"Shewanella_avicenniae","100","103","52","14","90","96","15","120"
"Shewanella_amazonensis","105","87","106","18","119","127","14","163"
"Shewanella_sedimentimangrovi","147","165","140","0","182","226","34","224"
"Shewanella_dokdonensis","80","69","82","0","101","101","17","91"
"Shewanella_loihica","191","148","106","0","183","152","52","244"
"Shewanella_yunxiaonensis","72","82","58","0","75","80","0","91"
"Shewanella_benthica","65","56","47","0","78","66","0","83"
"Shewanella_denitrificans","57","41","28","0","65","60","0","58"
"Shewanella_psychromarinicola","55","34","33","0","34","46","0","34"
"Shewanella_sediminis","49","70","62","0","82","71","16","113"
"Shewanella_psychrophila","48","56","30","0","49","37","15","60"
"Shewanella_decolorationis","91","65","57","0","60","111","0","104"
"Shewanella_halifaxensis","47","41","31","0","46","41","0","48"
"Shewanella_psychropiezotolerans","47","46","47","0","56","72","12","72"
"Shewanella_woodyi","40","39","28","0","55","50","0","41"
"Shewanella_oneidensis","47","89","39","0","60","45","0","60"
"Shewanella_xiamenensis","198","189","90","0","242","205","0","308"
"Shewanella_carassii","69","89","47","0","65","65","0","70"
"Shewanella_pealeana","38","38","48","0","57","57","0","79"
"Shewanella_donghaensis","35","31","0","0","22","20","0","21"
"Shewanella_inventionis","41","42","16","0","37","48","0","62"
"Shewanella_chilikensis","97","142","86","0","82","124","0","146"
"Shewanella_violacea","30","35","39","0","48","46","0","80"
"Shewanella_aestuarii","33","22","17","0","16","19","0","28"
"Shewanella_piezotolerans","26","37","28","0","35","32","0","33"
"Shewanella_maritima","22","22","28","0","45","26","0","42"
"Shewanella_indica","50","62","54","0","50","63","0","82"
"Shewanella_vesiculosa","25","28","27","0","38","37","0","33"
"Shewanella_livingstonensis","21","26","23","0","27","33","0","30"
"Shewanella_frigidimarina","26","24","17","0","25","29","0","34"
"Shewanella_glacialimarina","14","28","22","0","36","14","0","29"
"Shewanella_bicestrii","48","0","68","0","0","110","0","58"
"Parashewanella_spongiae","29","31","18","0","34","20","0","26"
"Parashewanella_tropica","17","25","14","0","15","21","0","20"
"Alteromonas_sp._RKMC-009","97","99","114","0","139","115","29","202"
"Alteromonas_sp._BL110","40","34","70","0","24","26","0","83"
"Alteromonas_sp._RW2A1","108","0","0","0","105","109","0","0"
"Alteromonas_sp._76-1","22","16","22","0","20","22","0","33"
"Alteromonas_macleodii","191","248","119","0","198","167","52","238"
"Alteromonas_mediterranea","113","166","144","0","136","212","0","109"
"Alteromonas_pelagimontana","68","84","54","0","94","98","16","94"
"Alteromonas_australica","82","86","66","0","71","77","0","119"
"Alteromonas_naphthalenivorans","17","17","19","0","29","19","0","29"
"Salinimonas_lutimaris","132","125","79","0","102","116","19","150"
"Salinimonas_marina","86","105","65","0","111","133","22","147"
"Salinimonas_iocasae","77","76","48","0","94","76","16","95"
"Salinimonas_sediminis","72","77","73","0","73","81","21","112"
"Hydrocarboniclastica_marina","464","476","409","44","528","574","88","713"
"Paraglaciecola_sp._L1A13","45","42","25","0","45","38","0","50"
"Paraglaciecola_sp._L3A3","32","33","15","0","23","33","0","30"
"Paraglaciecola_mesophila","46","58","26","0","45","30","0","49"
"Paraglaciecola_psychrophila","30","28","32","0","36","34","0","46"
"Lacimicrobium_alkaliphilum","150","150","130","13","183","174","27","220"
"Agarivorans_gilvus","41","31","27","0","44","45","0","56"
"Agarivorans_sp._TSD2052","34","41","21","0","30","49","0","69"
"Agarivorans_aestuarii","26","54","17","0","22","29","0","25"
"Agarivorans_albus","21","0","0","0","0","41","0","26"
"Saliniradius_amylolyticus","112","138","145","21","135","215","26","223"
"Paraneptunicella_aestuarii","60","59","49","0","68","53","0","84"
"Glaciecola_nitratireducens","39","49","38","0","57","57","0","58"
"Saccharobesus_litoralis","28","30","34","0","41","26","0","41"
"Catenovulum_sediminis","26","32","16","0","48","34","0","42"
"Pseudoalteromonas_sp._R3","53","64","63","0","72","85","0","82"
"Pseudoalteromonas_sp._A25","37","23","17","0","43","21","21","46"
"Pseudoalteromonas_sp._THAF3","64","50","27","0","39","46","0","56"
"Pseudoalteromonas_sp._DL-6","45","42","0","0","0","0","0","34"
"Pseudoalteromonas_rubra","167","194","150","49","205","232","50","229"
"Pseudoalteromonas_luteoviolacea","70","97","56","0","92","80","20","102"
"Pseudoalteromonas_viridis","76","98","100","0","116","133","0","141"
"Pseudoalteromonas_piscicida","110","72","89","0","103","91","0","148"
"Pseudoalteromonas_shioyasakiensis","54","68","46","0","63","51","0","85"
"Pseudoalteromonas_xiamenensis","40","33","30","0","44","42","16","50"
"Pseudoalteromonas_spongiae","41","31","36","0","49","46","38","74"
"Pseudoalteromonas_ulvae","31","23","20","0","20","30","0","24"
"Pseudoalteromonas_mariniglutinosa","86","54","63","0","71","87","0","89"
"Pseudoalteromonas_piratica","27","26","0","0","28","17","0","36"
"Pseudoalteromonas_tunicata","27","38","27","0","41","40","0","33"
"Pseudoalteromonas_aliena","30","26","0","0","32","30","0","26"
"Pseudoalteromonas_translucida","96","61","64","0","75","0","0","78"
"Pseudoalteromonas_carrageenovora","23","20","0","0","36","0","0","20"
"Pseudoalteromonas_prydzensis","20","30","17","0","47","16","0","44"
"Pseudoalteromonas_ruthenica","36","61","29","0","26","56","0","50"
"Pseudoalteromonas_espejiana","19","12","0","0","20","17","0","24"
"Pseudoalteromonas_phenolica","15","21","18","0","53","21","0","25"
"Pseudoalteromonas_agarivorans","47","57","0","0","110","65","0","62"
"Pseudoalteromonas_distincta","48","0","0","0","0","0","0","0"
"Psychrosphaera_ytuae","28","34","24","0","27","40","0","37"
"Psychrosphaera_aestuarii","18","16","14","0","22","19","0","23"
"Flocculibacter_collagenilyticus","32","28","27","0","24","35","13","31"
"Ferrimonas_balearica","508","543","437","47","627","580","109","744"
"Ferrimonas_lipolytica","86","87","66","0","110","103","15","105"
