"","OTU","Genus","Species"
"1",1987723,"Cellvibrio","sp._PSBB006"
"2",1288494,"Nitrosospira","lacus"
"3",2600304,"Baekduia","s"
"4",334542,"Rhodococcus","qingshengii"
"5",2803845,"Usitatibacter","s"
"6",1034015,"Nitrososphaera","viennensis"
"7",1459637,"Nitrososphaera","Candidatus_Nitrososphaera_evergladensis"
"8",467975,"Iamia","s"
"9",2795779,"Rosistilla","s"
"10",2682228,"Tepidiforma","s"
"11",2982699,"Gordonia","sp._L191"
"12",2772253,"Microcella","Chryseoglobus_sp._28M-23"
"13",169292,"Corynebacterium","aurimucosum"
"14",84993,"_","s"
"15",2759525,"Streptomyces","sp._M54"
"16",1701090,"Gordonia","hongkongensis"
"17",301375,"Methanothrix","harundinacea"
"18",75787,"_","s"
