"","vcXtM2TOMPOOB050180","iYASM2TOMPOOA050195","XR8LM2TOMPOOB051125","TECcM2TOMPOOA051310","FvY2M2TOMPOOB051329","abKIM2TOMPOOA051320","cuu6M2TOMPOOB051315","s9OmM2TOMPOOB051285","Nm8MM2TOMPOOA051300","IGpcM2TOMPOOB051290","a50wM2TOMPOOB051350","OeS0M2TOMPOOA051355","dSz8M2TOMPOOA051340","aFJgM2TOMPOOM090325","cSObM2TOMPOOM080315","wQqUM2TOMPOOA080335","X0n7bM2TOMPOOA100365","X1qGgM2TOMPOOM080340","X9JUZM2TOMPOOB100355","AYtCM2TOMPOOA100360","DYZgM2TOMPOOB100370","nG3jM2TOMPOOA051345","nodos","degrees","closeness","betweenness"
"Pseudarthrobacter_sp._NIBRBAC000502771",8.1286782690488e-05,7.49003203564075e-05,0.000149385211557862,0.000100320377981295,7.92567712080754e-05,0.00014100932705172,0.000118266043288902,8.5781496579886e-05,9.73570923195857e-05,9.50186838149848e-05,7.16021390775382e-05,6.60741793736443e-05,6.94591408635753e-05,5.25036197727549e-05,5.05821069128551e-05,6.09740904336755e-05,7.51015635238258e-05,3.15513113022631e-05,0.000273002376131792,0.000212344691300497,8.4445864386016e-05,6.4049930479138e-05,"v_3723",274,3.12989045383412e-05,1939.46948913336
"Pseudarthrobacter_equi",6.62877702659128e-05,6.74820777651978e-05,0.000181835119632115,0.000105405742763757,9.69536579212023e-05,0.000109446852880723,0.000126372726189855,9.19133086957974e-05,8.92748965367717e-05,7.19664359270752e-05,7.7259192954996e-05,6.59792452078776e-05,6.89589850337746e-05,5.1421070911461e-05,5.90629392096213e-05,6.65867682141811e-05,7.6361656871541e-05,3.64626003257286e-05,0.000432374133626719,0.000302008070223389,9.31126767835281e-05,5.57471617133238e-05,"v_3726",240,3.06946192332484e-05,464.739339064784
"Paenarthrobacter_sp._YJN-D",1.84819291673604e-05,2.86360117230567e-05,3.72920992568248e-05,3.01269337870095e-05,3.04007232464787e-05,2.98973076679706e-05,3.6741578954319e-05,2.93177266792015e-05,3.22546345460928e-05,2.04341255516096e-05,2.3759626285323e-05,2.44930147678164e-05,2.10690643303554e-05,1.2990586335527e-05,2.22621847790111e-05,1.93892505144742e-05,3.27120233066866e-05,1.68472096198877e-05,5.92227376793835e-05,4.99812754130985e-05,2.9852353813653e-05,1.64572738036674e-05,"v_3753",89,3.19070865639258e-05,677.286913770157
"Psychromicrobium_lacuslunae",1.96616267737877e-05,2.72002228344355e-05,3.49794109308202e-05,3.21302593073733e-05,3.04639264133113e-05,3.3606087606529e-05,3.53032965041499e-05,2.9700964936446e-05,3.72225897520427e-05,2.47125205889779e-05,2.47294069500301e-05,2.45879489335832e-05,2.01312721494791e-05,1.78620562113496e-05,1.95362029693363e-05,2.30459951290461e-05,3.07966814181595e-05,1.52696440547745e-05,3.37039970533077e-05,3.58307325039355e-05,3.0889408288569e-05,1.57159551638626e-05,"v_3758",112,3.22601458158591e-05,1577.54848835572
"Mycobacterium_sp._EPa45",0.000145833094585008,0.000121324161088494,0.000137749498417651,0.000125747201893605,0.000126279927331527,0.000138057440978173,0.000140494044791515,0.000131259103106229,0.000136952436796858,0.000123243319733146,0.000126879636965841,0.00011411086725161,0.000117974256354245,9.9774920049256e-05,9.90440057515187e-05,9.77116177242582e-05,0.000146422847004506,7.47111239327174e-05,0.000128556674474759,0.00014877543278808,0.000141409785186758,0.000100819335013458,"v_3867",188,3.05380809869908e-05,780.565684366387
"Mycobacterium_marseillense",0.000107015425725902,0.000114623812941595,0.000121488408625431,0.000101476142704582,0.000104032412606453,0.000144869485763281,0.000122450137689394,0.000112672047629873,0.000110036500382533,0.000111557554183319,0.000143850798598214,9.42221595234799e-05,0.000106533191747554,6.60354805389289e-05,7.85991421789575e-05,9.55856034134605e-05,0.000106956723354066,5.68518911201156e-05,0.000105926847881824,0.000114459284387572,0.000109927774341094,7.57627649880544e-05,"v_3888",151,3.05455434052172e-05,1673.09343913777
"Mycolicibacterium_sarraceniae",7.1231264997608e-05,8.54294388729632e-05,9.23629900198103e-05,8.08264796485242e-05,8.18481010482119e-05,9.67310359485227e-05,9.62341712113123e-05,8.19491140074413e-05,8.03770663171599e-05,8.66534636672946e-05,6.72381260863564e-05,7.48081226241835e-05,8.31509067043701e-05,6.38703828163411e-05,6.50449548475188e-05,7.14340808427997e-05,0.000101361908890211,5.49171408987504e-05,8.08895929279384e-05,0.000109482793762025,0.000100520208747214,5.55988979853628e-05,"v_3978",193,3.16997400621315e-05,1337.44019865395
"Rhodococcus_sp._DMU1",8.37023539798391e-05,0.000116458432077055,0.000126908771889505,0.000108102527118093,0.000104158818940118,0.000134878486745123,0.000114735713638487,0.000114013381530228,0.000106551516879851,0.000112962400314992,9.09169373162872e-05,9.49341657667303e-05,9.72803088962405e-05,5.57512663566367e-05,8.70042527587882e-05,8.74217084599977e-05,0.000118297563483503,4.0421396932522e-05,0.000118926961030957,0.000151285315016617,0.0001394838268762,6.43464579350599e-05,"v_4034",275,3.06616790335439e-05,1945.44480316753
"Rhodococcus_sp._21391",4.53902698092013e-05,5.76708536929527e-05,6.01298964761207e-05,5.04683929168574e-05,6.03590243251292e-05,7.73545530042177e-05,6.59648632827542e-05,5.33339907998546e-05,6.02086511527065e-05,4.98720376743973e-05,6.02072162672302e-05,6.12325369195411e-05,3.60737392243771e-05,2.39964997586818e-05,2.93800261709398e-05,5.61267778050569e-05,5.6048952106372e-05,2.57470606381675e-05,6.06671946959538e-05,6.91515827793345e-05,5.68898454811055e-05,4.47756458442122e-05,"v_4038",96,3.12256049960968e-05,440.603051565409
"Gordonia_sp._JH63",5.76366544854462e-05,6.32544771487019e-05,7.20546956570821e-05,6.6186793153558e-05,6.83226233460363e-05,6.46387360720175e-05,6.46573337826005e-05,5.99129142158846e-05,5.94671653010722e-05,5.07021740249314e-05,4.44482804657404e-05,4.78468195464321e-05,5.32665958737769e-05,3.8430484575934e-05,4.66445776322137e-05,5.96984818471969e-05,5.720823798627e-05,2.59256529662936e-05,6.83709654509956e-05,6.57762239202681e-05,5.22231003439836e-05,4.80374478593535e-05,"v_4169",86,3.15547000725758e-05,1947.7040102214
"Gordonia_sp._135",5.11764056883446e-05,5.24860604840427e-05,8.05104623490366e-05,6.17948872050681e-05,6.00430084909662e-05,6.80447584645712e-05,5.80543098068243e-05,7.63282862345225e-05,8.14892950946114e-05,5.3448009645929e-05,5.7944394716247e-05,5.32580669951357e-05,6.72709591081971e-05,5.21427701523236e-05,4.39943175394743e-05,5.21298709007574e-05,7.71681166140788e-05,4.25942702580552e-05,5.72967949906231e-05,6.48674734582118e-05,6.15565906182274e-05,5.20405685142996e-05,"v_4170",123,3.19631784184619e-05,1441.01350819617
"Bifidobacterium_animalis",7.5837703270324e-05,9.61180894882545e-05,0.00012091023654393,8.97643935086089e-05,9.00013095696168e-05,7.58407652741939e-05,0.000101856548061973,0.000107434458114198,0.000120120707964759,6.69217611815216e-05,6.32781883721359e-05,7.26721038944321e-05,8.31509067043701e-05,2.11097027952314e-05,6.99668664483206e-05,8.24893552589473e-05,8.01419369146866e-05,2.43480874011804e-05,7.60747362060374e-05,7.60321219920468e-05,7.90383660525255e-05,6.04916010080747e-05,"v_4501",84,3.26829427721672e-05,725.773548017018
"Oscillatoria_nigro-viridis",1.67404707959678e-05,1.98617462925937e-05,1.66224473431584e-05,2.0033255203638e-05,2.45860318978799e-05,1.9376482944305e-05,2.47776840279126e-05,2.13974693628159e-05,2.06874552605974e-05,1.66027270106828e-05,1.5193230413744e-05,1.6898281506478e-05,1.70052982132246e-05,1.08254886129392e-05,1.59015605564365e-05,1.23308830026261e-05,0.000172834403572617,1.0239293479225e-05,1.10741704603725e-05,1.43236382352689e-05,1.61484196808346e-05,1.30472080605651e-05,"v_5628",97,3.29424166556859e-05,1435.44726659966
"Hymenobacter_sedentarius",6.48271922770029e-05,7.90481549235355e-05,5.75281221093654e-05,7.15803618622298e-05,8.01416155437318e-05,7.8262825642232e-05,6.51803455826619e-05,7.14100619332186e-05,6.94772242981354e-05,6.69856178238703e-05,7.08748035790079e-05,6.37957593952428e-05,6.40199462144925e-05,4.96168228093045e-05,6.20918078870377e-05,6.44607539033835e-05,6.41639532656579e-05,4.97081979950749e-05,5.87412520071934e-05,5.57799688376484e-05,6.28899463716908e-05,6.87943697738889e-05,"v_5868",91,3.42794460441519e-05,661.797701625312
"Chloracidobacterium_thermophilum",2.65712841828617e-05,7.99255814665818e-05,2.38495983619229e-05,3.32860240306601e-05,3.16647865831306e-05,3.5952458588066e-05,5.86426980818935e-05,2.89344884219571e-05,3.58879152191009e-05,1.70497235071243e-05,3.20027619353331e-05,3.03789330453537e-05,4.60768558203915e-05,9.9233645618609e-06,1.62044474241781e-05,1.41167350236961e-05,6.12909404328673e-05,1.08048358516241e-05,0,2.71326923671106e-05,3.58524547042384e-05,2.2684350378028e-05,"v_6477",103,3.57155612700454e-05,1899.63718782937
