"","OTU","Genus","Species"
"1",2304594,"Marinobacter","sp._Arc7-DN-1"
"2",564064,"Spirosoma","rigui"
"3",55211,"Erwinia","persicina"
"4",2966625,"Chryseobacterium","sp._MA9"
"5",2615203,"Hymenobacter","baengnokdamensis"
"6",1639133,"Citrobacter","portucalensis"
"7",1619313,"Duffyella","gerundensis"
"8",2872648,"Mixta","hanseatica"
"9",2723776,"Lichenihabitans","s"
"10",38304,"Corynebacterium","tuberculostearicum"
"11",1883416,"Halomonas","sp._1513"
"12",1646498,"Acinetobacter","sp._TTH0-4"
"13",42906,"Serratia","entomophila"
"14",44252,"Paenibacillus","macerans"
"15",1765967,"Acidihalobacter","ferrooxydans"
"16",3025666,"Mucilaginibacter","sp._KACC_22063"
"17",1267768,"Brevirhabdus","pacifica"
"18",186192,"Marinithermus","hydrothermalis"
"19",328692,"Deinococcus","aquaticus"
"20",3031919,"Superficieibacter","sp._HKU1"
"21",1694,"Bifidobacterium","pseudolongum"
"22",2847989,"Geomonas","subterranea"
"23",2562449,"Citrobacter","tructae"
"24",158787,"Bifidobacterium","scardovii"
"25",1564506,"Rhodovulum","sp._P5"
"26",308754,"Rhodovulum","sp._MB263"
"27",244596,"Hoeflea","phototrophica"
"28",641491,"Pseudodesulfovibrio","mercurii"
"29",1241982,"Chryseobacterium","nakagawai"
"30",2953890,"Chromobacterium","sp._IIBBL_290-4"
"31",1949083,"Salinicola","endophyticus"
"32",2881056,"Demequina","sp._TMPB413"
"33",352,"Azotobacter","s"
"34",2909283,"Mariluticola","halotolerans"
"35",2020716,"Paenibacillus","konkukensis"
"36",2605989,"Gimesia","chilikensis"
"37",1385715,"Hymenobacter","qilianensis"
"38",387343,"Halopiger","xanaduensis"
"39",3058420,"Tropicibacter","sp._YMD87"
"40",60890,"Phaeobacter","gallaeciensis"
"41",3068275,"Natronococcus","sp._AD5"
"42",2674991,"Cohnella","candidum"
"43",2039234,"Halobacterium","litoreum"
"44",2528017,"Rosistilla","carotiformis"
"45",754429,"Gilvibacter","sp._SZ-19"
"46",320497,"Neoasaia","chiangmaiensis"
"47",1758178,"Celeribacter","ethanolicus"
"48",2691359,"_","s"
"49",2830842,"Halopseudomonas","nanhaiensis"
"50",634157,"Halorubrum","sp._PV6"
"51",3074898,"Pontibacter","sp._G13"
"52",328813,"Alistipes","onderdonkii"
"53",2733571,"Trueperella","pecoris"
"54",876,"Desulfovibrio","desulfuricans"
"55",2875539,"Arachidicoccus","terrestris"
"56",2496837,"Brevibacillus","marinus"
"57",2982524,"Halorubrum","ruber"
"58",122,"Gimesia","maris"
"59",172827,"Meiothermus","taiwanensis"
"60",2796139,"Methylacidimicrobium","sp._B4"
"61",2883100,"Pseudosulfitobacter","sp._DSM_107133"
"62",2754694,"Chryseobacterium","manosquense"
"63",471827,"Candidatus_Desulforudis","audaxviator"
"64",436,"Novacetimonas","hansenii"
"65",2747817,"Natronomonas","halophila"
"66",2884875,"Haladaptatus","halobius"
"67",463192,"Pseudodesulfovibrio","tunisiensis"
"68",2602067,"Octadecabacter","sp._SW4"
"69",2745199,"Microbulbifer","sp._YPW1"
"70",1214604,"Tumebacillus","algifaecis"
"71",1566351,"Desulfuromonas","sp._AOP6"
"72",1685,"Bifidobacterium","breve"
"73",29542,"Syntrophotalea","acetylenica"
"74",2610902,"Halomicrobium","sp._LC1Hm"
"75",1632780,"Phreatobacter","s"
"76",899,"Desulfomicrobium","baculatum"
"77",712710,"Tannerella","serpentiformis"
"78",2171755,"Profundibacter","amoris"
"79",2976335,"Chlorobaculum","sp._MV4-Y"
"80",55213,"Brenneria","rubrifaciens"
"81",143223,"Salegentibacter","salegens"
"82",182710,"Oceanobacillus","iheyensis"
"83",63186,"Zobellia","galactanivorans"
"84",1761453,"Euzebyella","marina"
"85",2487074,"Kaistella","daneshvariae"
"86",2038776,"Kaistella","flava_(ex_Peng_et_al._2021)"
"87",2895522,"Brevibacillus","humidisoli"
"88",1774273,"Polaribacter","vadi"
"89",1598,"Limosilactobacillus","reuteri"
"90",316068,"Leadbetterella","byssophila"
"91",2596890,"Candidatus_Uabimicrobium","amorphum"
"92",889453,"Alkalitalea","saponilacus"
"93",375288,"Parabacteroides","s"
"94",2980554,"Maribacter","sp._Hal144"
"95",2878534,"Kaistella","polysaccharea"
"96",2010992,"Marivirga","harenae"
"97",313603,"Maribacter","sp._HTCC2170"
"98",583,"Proteus","s"
"99",754397,"Polaribacter","sp._SA4-10"
"100",271065,"Methylotuvimicrobium","alcaliphilum"
"101",754417,"Winogradskyella","sp._PC-19"
"102",573501,"Leeuwenhoekiella","palythoae"
"103",2715212,"Bacteroides","faecium"
"104",1848904,"Capnocytophaga","stomatis"
"105",2494373,"Flammeovirga","pectinis"
"106",2518989,"Aequoribacter","fuscus"
"107",10,"Cellvibrio","s"
"108",363408,"Nonlabens","s"
"109",1336795,"Formosa","sp._Hel3_A1_48"
"110",329854,"Bacteroides","intestinalis"
"111",296745,"Caldalkalibacillus","thermarum"
"112",465797,"Acinetobacter","septicus"
