"","OTU","Genus","Species"
"1",742013,"Delftia","sp._Cs1-4"
"2",1132836,"Rhizobium","sp._CCGE_510"
"3",2895471,"Pseudomonas","sp._B21-010"
"4",160825,"Comamonas","koreensis"
"5",2724123,"Xanthomonas","sp._SI"
"6",2590785,"Pseudarthrobacter","sp._NIBRBAC000502770"
"7",1903276,"Candidatus_Nitrosotalea","okcheonensis"
"8",2675229,"Peribacillus","s"
"9",2745482,"Pseudomonas","kermanshahensis"
"10",794846,"Sinorhizobium","sp._CCBAU_05631"
"11",3020907,"Pseudomonas","sp._JBR1"
"12",2026193,"Bacillus","nitratireducens"
"13",1207075,"Pseudomonas","sp._UW4"
"14",517398,"Pseudomonas","sp._D3"
"15",1034015,"Nitrososphaera","viennensis"
"16",1459637,"Nitrososphaera","Candidatus_Nitrososphaera_evergladensis"
"17",300181,"Serratia","ureilytica"
"18",2986951,"Buttiauxella","sp._WJP83"
"19",395598,"Pseudomonas","reinekei"
"20",3031919,"Superficieibacter","sp._HKU1"
"21",1573711,"Pseudomonas","sp._R76"
"22",93681,"Roseateles","s"
"23",2956836,"Mesorhizobium","sp._C432A"
"24",2956834,"Mesorhizobium","sp._C416B"
"25",2015348,"Burkholderia","aenigmatica"
"26",2866628,"Diaphorobacter","sp._MNS-0"
"27",155925,"Nitrosospira","sp._NRS527"
"28",1407,"Peribacillus","psychrosaccharolyticus"
"29",12960,"Azoarcus","s"
"30",370405,"Gallionella","capsiferriformans"
"31",278153,"Mesorhizobium","sp._WSM1497"
"32",72276,"_","s"
"33",1898749,"Candidatus_Nitrosomarinus","catalina"
"34",3050898,"Sulfuricystis","s"
"35",1470066,"Nitrosopumilus","cobalaminigenes"
"36",83263,"Aminobacter","aminovorans"
"37",718286,"Nitrosopumilus","zosterae"
"38",395922,"Coraliomargarita","akajimensis"
"39",2897177,"_","s"
"40",2872157,"Grimontia","kaedaensis"
"41",2563896,"Candidatus_Pelagibacter","giovannonii"
"42",2102,"Mycoplasma","mycoides"
"43",2782643,"Bradyrhizobium","sp._172"
"44",2883127,"Sulfitobacter","sp._DSM_110093"
"45",851,"Fusobacterium","nucleatum"
"46",47886,"Pseudomonas","luteola"
"47",2714594,"Bremerella","s"
"48",1649480,"Planctopirus","s"
"49",2141,"Spiroplasma","ixodetis"
"50",1196095,"Gilliamella","apicola"
"51",2883512,"Citrifermentans","s"
"52",2597515,"Bradyrhizobium","sp._SEMIA"
"53",1549855,"Haematospirillum","jordaniae"
"54",1790137,"Wenyingzhuangia","fucanilytica"
"55",85,"Hyphomonas","s"
"56",754397,"Polaribacter","sp._SA4-10"
"57",59600,"Cellulophaga","algicola"
"58",911,"Nitrobacter","s"
"59",94869,"Clostridium","gasigenes"
"60",133539,"Nitrosococcus","halophilus"
"61",1643824,"_","s"
"62",2806551,"Polaribacter","sp._Q13"
"63",877500,"Halarcobacter","anaerophilus"
"64",1849015,"Arcobacter","acticola"
"65",215743,"Roseovarius","mucosus"
"66",890,"Desulfuromonas","s"
"67",69541,"_","s"
"68",437897,"Megamonas","funiformis"
"69",2795973,"Stieleria","s"
"70",44260,"Moorella","s"
"71",1912871,"Malaciobacter","canalis"
"72",367743,"Ureibacillus","thermophilus"
"73",2715679,"Dissulfurispira","thermophila"
"74",213118,"_","s"
"75",827,"Campylobacter","ureolyticus"
"76",2587854,"Labrenzia","sp._THAF35"
"77",2948573,"Peptoniphilus","sp._SAHP1"
"78",32064,"_","s"
"79",291048,"Caminibacter","mediatlanticus"
"80",28135,"Prevotella","oris"
"81",2299,"Desulfosarcina","s"
"82",51669,"Tetragenococcus","halophilus"
"83",1335745,"Spiribacter","s"
"84",329857,"Cohnella","s"
"85",69966,"Macrococcus","caseolyticus"
"86",3046369,"Aristaeella","s"
"87",1230533,"Thalassotalea","piscium"
"88",35786,"Coprothermobacter","proteolyticus"
"89",649776,"_","s"
"90",2592653,"Lactococcus","protaetiae"
