"Genus" "Species"
"1041" "Cylindrospermopsis" "raciborskii"
"1051" "Acidianus" "sulfidivorans"
"1061" "Rheinheimera" "sp._MMS21-TC3"
"1071" "Leptotrichia" "sp._oral_taxon_212"
"1081" "Roseburia" "intestinalis"
"1091" "Methanobacterium" "ferruginis"
"1103" "Candidatus_Sulfidibacterium" "hydrothermale"
"1113" "Elizabethkingia" "bruuniana"
"1121" "Polaribacter" "huanghezhanensis"
"113" "Cellulophaga" "sp._L1A9"
"114" "Staphylococcus" "succinus"
"115" "Lactococcus" "raffinolactis"
"116" "Acidianus" "manzaensis"
"117" "Elizabethkingia" "sp._JS20170427COW"
"118" "Clostridium" "sp._JN-9"
"119" "Tenacibaculum" "pacificus"
"120" "Salicibibacter" "cibarius"
"121" "Myroides" "albus"
"122" "Kungbxnavirus" "pT24"
"123" "Dokdonia" "donghaensis"
"124" "Anaplasma" "phagocytophilum"
"125" "Mariniplasma" "anaerobium"
"126" "Enterococcus" "hirae"
"127" "Sulfurimonas" "aquatica"
"128" "Chlorovirus" "Acanthocystis_turfacea_chlorella_virus_1"
"129" "Anaerobutyricum" "hallii"
"130" "Pediococcus" "pentosaceus"
"131" "Alteromonas" "mediterranea"
"132" "_" "Orpheovirus_IHUMI-LCC2"
"133" "Spiroplasma" "cantharicola"
"134" "Rickettsia" "s"
"135" "_" "secondary_endosymbiont_of_Heteropsylla_cubana"
"136" "Tupanvirus" "soda_lake"
"137" "Peptoniphilus" "harei"
"138" "Spiroplasma" "chrysopicola"
"139" "Francisella" "sp._LA112445"
"140" "Methanococcus" "vannielii"
"141" "Melissococcus" "plutonius"
"142" "Clostridium" "cadaveris"
"143" "Mammaliicoccus" "vitulinus"
"144" "Bartonella" "s"
"145" "Candidatus_Purcelliella" "pentastirinorum"
"146" "Colwellia" "sp._MT41"
"147" "Fusobacterium" "sp._oral_taxon_203"
"148" "Spiroplasma" "turonicum"
"149" "Myroides" "sp._mNGS23_01"
"150" "Alkalihalobacillus" "sp._LMS6"
"151" "Spiroplasma" "clarkii"
"152" "Campylobacter" "sp._RM12651"
"153" "Arcobacter" "roscoffensis"
"154" "Staphylococcus" "nepalensis"
"155" "Lachnoanaerobaculum" "gingivalis"
"156" "Wolbachia" "endosymbiont_of_Litomosoides_sigmodontis"
"157" "Clostridium" "sp._MD294"
"158" "Spiroplasma" "gladiatoris"
"159" "Vallitalea" "pronyensis"
"160" "Caldicellulosiruptor" "acetigenus"
"161" "Helicobacter" "bilis"
"162" "Methanobrevibacter" "olleyae"
"163" "Campylobacter" "blaseri"
"164" "Latilactobacillus" "curvatus"
"165" "Methanobrevibacter" "arboriphilus"
"166" "Fusobacterium" "canifelinum"
"167" "Thermodesulfobium" "narugense"
"168" "Turicimonas" "muris"
"169" "Aliarcobacter" "s"
"170" "Dissulfurispira" "thermophila"
"171" "Spiroplasma" "tabanidicola"
"172" "Myroides" "profundi"
"173" "Cavemovirus" "deltaepiphylli"
"174" "Polaribacter" "pectinis"
"175" "_" "Cotonvirus_japonicus"
"176" "Spiroplasma" "floricola"
"177" "Mycoplasma" "sp._E35C"
"178" "Aliarcobacter" "lanthieri"
"179" "Aliarcobacter" "thereius"
"180" "Lactobacillus" "acidophilus"
"181" "Spiroplasma" "poulsonii"
"182" "Spiroplasma" "culicicola"
"183" "_" "Prymnesium_kappa_virus"
"184" "Streptococcus" "parauberis"
"185" "Peptoniphilus" "sp._SAHP1"
"186" "Rummeliibacillus" "sp._G93"
"187" "Campylobacter" "ornithocola"
"188" "Methanothermococcus" "okinawensis"
"189" "Colwellia" "sp._PAMC_20917"
"190" "Empedobacter" "stercoris"
"191" "Spiroplasma" "taiwanense"
"192" "Thermodesulfobacterium" "geofontis"
"193" "Liquorilactobacillus" "hordei"
"194" "Spiroplasma" "corruscae"
"195" "Nanobdella" "aerobiophila"
"196" "Brachyspira" "s"
"197" "Treponema" "sp._Marseille-Q4132"
"198" "Staphylococcus" "warneri"
"199" "Candidatus_Profftia" "tarda"
"200" "Francisella" "philomiragia"
"201" "Legionella" "cherrii"
"202" "Clostridium" "fermenticellae"
"203" "Caminibacter" "mediatlanticus"
"204" "Celerinatantimonas" "diazotrophica"
"205" "Aminobacterium" "sp._MB27-C1"
"206" "Wolbachia" "s"
"207" "Candidatus_Pelagibacter" "sp._HIMB1321"
"208" "Mucispirillum" "schaedleri"
"209" "Anaerococcus" "s"
"210" "Methanobacterium" "sp._CWC-01"
"211" "Ilyobacter" "polytropus"
"212" "Mycoplasma" "sp._OR1901"
"213" "Mycoplasmopsis" "canis"
"214" "Anaeropeptidivorans" "aminofermentans"
"215" "Spiroplasma" "alleghenense"
"216" "Prevotella" "jejuni"
"217" "Pseudoalteromonas" "aliena"
"218" "Candidatus_Profftia" "lariciata"
"219" "Halanaerobium" "hydrogeniformans"
"220" "Methanocaldococcus" "lauensis"
"221" "Shouchella" "lehensis"
"222" "Saccharolobus" "caldissimus"
"223" "Staphylococcus" "equorum"
"224" "Polaribacter" "sp._BM10"
"225" "Iocasia" "fonsfrigidae"
"226" "Methanobrevibacter" "smithii"
"227" "Caldicellulosiruptor" "bescii"
"228" "Candidatus_Neoehrlichia" "Neoehrlichia_mikurensis"
"229" "Pantoea" "Candidatus_Pantoea_carbekii"
"230" "Campylobacter" "insulaenigrae"
"231" "_" "s"
"232" "Pseudoalteromonas" "espejiana"
"233" "Shewanella" "vesiculosa"
"234" "Mesomycoplasma" "lagogenitalium"
"235" "Campylobacter" "lanienae"
"236" "Bartonella" "alsatica"
"237" "Thiomicrorhabdus" "sediminis"
"238" "Mesomycoplasma" "[Mycoplasma]_mobile"
"239" "Neisseria" "zalophi"
"240" "Photobacterium" "phosphoreum"
"241" "Candidatus_Carsonella" "ruddii"
"242" "Sulfurimonas" "Candidatus_Sulfurimonas_marisnigri"
"243" "Spiroplasma" "helicoides"
"244" "Mycoplasma" "sp._NEAQ87857"
"245" "Mycoplasmopsis" "pulmonis"
"246" "Methanohalobium" "evestigatum"
"247" "Ehrlichia" "muris"
"248" "Borrelia" "crocidurae"
"249" "Spiroplasma" "litorale"
"250" "Vibrio" "sp._SS-MA-C1-2"
"251" "Mesoplasma" "melaleucae"
"252" "Helicobacter" "cinaedi"
"253" "Enterovibrio" "Candidatus_Enterovibrio_luxaltus"
"254" "Mycoplasmopsis" "bovirhinis"
"255" "Candidatus_Blochmannia" "herculeanus"
"256" "Methanothermococcus" "thermolithotrophicus"
"257" "Pseudoalteromonas" "sp._SCSIO_43201"
"258" "Shewanella" "oneidensis"
"259" "Methanocaldococcus" "vulcanius"
"260" "Mycoplasmopsis" "anatis"
"261" "Gilliamella" "sp._ESL0441"
"262" "Candidatus_Blochmannia" "Blochmannia_endosymbiont_of_Camponotus_modoc"
"263" "Enterococcus" "avium"
"264" "Aliarcobacter" "trophiarum"
"265" "Klosneuvirus" "Bodo_saltans_virus"
"266" "Candidatus_Blochmannia" "vicinus"
"267" "Ichthyobacterium" "seriolicida"
"268" "Mycoplasma" "putrefaciens"
"269" "Spiroplasma" "syrphidicola"
"270" "Apilactobacillus" "apisilvae"
"271" "Macrococcus" "epidermidis"
"272" "Treponema" "succinifaciens"
"273" "Ureaplasma" "urealyticum"
"274" "Campylobacter" "upsaliensis"
"275" "Mycoplasma" "sp._SG1"
"276" "Candidatus_Gullanella" "endobia"
"277" "Arsenophonus" "sp._aPb"
"278" "Methanothermus" "fervidus"
"279" "Nautilia" "sp._PV-1"
"280" "Colwellia" "sp._M166"
"281" "Williamsoniiplasma" "luminosum"
"282" "Vibrio" "natriegens"
"283" "Mycoplasma" "ovis"
"284" "Methanobrevibacter" "sp._AbM4"
"285" "Vibrio" "lentus"
"286" "Lelliottia" "steviae"
"287" "Nitrosophilus" "labii"
"288" "Methanosphaera" "stadtmanae"
"289" "Campylobacter" "sp._RM10537"
"290" "Mesomycoplasma" "neurolyticum"
"291" "Mycoplasmopsis" "fermentans"
"292" "Leptotrichia" "hongkongensis"
"293" "Methanobrevibacter" "sp._TLL-48-HuF1"
"294" "Staphylococcus" "coagulans"
"295" "Abyssicoccus" "albus"
"296" "Vitreoscilla" "s"
"297" "Atribacter" "laminatus"
"298" "Mycoplasma" "miroungigenitalium"
"299" "Campylobacter" "corcagiensis"
"300" "Candidatus_Kinetoplastibacterium" "sorsogonicusi"
"301" "Colwellia" "psychrerythraea"
"302" "Ligilactobacillus" "murinus"
"303" "Campylobacter" "peloridis"
"304" "Mesomycoplasma" "dispar"
"305" "Pasteurella" "canis"
"306" "Streptococcus" "dysgalactiae"
"307" "Rheavirus" "sinusmexicani"
"308" "Campylobacter" "hominis"
"309" "Candidatus_Blochmannia" "ocreatus"
"310" "Staphylococcus" "shinii"
"311" "Metamycoplasma" "canadense"
"312" "Spiroplasma" "sp._SV19"
"313" "Mycoplasma" "yeatsii"
"314" "Allofrancisella" "guangzhouensis"
"315" "Staphylococcus" "lloydii"
"316" "_" "s"
"317" "Mycoplasmopsis" "edwardii"
"318" "Borreliella" "turdi"
"319" "Francisella" "sp._FSC1006"
"320" "Entomospira" "nematocera"
"321" "Streptococcus" "ruminicola"
"322" "Wolbachia" "endosymbiont_of_Howardula_sp."
"323" "Sulfolobus" "sp._A20"
"324" "Borrelia" "sp._A-FGy1"
"325" "Sneathia" "vaginalis"
"326" "Spiroplasma" "diminutum"
"327" "Mycoplasmopsis" "gallinacea"
"328" "Natranaerobius" "thermophilus"
"329" "Candidatus_Hepatoplasma" "crinochetorum"
"330" "Sulfurisphaera" "ohwakuensis"
"331" "Mycoplasmopsis" "phocirhinis"
"332" "Borrelia" "Candidatus_Borrelia_fainii"
"333" "Borreliella" "bavariensis"
"334" "Pseudoalteromonas" "sp._DL-6"
"335" "Streptococcus" "iniae"
"336" "Mycoplasma" "Candidatus_Mycoplasma_mahonii"
"337" "Metamycoplasma" "equirhinis"
"338" "Anaerococcus" "mediterraneensis"
"339" "Methanobacterium" "paludis"
"340" "Methanocaldococcus" "sp._FS406-22"
"341" "Spiroplasma" "sp._TIUS-1"
"342" "Wolinella" "succinogenes"
"343" "Companilactobacillus" "alimentarius"
"344" "Companilactobacillus" "crustorum"
"345" "Francisella" "hispaniensis"
"346" "Methanococcus" "aeolicus"
"347" "Companilactobacillus" "heilongjiangensis"
"348" "Entomomonas" "asaccharolytica"
"349" "Cognaticolwellia" "beringensis"
"350" "Fusobacterium" "periodonticum"
"351" "Companilactobacillus" "farciminis"
"352" "Mycoplasma" "struthionis"
"353" "Sulfolobus" "acidocaldarius"
"354" "Spiroplasma" "sabaudiense"
"355" "Candidatus_Nasuia" "deltocephalinicola"
"356" "Mycoplasma" "sp._(ex_Biomphalaria_glabrata)"
"357" "Candidatus_Schneideria" "nysicola"
"358" "Treponema" "phagedenis"
"359" "Staphylococcus" "schweitzeri"
"360" "Methanosalsum" "zhilinae"
"361" "Methanocaldococcus" "bathoardescens"
"362" "Acidiplasma" "sp."
"363" "Staphylococcus" "ratti"
"364" "Wujia" "chipingensis"
"365" "Borrelia" "sp._HM"
"366" "Erysipelothrix" "s"
"367" "Campylobacter" "subantarcticus"
"368" "Metamycoplasma" "salivarium"
"369" "Shewanella" "sp._OMA3-2"
"370" "Leptotrichia" "sp._oral_taxon_218"
"371" "Liquorilactobacillus" "nagelii"
"372" "Vibrio" "casei"
"373" "Fusobacterium" "gonidiaformans"
"374" "Liberibacter" "crescens"
"375" "Mesoplasma" "tabanidae"
"376" "Methanobrevibacter" "s"
"377" "Vagococcus" "s"
"378" "Shewanella" "livingstonensis"
"379" "Methanocaldococcus" "jannaschii"
"380" "Borrelia" "anserina"
"381" "Mycoplasma" "sp._Pen4"
"382" "Candidatus_Pelagibacter" "ubique"
"383" "Blattabacterium" "punctulatus"
"384" "Borreliella" "Candidatus_Borreliella_tachyglossi"
"385" "Donellivirus" "gee"
"386" "Mycoplasmopsis" "equigenitalium"
"387" "Candidatus_Vallotia" "tarda"
"388" "Tetragenococcus" "osmophilus"
"389" "Mesoplasma" "chauliocola"
"390" "Lentilactobacillus" "parabuchneri"
"391" "Wigglesworthia" "glossinidia"
"392" "Sulfurisphaera" "tokodaii"
"393" "Mycoplasmoides" "gallisepticum"
"394" "Treponema" "putidum"
"395" "Methanocaldococcus" "infernus"
"396" "Spiroplasma" "melliferum"
"397" "Polaribacter" "sp._AHE13PA"
"398" "Vagococcus" "penaei"
"399" "Acidianus" "ambivalens"
"400" "Ferroplasma" "s"
"401" "Acidianus" "sp._HS-5"
"402" "_" "Enterobacteriaceae_endosymbiont_of_Macroplea_mutica"
"403" "Aerococcus" "viridans"
"404" "Candidatus_Blochmannia" "Blochmannia_endosymbiont_of_Camponotus_nipponensis"
"405" "Clostridium" "autoethanogenum"
"406" "Mycoplasmopsis" "columbina"
"407" "Campylobacter" "sp._RM6137"
"408" "Thermoplasma" "volcanium"
"409" "Thermococcus" "barophilus"
"410" "Weissella" "soli"
"411" "Lactobacillus" "taiwanensis"
"412" "Erysipelothrix" "rhusiopathiae"
"413" "Mimivirus" "s"
"414" "Dorea" "formicigenerans"
"415" "Allofrancisella" "inopinata"
"416" "Mycoplasma" "cottewii"
"417" "Weissella" "coleopterorum"
"418" "Chlamydia" "psittaci"
"419" "Candidatus_Azoamicus" "ciliaticola"
"420" "Ureaplasma" "diversum"
"421" "Francisella" "sp._Scap27"
"422" "Spiroplasma" "kunkelii"
"423" "Methanocaldococcus" "fervens"
"424" "Clostridium" "diolis"
"425" "Mesoplasma" "coleopterae"
"426" "_" "Enterobacteriaceae_endosymbiont_of_Donacia_proxima"
"427" "Borreliella" "spielmanii"
"428" "Saccharolobus" "shibatae"
"429" "Psychrobacter" "cryohalolentis"
"430" "Staphylococcus" "debuckii"
"431" "Mycoplasma" "leachii"
"432" "Wolbachia" "endosymbiont_of_Ctenocephalides_felis_wCfeJ"
"433" "Sulfurospirillum" "deleyianum"
"434" "Francisella" "noatunensis"
"435" "Oenococcus" "kitaharae"
"436" "Candidatus_Phycorickettsia" "trachydisci"
"437" "Desulfurobacterium" "thermolithotrophum"
"438" "Methylacidiphilum" "Candidatus_Methylacidiphilum_fumarolicum"
"439" "Greenvirus" "ssm4"
"440" "Mycoplasmopsis" "pullorum"
"441" "Helicobacter" "himalayensis"
"442" "Taylorella" "asinigenitalis"
"443" "Pediococcus" "s"
"444" "Metamycoplasma" "arthritidis"
"445" "Mesoplasma" "entomophilum"
"446" "Polaribacter" "sp._R2A056_3_33"
"447" "Borrelia" "puertoricensis"
"448" "Myroides" "sp._A21"
"449" "Streptococcus" "halichoeri"
"450" "Psychrobacter" "sp._P2G3"
"451" "_" "Enterobacteriaceae_endosymbiont_of_Plateumaris_consimilis"
"452" "_" "Enterobacteriaceae_endosymbiont_of_Donacia_tomentosa"
"453" "Jeotgalibaca" "dankookensis"
"454" "Vibrio" "bathopelagicus"
"455" "Companilactobacillus" "s"
"456" "Ehrlichia" "japonica"
"457" "Nicoliella" "spurrieriana"
"458" "Psychrobacter" "sp._P11G5"
"459" "Methanomassiliicoccus" "Candidatus_Methanomassiliicoccus_intestinalis"
"460" "Thermoanaerobacter" "kivui"
"461" "_" "Diachasmimorpha_entomopoxvirus"
"462" "_" "Enterobacteriaceae_endosymbiont_of_Donacia_crassipes"
"463" "Alphabaculovirus" "lafiscellariae"
"464" "Rickettsia" "australis"
"465" "Metallosphaera" "hakonensis"
"466" "Metamycoplasma" "cloacale"
"467" "Candidatus_Phytoplasma" "ziziphi"
"468" "Chlamydia" "suis"
"469" "Sulfurisphaera" "s"
"470" "Candidatus_Mancarchaeum" "acidiphilum"
"471" "Bartonella" "grahamii"
"472" "Lentilactobacillus" "curieae"
"473" "Borreliella" "afzelii"
"474" "Mesomycoplasma" "flocculare"
"475" "_" "Enterobacteriaceae_endosymbiont_of_Donacia_cincticornis"
"476" "Methanobacterium" "sp._BAmetb5"
"477" "Wolbachia" "endosymbiont_of_Chironomus_riparius"
"478" "Solendovirus" "venaipomeae"
"479" "Weissella" "ceti"
"480" "Proboscivirus" "Elephant_endotheliotropic_herpesvirus_3"
"481" "_" "s"
"482" "_" "Wenzhou_picorna-like_virus_7"
"483" "Laulavirus" "laurelense"
"484" "Alphabaculovirus" "agipsilonis"
"485" "Streptococcus" "ruminantium"
"486" "Iapetusvirus" "EaH1"
"487" "Firehammervirus" "s"
"488" "Alphabaculovirus" "urprotei"
"489" "Candidatus_Carsonella" "ruddii_(Diaphorina_cf._continua)"
"490" "Badnavirus" "Hibiscus_bacilliform_virus_GD1"
"491" "Soymovirus" "crispocestri"
"1100" "Staphylococcus" "aureus"
"2100" "Vibrio" "anguillarum"
"3100" "Achromobacter" "sp._B7"
"492" "Pseudomonas" "sp._FP2196"
"510" "Roseateles" "s"
"610" "Rhodoferax" "s"
"710" "Acidithiobacillus" "ferrivorans"
"810" "Methylomonas" "rapida"
"910" "Acinetobacter" "sp._TAC-1"
"1010" "Spongiibacter" "taiwanensis"
"1110" "Sulfitobacter" "sp._W027"
"1210" "Moorella" "thermoacetica"
"1310" "Leptotrichia" "s"
"1410" "Methylomusa" "anaerophila"
"1510" "Myroides" "albus"
"1610" "Pseudoalteromonas" "piscicida"
"1710" "Macrococcus" "brunensis"
"1810" "Thermococcus" "kodakarensis"
"1910" "Thermanaerovibrio" "s"
"2010" "Staphylococcus" "aureus"
"2110" "Vibrio" "anguillarum"
"2210" "Achromobacter" "sp._B7"
"2310" "Pseudomonas" "sp._FP2196"
"2410" "Roseateles" "s"
"2510" "Rhodoferax" "s"
"2610" "Acidithiobacillus" "ferrivorans"
"2710" "Methylomonas" "rapida"
"2810" "Acinetobacter" "sp._TAC-1"
"2910" "Spongiibacter" "taiwanensis"
"3010" "Sulfitobacter" "sp._W027"
"3110" "Moorella" "thermoacetica"
"3210" "Leptotrichia" "s"
"3310" "Methylomusa" "anaerophila"
"3410" "Myroides" "albus"
"3510" "Pseudoalteromonas" "piscicida"
"3610" "Macrococcus" "brunensis"
"3710" "Thermococcus" "kodakarensis"
"3810" "Thermanaerovibrio" "s"
