"Genus" "Species"
"74" "_" "s"
"75" "Campylobacter" "ureolyticus"
"76" "Labrenzia" "sp._THAF35"
"77" "Peptoniphilus" "sp._SAHP1"
"78" "_" "s"
"79" "Caminibacter" "mediatlanticus"
"80" "Prevotella" "oris"
"81" "Desulfosarcina" "s"
"82" "Tetragenococcus" "halophilus"
"83" "Spiribacter" "s"
"84" "Cohnella" "s"
"85" "Macrococcus" "caseolyticus"
"86" "Aristaeella" "s"
"87" "Thalassotalea" "piscium"
"88" "Coprothermobacter" "proteolyticus"
"89" "_" "s"
"90" "Lactococcus" "protaetiae"
"1108" "Priestia" "flexa"
"2107" "Hafnia" "alvei"
"3107" "Scytonema" "sp._HK-05"
"4102" "Spirosoma" "radiotolerans"
"526" "Marinobacter" "sp._LPB0319"
"620" "Pseudomonas" "guguanensis"
"720" "Paenibacillus" "peoriae"
"819" "Pseudomonas" "sp._JBR1"
"918" "Duffyella" "gerundensis"
"1018" "Lentzea" "s"
"1118" "Paracoccus" "everestensis"
"1217" "Metabacillus" "sediminilitoris"
"1317" "Mixta" "calida"
"1417" "Streptomyces" "sp._M2"
"1517" "Spirosoma" "foliorum"
"1617" "Peribacillus" "asahii"
"1717" "Conexibacter" "s"
"1817" "Serratia" "sp._FDAARGOS_506"
"1916" "Spirosoma" "montaniterrae"
"2016" "Pseudomonas" "solani"
"2116" "Nostoc" "sp._MS1"
"2216" "Neobacillus" "mesonae"
"2316" "Microbacterium" "chengjingii"
"2416" "_" "s"
"2516" "Spongiactinospora" "sp._TRM90649"
"2616" "Nitrosopumilus" "s"
"2716" "Heyndrickxia" "vini"
"2816" "Pseudomonas" "sp._gcc21"
"2916" "Nitrosopumilus" "sp._K4"
"3016" "Paracoccus" "sp._Arc7-R13"
"3116" "Thalassospira" "marina"
"3216" "Marinimicrobium" "sp._C6131"
"3316" "Ewingella" "americana"
"3416" "Oceanimonas" "pelagia"
"3516" "Pseudomonas" "sp._DNDY-54"
"3616" "Lysinibacillus" "parviboronicapiens"
"3716" "Halopseudomonas" "phragmitis"
"3816" "Bordetella" "genomosp._6"
"3915" "Microbulbifer" "sp._YPW1"
"4015" "Parvularcula" "bermudensis"
"4115" "Paenibacillus" "sp._HWE-109"
"4215" "Caldibacillus" "thermoamylovorans"
"4315" "Micavibrio" "aeruginosavorus"
"4415" "Runella" "sp._SP2"
"4515" "Candidatus_Nitrosomarinus" "catalina"
"4615" "Methanoculleus" "bourgensis"
"4715" "Nitrosopumilus" "ureiphilus"
"4815" "Paralcaligenes" "sp._CC-YST667"
