"","X1ayWM2CHIPOOB100705","oAVVM2CHIPOOB051360","X3xfYM2CHIPOOA051365","jYxWM2CHIPOOB051110","hoQoM2CHIPOOA051115","eBCjM2CHIPOOBXX1180","j1iWM2CHIPOOBXX1561","nodos","degrees","closeness","betweenness"
"Cupriavidus_sp._USMAA2-4",0.000111559930729318,0.000159260163844116,0.000128991232869971,0.000175217741154544,0.00015637965296608,0.000141723839167307,0.000134551264388948,"v_1128",129,3.14485187747657e-05,5069.96757270079
"Ralstonia_pickettii",9.9432779620431e-05,0.000145974557311475,0.000120443621053286,0.000140695286577626,0.000140572877445465,0.000139532233406988,0.00011978634688078,"v_1166",106,3.14030900640623e-05,1444.74668009534
"Nitrogeniibacter_aestuarii",9.2925527805906e-05,0.000150987993738886,0.000115392759525245,0.000134181615902736,0.000123691855044809,9.32650006891382e-05,0.000104783285541836,"v_1337",138,3.24317312058118e-05,4933.32539585196
"Ferriphaselus_amnicola",3.77124821069062e-05,8.68995647418051e-05,4.2220022003625e-05,6.0577137276478e-05,4.59879973884547e-05,4.59425503829872e-05,4.14370265551804e-05,"v_1374",91,3.4721016631367e-05,3984.38466315427
"Aquitalea_magnusonii",2.87403621808187e-05,4.26977669067908e-05,2.87510579288489e-05,3.53909440002362e-05,3.44782093880072e-05,2.88967278027269e-05,1.38123421850601e-05,"v_1417",91,3.58500035850004e-05,3472.11768442077
"Pseudomonas_sp._SWI44",2.62261967070249e-05,6.13310389620048e-05,6.88989316132775e-05,4.62470617917197e-05,4.4453358988395e-05,2.54875632866749e-05,0,"v_1736",129,3.47729327491481e-05,3209.07168950599
"Pseudomonas_sp._R32",6.45795445229374e-06,2.61534266963317e-05,1.77427699831185e-05,2.27978473621154e-05,1.45790648005668e-05,5.92545261123333e-06,0,"v_1746",108,3.4684887794388e-05,5203.92957711234
"Pseudomonas_sp._BJP69",8.77493047716248e-06,4.57058287632379e-05,4.31265868932734e-05,2.3014969717945e-05,1.64717854939738e-05,1.21755875573288e-05,0,"v_1757",119,3.49956255468066e-05,1682.44266546624
"Azotobacter_vinelandii",6.82768466902811e-05,0.000104028805868796,0.000131969946078815,0.000101613262528286,0.000377316427961337,7.75990780320419e-05,7.35864437100618e-05,"v_1934",95,3.19682874588408e-05,4129.26110719361
"Klebsiella_oxytoca",4.07196212030124e-05,4.38675687398535e-05,4.68823557218167e-05,4.51614500125714e-05,0.000204209216434606,3.79066625951502e-05,3.92937320781883e-05,"v_1965",107,3.44423779017703e-05,4858.88040951977
"Citrobacter_braakii",1.67118057963937e-05,3.96061477765535e-05,3.53560306962872e-05,4.29902264542747e-05,2.70096358410501e-05,2.63804397075456e-05,0,"v_2026",118,3.59169599885066e-05,2239.31185411292
"Methylomonas_methanica",1.97189448925e-05,2.48165103156886e-05,2.18870666215111e-05,3.03971298161538e-05,2.7623491201074e-05,2.24030811054849e-05,2.23855200930285e-05,"v_2476",89,3.5196395889061e-05,3408.81192695387
"Trueperella_pyogenes",3.30292326949374e-05,5.51478007015302e-05,5.84086807473462e-05,4.62470617917197e-05,5.49912093354714e-05,4.35074328715214e-05,4.97720606323719e-05,"v_4480",89,3.43194453977624e-05,4608.2156866885
"Deinococcus_sp._KNUC1210",4.96917411290999e-05,6.67622617583676e-05,8.36629883875513e-05,7.92496598778296e-05,7.74480845896779e-05,7.65438604437401e-05,6.28699713251013e-05,"v_5494",90,3.44625564324362e-05,2940.85466849248
"Synechococcus_sp._M16.1",4.19027578965624e-06,1.06953310451452e-05,1.06197601358811e-05,1.25930966381209e-05,1.24305710404833e-05,9.00993479242328e-06,0,"v_5576",134,3.31257453292699e-05,4948.2760974426
