"","Ia7iM2MAIPOOB100245","P0ZQM2MAIPOOA100240","qU3SM2MAIPOOM070605","B7zTM2MAIPOOA070610","c5isM2MAIPOOA070615","TgLUM2MAIPOOM070620","pse1M2MAIPOOA100685","AJwcM2MAIPOOA100700","nodos","degrees","closeness","betweenness"
"Pseudorhodobacter_turbinis",2.18646424294962e-05,2.56192410977981e-05,2.18332068207251e-05,3.35606072088184e-05,2.40267050730559e-05,3.16062522602936e-05,2.27767895972708e-05,2.7524535559892e-05,"v_737",222,3.65644082050532e-05,4141.47461083715
"Pseudomonas_sp._ADAK13",2.91528565726616e-05,3.75318293953737e-05,2.60589887860267e-05,4.00562086040736e-05,2.96927041798362e-05,3.3935951444099e-05,1.99296908976119e-05,2.98992013729022e-05,"v_1059",193,3.7178867531695e-05,3060.59289344576
"Pseudomonas_fuscovaginae",1.85063476772533e-05,2.82026939816097e-05,1.69813830827862e-05,3.57258076739035e-05,2.51025276882673e-05,2.60149742191605e-05,1.49472681732089e-05,2.49879607141764e-05,"v_1238",193,3.60724334463603e-05,3375.05462649167
"Pseudomonas_kunmingensis",2.32222509463603e-05,2.17440617720808e-05,2.41808634681149e-05,5.3047411394584e-05,3.03381977489631e-05,2.4927781266718e-05,2.0997352909984e-05,2.75785052374604e-05,"v_1319",238,3.74700239808153e-05,4246.37285399696
"Marinobacter_sp._CP1",2.46513125430594e-05,2.43992772359982e-05,2.42591186896946e-05,5.19648111620414e-05,3.20595139333014e-05,3.02860893894705e-05,2.42003389471002e-05,2.82261413682814e-05,"v_1364",237,3.75784450039457e-05,3914.91938162612
"Kosakonia_radicincitans",1.00034311768937e-05,1.636186826414e-05,1.52597682080337e-05,2.27346048833931e-05,1.8217262950914e-05,2.22097988856117e-05,1.17442821360927e-05,1.17653897099146e-05,"v_1453",215,3.45781466113416e-05,3856.41350044994
"Yokenella_regensburgei",1.22899297316122e-05,1.73665443856223e-05,1.76856800770031e-05,2.38172051159357e-05,2.12295662735061e-05,1.89482200282841e-05,1.38796061608369e-05,2.02925987657243e-05,"v_1498",246,3.6473720684247e-05,4510.31483209647
"Erwinia_rhapontici",1.18612112526025e-05,1.27737392588461e-05,1.33033876685422e-05,2.05694044183081e-05,1.58504531974488e-05,1.66185208444787e-05,8.54129609897654e-06,1.60289942378194e-05,"v_1580",213,3.52050695300123e-05,3957.81226931248
"Sodalis_praecaptivus",2.5365843341409e-05,2.54757159375864e-05,2.61372440076064e-05,3.35606072088184e-05,2.86886030723055e-05,3.08296858656918e-05,2.91827616715032e-05,2.68229297515026e-05,"v_1657",215,3.70329222678962e-05,3912.99448312057
"Halomonas_sp._SH5A2",1.96495969546126e-05,2.08111482307044e-05,1.76074248554235e-05,2.92302062786483e-05,2.07275157197407e-05,2.47724679877977e-05,1.56590428481237e-05,2.32609310319871e-05,"v_1722",213,3.61532899493854e-05,3765.27353764841
"Cobetia_sp._cqz5-12",2.40796879043798e-05,3.99717571189735e-05,3.27889378418775e-05,0.000156977033718667,3.7653791532401e-05,4.19345853084976e-05,3.096219835879e-05,3.9343894947375e-05,"v_1755",229,3.72814375722328e-05,2403.56306666914
"Dongshaea_marina",8.36001034068971e-06,1.04773366954581e-05,1.03296892485151e-05,2.27346048833931e-05,1.45594660591951e-05,1.56089845314963e-05,9.60895811134861e-06,1.13876019669357e-05,"v_1878",196,3.46032734696702e-05,3993.4456324418
"Neisseria_sp._KEM232",1.85778007570883e-05,2.75568307606568e-05,1.61205756454099e-05,3.13954067437334e-05,2.39549835653751e-05,2.91212397975678e-05,1.74384795354104e-05,2.46101729711975e-05,"v_2837",208,3.6003600360036e-05,4317.60795427133
"Kingella_potus",1.29330074501268e-05,1.39219405405402e-05,1.40859398843388e-05,2.05694044183081e-05,2.12295662735061e-05,1.95694731439655e-05,1.6014930185581e-05,1.71623574667562e-05,"v_2871",205,3.6316095293434e-05,4045.52017692371
"Paralysiella_testudinis",1.4219162887156e-05,1.42089908609637e-05,1.48684921001354e-05,2.48998053484782e-05,1.77869339048294e-05,1.91811899466646e-05,1.28119441484648e-05,1.80258723078508e-05,"v_2879",229,3.48177291877024e-05,3598.48597651075
"Desulforapulum_autotrophicum",9.21744729870917e-06,1.49983792421283e-05,1.61205756454099e-05,2.27346048833931e-05,1.9436528581487e-05,1.65408642050185e-05,1.06766201237207e-05,1.67306000462088e-05,"v_2988",217,3.56747886268774e-05,4064.90917548984
"Syntrophus_aciditrophicus",1.50051467653405e-05,2.07393856505985e-05,2.7154561888142e-05,3.4643207441361e-05,3.25615644870668e-05,3.19945354575945e-05,2.24209022598134e-05,2.26672645787346e-05,"v_3008",292,3.64697301239971e-05,4183.16676277583
"Corynebacterium_gerontici",1.05036027357384e-05,1.05490992755639e-05,1.15817727937897e-05,2.38172051159357e-05,1.3053314397899e-05,1.45217915790538e-05,1.13883947986354e-05,1.33305103593987e-05,"v_3641",202,3.48140927447431e-05,2752.62508143314
"Bifidobacterium_animalis",3.60838053166522e-05,4.37034112844791e-05,8.26375139881209e-05,0.000125581626974933,7.55944690955251e-05,0.000276224666559863,5.33831006186034e-05,7.11320350351718e-05,"v_4385",232,3.51605077177314e-05,934.371767906832
"Atopobium_sp._oral_taxon_416",7.00240182382557e-06,1.24149263583167e-05,1.37729189980201e-05,2.16520046508506e-05,1.36270864593451e-05,1.40558517422927e-05,1.24560568110075e-05,1.29527226164197e-05,"v_4463",204,3.37279503524571e-05,3017.66652184559
"Paenibacillus_swuensis",9.86052501722376e-06,1.15537753970462e-05,1.39294294411795e-05,2.27346048833931e-05,1.82889844585948e-05,1.5453671252576e-05,1.21001694735501e-05,1.55432671397037e-05,"v_4710",200,3.52945328768574e-05,3003.01634671277
"Alicyclobacillus_acidoterrestris",9.50325961804899e-06,1.49983792421283e-05,1.5885809980671e-05,1.94868041857655e-05,1.87910350123601e-05,1.80163403547619e-05,1.28119441484648e-05,1.9213205214356e-05,"v_4792",206,3.5686246520591e-05,4150.18817201973
"Christensenella_minuta",1.1075227374418e-05,1.23431637782109e-05,1.63553413101489e-05,2.16520046508506e-05,2.00103006429331e-05,2.08896360147886e-05,9.25307077389125e-06,1.532738842943e-05,"v_5107",226,3.57679376207168e-05,3969.13396034666
"Treponema_brennaborense",1.04321496559034e-05,1.24149263583167e-05,1.25208354527456e-05,3.35606072088184e-05,1.70697188280218e-05,1.87152501099036e-05,8.54129609897654e-06,1.31686013266934e-05,"v_6207",241,3.57385368643008e-05,4374.50036656636
"Ustilago_maydis",2.07213931521369e-05,2.38251765951512e-05,2.45721395760132e-05,3.78910081389885e-05,4.50411068235197e-05,3.16062522602936e-05,3.02504236838752e-05,2.85499594336919e-05,"v_6421",206,3.74419649543208e-05,4064.23373971511
