"","OTU","Genus","Species"
"1",128785,"Pseudoxanthomonas","mexicana"
"2",940133,"Sphingomonas","limnosediminicola"
"3",2565556,"Sphingopyxis","sp._PAMC25046"
"4",13690,"Sphingobium","yanoikuyae"
"5",661488,"Pseudobacter","ginsenosidimutans"
"6",3028312,"Herbaspirillum","sp._WKF16"
"7",1892855,"Sphingosinicella","sp._BN140058"
"8",1411621,"Hymenobacter","sedentarius"
"9",92647,"Paraburkholderia","tropica"
"10",463014,"Bordetella","flabilis"
"11",22,"Shewanella","s"
