"","OTU","Genus","Species"
"1",471,"Acinetobacter","calcoaceticus"
"2",1785128,"Acinetobacter","lactucae"
"3",2830983,"Arthrobacter","sp._NtRootA1"
"4",1397703,"Brasilonema","sennae"
"5",55601,"Vibrio","anguillarum"
"6",2020486,"Arthrobacter","sp._YN"
"7",2217832,"Bacillus","sp._JAS24-2"
"8",2026189,"Bacillus","albus"
"9",2925318,"Bacillus","sp._N5-665"
"10",47,"Archangium","s"
"11",646637,"Streptomyces","sp._M2"
"12",2781022,"Lysobacter","ciconiae"
"13",106649,"Acinetobacter","guillouiae"
"14",1325724,"Brevundimonas","vancanneytii"
"15",487316,"Acinetobacter","soli"
"16",1252,"Leuconostoc","carnosum"
"17",1646498,"Acinetobacter","sp._TTH0-4"
"18",2725994,"Mycoplasma","sp._1654_15"
"19",40215,"Acinetobacter","junii"
"20",139,"Borreliella","burgdorferi"
"21",2781024,"Lysobacter","sp._H23M47"
"22",2781023,"Lysobacter","avium"
"23",202950,"Acinetobacter","baylyi"
"24",458032,"Chloracidobacterium","s"
"25",284581,"Priestia","koreensis"
"26",2979862,"Rhizobium","sp._TRM95796"
"27",2919913,"Shinella","sedimenti"
"28",484429,"Sphingobium","sp._YBL2"
"29",2933563,"Bacillus","sp._PGP15"
"30",29466,"Veillonella","parvula"
"31",1308,"Streptococcus","thermophilus"
"32",213422,"_","s"
"33",1304,"Streptococcus","salivarius"
"34",29394,"Dolosigranulum","pigrum"
"35",1852970,"Myroides","cloacae"
"36",2748319,"Flavobacterium","sp._I3-2"
"37",3068341,"Rhodoferax","sp._TBRC_17307"
"38",2795779,"Rosistilla","s"
"39",577489,"Euhalothece","natronophila"
"40",106648,"Acinetobacter","bereziniae"
"41",115778,"Leuconostoc","gasicomitatum"
"42",2094,"Mycoplasmopsis","arginini"
"43",2708346,"Jeotgalicoccus","sp._WY2"
"44",202907,"Collimonas","s"
"45",1866325,"Sphingopyxis","sp._MG"
"46",2008795,"_","s"
"47",106633,"Thioalkalivibrio","s"
"48",28065,"Rhodoferax","s"
"49",28090,"Acinetobacter","lwoffii"
"50",164759,"Diaphorobacter","nitroreducens"
"51",1402,"Bacillus","licheniformis"
