"","SRR25582257","SRR25582262","SRR25582261","SRR25582258","SRR25582263","SRR25582255","SRR25582259","SRR25582254","SRR25582260","SRR25582256","SRR8921820","SRR8921819","SRR8921825","SRR8921818","SRR8921821"
"106370",2052,2993,2695,2630,2458,2469,2346,2007,1038,228,25,29,79,44,22
"2609253",2992,2543,2390,2526,2217,2658,2140,1934,999,228,37,31,62,37,25
"1535768",1939,2991,2889,2768,2564,2567,2495,1986,1116,277,47,27,93,45,36
"2971236",1563,1321,1224,1246,971,2991,935,1939,562,378,17,15,25,17,11
"3053466",1744,2990,2834,2747,2559,2533,2424,1930,1141,287,45,28,72,40,23
"588932",986,2990,2894,2860,2590,2031,2078,1782,1151,220,64,62,69,65,56
"141948",2138,2369,1763,1332,1254,2989,1073,2095,872,372,27,25,32,31,27
"173860",1707,2889,2988,2838,2668,2666,2484,1930,1150,267,40,28,71,39,27
"963",1375,2582,2986,2601,2056,1543,1812,1216,919,215,62,58,65,54,53
"2499145",2516,2984,2678,2621,2708,2904,2485,2244,1239,231,29,22,72,32,29
"2496836",1983,2983,2877,2747,2498,2635,2463,1833,1082,304,34,31,64,31,40
"2878153",1796,2764,2983,2760,2148,1711,2039,1321,960,233,52,46,56,48,38
"1771",2382,2981,2785,2625,2606,2872,2555,2269,1304,368,45,38,63,47,36
"396",1235,2671,2980,2825,2124,1874,2124,1380,1073,218,86,71,86,94,74
"2907154",1172,2978,2527,2723,2143,2138,1661,1718,980,216,34,28,41,39,35
"2995141",1923,2978,2881,2787,2599,2362,2449,1755,1140,201,29,28,79,37,20
"2382165",1897,2977,2888,2770,2562,2508,2342,1793,1088,308,39,32,64,39,22
"1267766",880,2974,2300,2779,1904,1757,1626,1428,1359,169,46,49,37,50,33
"1881016",2627,2778,2974,2831,2263,1855,2133,1246,1083,227,40,36,46,49,27
"2751189",2559,2973,2865,2740,2536,2440,2590,1949,1108,302,38,26,59,41,29
"1950",1735,2971,2761,2586,2463,2271,2408,1739,1108,253,42,34,64,36,16
"444444",1002,2827,2971,2835,2429,1925,2415,1438,1162,263,89,86,86,96,72
"40566",1704,2970,2815,2803,2635,2676,2586,1873,1187,252,27,34,64,32,32
"1176198",2049,2969,2609,2692,2471,2495,2362,1971,1097,241,31,39,66,36,28
"237610",1448,2891,2965,2777,2227,2552,2186,1709,1109,351,71,48,62,57,54
"190721",1453,2623,2964,2752,2170,1748,1942,1239,997,259,65,46,53,65,49
"1077946",1771,2864,2963,2784,2577,2380,2415,1806,1158,266,34,54,50,51,25
"2483403",868,1442,1531,1330,1004,2771,1099,2963,571,163,116,140,83,101,89
"346",2009,1906,2059,1999,1439,2963,1399,2007,804,360,41,37,42,40,40
"110937",2713,2959,2684,2740,2542,2505,2300,1943,1133,179,31,27,57,43,25
"382",977,2847,2959,2886,2280,1625,2254,1204,1129,210,68,66,92,65,56
"43668",1965,2958,2930,2715,2586,2388,2501,1785,1567,207,37,31,68,49,32
"2587808",1558,2957,2716,2666,2709,2109,2512,1606,1497,155,32,13,62,39,24
"1735038",762,2380,2954,2281,1680,1183,1542,807,869,142,34,22,44,32,43
"1967",1510,2951,2819,2705,2429,2180,2332,1645,1136,242,39,28,61,42,25
"1420889",1959,2949,2632,2744,2528,2272,2765,1776,1190,298,31,20,61,30,24
"247333",1676,2407,1972,1972,1937,2022,1814,1461,2947,165,22,20,58,27,17
"1384459",709,2661,2946,2838,2241,1464,2630,1087,1285,175,95,79,171,89,79
"2903629",1575,2945,2814,2834,2527,2349,2581,1775,1091,240,31,37,71,45,32
"329",1349,2821,2945,2843,2050,1656,1856,1125,969,204,50,46,55,60,61
"632569",2248,2945,2819,2812,2588,2562,2417,1985,1242,270,33,32,75,45,21
"1881061",882,2630,2943,2884,2268,1576,2255,1260,1147,196,89,90,98,78,92
"341045",978,2429,2943,2524,1862,1292,1741,980,949,191,60,71,50,71,51
"3039384",1625,2942,2644,2634,2626,2314,2503,1835,2006,235,26,21,54,29,23
"1960",1645,2937,2778,2794,2411,2158,2374,1623,1007,210,41,25,77,45,30
"2775496",2937,1411,1394,1434,1271,2285,1196,1982,556,649,38,34,61,29,30
"709810",1198,2705,2937,2773,2285,1700,2265,1293,1079,224,75,56,85,51,42
"1470176",1728,2936,2783,2721,2536,2215,2490,1695,1110,195,35,22,58,31,20
"204891",1676,2933,2668,2694,2413,2206,2301,1714,1073,208,28,33,53,37,28
"33903",1805,2905,2933,2509,2414,2614,2444,1988,1125,269,43,31,47,32,16
"2838157",852,2930,2664,2045,1939,1244,1181,837,1036,115,124,61,95,153,182
"46351",2062,2856,2671,2553,2416,2930,2372,2199,1327,367,46,37,74,52,45
"1911175",1706,2927,2747,2809,2593,2378,2408,1794,1114,278,28,32,62,44,25
"2079227",1220,2242,1188,1037,1980,2926,1177,2562,488,82,10,12,14,13,15
"2759707",1037,2813,2925,2722,2096,1708,1986,1452,974,219,55,66,62,74,51
"179879",2924,1627,1847,1760,1295,957,1253,721,588,138,34,31,43,24,28
"1736691",1903,2922,2479,2412,2691,2907,2358,2275,1301,205,26,30,51,47,17
"2981135",2042,2889,2922,2781,2495,2478,2408,1956,1051,300,33,32,60,39,20
"3039154",1473,2573,2918,2846,2177,1769,2774,1464,1145,265,170,141,126,142,116
"71433",1136,2814,2918,2800,2160,2060,2396,1752,1152,245,112,113,117,99,103
"930",174,204,285,273,161,2915,162,1913,97,448,8,7,6,12,9
"2795383",19,984,1159,2911,409,32,318,22,454,7,2,0,2,0,1
"199683",1233,2808,2909,2437,1956,2127,1775,1455,860,260,39,44,44,38,37
"351604",587,2708,2907,2728,1953,1340,1904,941,1079,187,63,52,87,51,50
"1223566",1317,2650,2898,2827,2221,1582,2903,1293,1175,187,147,134,113,145,108
"1823",1670,2903,2698,2784,2504,2218,2423,1704,1176,230,37,52,63,42,28
"2493680",1654,2805,2902,2673,2152,2009,2325,1762,1240,222,107,95,84,96,85
"2597701",1841,2654,2900,2642,1892,1865,1846,1180,913,235,44,25,53,40,37
"157592",776,2581,2899,2798,1924,1603,1804,1112,890,227,59,56,65,51,52
"2721173",1991,2899,2827,2846,2532,2427,2416,1872,1124,254,36,28,65,46,23
"388463",2899,350,490,401,281,1435,332,1418,154,73,8,8,13,9,8
"615",1197,2608,2898,2750,2011,2151,1910,1464,1030,311,55,38,63,53,45
"2833628",1866,2896,2762,2582,2622,2672,2537,1919,1121,312,38,33,60,42,31
"2759526",2353,2808,2893,2835,2227,2849,1858,2701,956,228,83,55,75,57,63
"3028709",1709,2892,2594,2508,2477,2345,2340,1851,1079,254,42,29,69,37,23
"2692234",1811,2890,2808,2799,2544,2374,2409,1933,1065,263,33,33,71,37,23
"2925844",2890,2174,1627,1677,1658,1730,1461,1413,1187,158,16,25,53,22,27
"84159",1144,2503,2890,2790,2064,1556,1982,1076,1051,209,73,78,75,63,69
"2780074",1403,2889,2697,2623,2000,2828,1670,2187,999,226,52,45,57,77,32
"173479",897,2223,2888,2489,2022,929,1691,786,910,152,28,23,45,28,23
"1858",1800,2887,2736,2821,2542,2580,2443,1871,1173,265,24,45,65,41,24
"2829500",1007,2887,2427,2637,1960,1794,1623,1436,1040,176,32,21,36,35,31
"2910158",267,1914,2886,708,596,429,464,309,387,48,18,13,13,26,28
"2942449",1694,2884,2782,2667,2436,2369,2310,1724,1106,197,30,28,55,38,20
"2996782",664,2608,2884,2680,2296,1281,2273,960,956,177,59,49,78,71,39
"1042",1050,2883,2605,2653,2110,1880,1718,1537,1014,173,39,36,40,34,25
"2934158",1959,2243,1993,2002,1955,2060,1830,1587,2883,155,29,28,52,29,20
"39691",2484,2660,2588,2258,2163,2882,2297,2433,1075,293,40,25,85,57,47
"2721244",1982,2790,2880,2410,2327,2361,2275,1927,1050,385,47,35,73,43,22
"3057176",890,2684,2878,2735,1905,2044,1871,1350,1070,301,60,61,51,64,57
"1854",1944,2860,2636,2510,2580,2877,2361,2170,1035,220,41,33,68,38,38
"2730915",2016,2877,2796,2667,2423,2448,2484,1900,1089,267,34,26,61,48,21
"633392",501,2877,2341,1937,2266,2838,2101,2259,1476,171,86,82,81,71,53
"1572644",2874,2746,2097,2105,2108,2328,2015,1675,980,155,25,24,39,29,22
"1169025",1153,2870,2352,2735,2355,1812,2094,1358,972,192,29,16,38,28,20
"1432792",865,2867,2746,2288,1846,1103,1667,884,1282,169,36,42,47,36,31
"2653850",1198,2866,2346,2609,2060,1857,1617,1511,1024,165,37,54,47,43,34
"3068889",483,2178,2865,2487,1940,1225,1717,842,904,182,35,37,74,64,35
"95485",1882,2620,2865,2802,2188,1666,2028,1175,971,219,47,49,58,52,40
"29449",1136,2517,2862,2583,2063,1728,2115,1289,1057,195,86,70,74,74,64
"1090615",2860,2832,2407,2406,2498,2763,2316,2207,1032,218,36,28,64,51,40
"84595",1841,2860,2676,2740,2404,2540,2340,1977,1141,236,37,34,69,50,35
"1977088",1492,2858,2726,2714,2462,2149,2395,1694,1014,242,39,35,40,42,30
"2760308",1698,2858,2610,2417,2451,2220,2194,1760,1750,204,30,29,62,38,26
"2810513",2182,2857,2535,2610,2376,2251,2216,1565,1144,236,38,29,59,51,23
"68200",1536,2812,2857,2786,2453,2028,2250,1607,1087,239,32,29,69,46,25
"2684468",1567,2851,2856,2596,2479,2261,2257,1777,1077,277,30,28,60,35,17
"2933290",1702,2856,2626,2611,2498,2326,2261,1757,1056,207,39,23,52,33,30
"1766",2523,2853,2604,2556,2218,2536,2305,2036,1264,310,41,39,73,46,35
"1663591",936,2530,2852,2614,2049,1619,1916,1223,937,231,79,68,77,70,64
"2865838",1563,2852,2840,2659,2078,2452,2300,2010,1231,274,230,217,185,183,222
"2213200",1731,2851,2604,2440,2323,2119,2260,1682,1071,232,41,28,64,45,28
"2509459",1629,2851,2767,2722,2624,2432,2390,1845,1804,209,31,27,65,40,25
"2714931",1381,2850,2684,2634,2388,2110,2323,1561,1539,170,44,32,49,43,25
"2203204",1934,2845,2734,2724,2328,2328,2448,1882,1065,261,33,25,70,32,25
"1207504",1751,2539,2842,2613,2047,1783,1934,1243,921,225,43,31,60,45,31
"3051092",1599,2838,2767,2626,2539,2194,2475,1672,1058,229,49,21,57,39,24
"1784",2639,1591,1514,1555,1351,2836,1349,2576,642,554,31,12,43,26,29
"2872646",1139,2836,2071,2095,1629,1766,1400,1438,798,173,43,50,41,32,30
"2183911",1213,2504,2835,2613,1937,2005,1846,1327,922,253,74,70,68,59,53
"569860",1625,2297,2835,2778,1952,2203,2237,1697,1124,328,118,124,100,86,110
"220927",2051,2365,2338,2241,1983,2834,1963,2353,955,917,40,31,68,37,23
"435",1702,1441,1673,1607,1226,2832,1122,2022,610,294,46,31,43,40,46
"353",995,2782,2831,2516,1980,2460,1906,1411,977,277,36,30,68,61,38
"35554",549,2224,2831,2467,1922,1170,1823,842,1044,164,60,47,68,58,34
"156977",2609,2830,2398,2457,2243,2273,2121,1733,1194,191,32,28,47,35,21
"67367",1480,2827,2754,2654,2567,2315,2406,1784,1080,242,34,31,59,34,26
"2315862",1116,2729,2821,2099,2208,1469,1274,1193,1053,128,258,114,147,209,250
"37332",1765,2818,2748,2649,2276,2165,2357,1621,1049,275,36,32,66,44,22
"964",1402,2616,2816,2642,2041,1620,1885,1174,951,218,40,45,49,54,39
"2708079",2815,1070,930,961,872,1144,819,931,494,78,18,15,27,11,10
"1386",1124,2340,2814,2733,2030,1221,1926,847,1349,198,41,36,55,53,60
"1892",1587,2814,2751,2646,2276,2027,2322,1495,1076,283,31,38,45,41,30
"3015997",759,2739,2807,2649,2635,2191,1707,2120,945,203,72,50,58,44,55
"292913",1305,2806,2517,2554,2036,1788,1635,1532,926,177,52,49,48,46,55
"1671680",2805,1763,1562,1784,1467,1825,1385,1291,719,131,29,17,32,20,19
"862751",1569,2803,2317,2382,2183,1921,2095,1513,920,216,18,18,46,35,22
"3075198",1535,2802,2549,2462,2359,2215,2261,1628,1128,226,22,22,50,28,22
"1288495",1167,2406,2801,2557,1812,1170,1736,832,790,167,31,22,39,35,35
"2871170",1411,2801,2398,2455,2411,2058,2348,1528,2011,181,28,26,31,38,22
"2567884",1605,2800,2393,2479,2319,2195,2030,1583,1087,198,46,30,49,54,27
"553510",1762,2797,2639,2521,2309,2179,2281,1722,998,235,33,30,65,26,30
"1841249",1996,2796,2680,2635,2280,2292,2370,1838,1003,260,42,17,65,47,25
"1413221",1921,2795,2754,2656,2353,2339,2455,1866,1027,261,29,30,76,36,37
"1793722",2794,1986,1713,1922,1638,2043,1621,1402,709,151,27,29,36,18,15
"1069",865,2384,2789,2594,1979,1438,2003,1100,981,185,79,81,81,87,77
"163604",1687,2789,2441,2533,2343,2191,2319,1642,1512,266,38,31,69,40,29
"120959",1968,2028,1941,1951,1648,2787,1735,2329,862,816,34,18,60,38,26
"227605",1372,2415,2787,2737,2052,1976,2185,1492,1071,265,98,91,116,98,89
"2714925",1074,2516,2786,2479,1764,1277,1717,928,831,154,39,35,51,45,40
"1849032",1482,2594,2009,1528,2781,2683,2143,2300,900,72,14,14,55,27,22
"482957",1798,2658,2748,2779,2084,1640,1990,1197,989,244,43,34,46,25,34
"185642",1946,2149,2218,2221,1875,2778,1889,2409,952,1130,34,25,62,37,21
"39692",2153,2777,2708,2606,2351,2420,2282,2021,1196,297,36,23,73,52,32
"3057122",1986,2776,2691,2668,2422,2463,2444,1998,1014,283,40,34,49,41,28
"1229164",1209,2671,2771,2557,2044,1774,1619,1336,816,163,31,20,51,39,29
"2048898",2770,2003,1573,1561,1551,1672,1363,1247,795,123,24,33,25,25,9
"1791",2106,2768,2618,2509,2540,2622,2311,2337,1207,211,37,27,63,37,31
"202862",1596,2768,2695,2661,2416,2028,2308,1683,1023,318,28,33,65,35,27
"1138587",1704,2767,2500,2492,2418,2251,2223,1649,1784,191,21,24,58,33,16
"2734",737,2525,2766,2581,2068,1584,2076,1129,1027,194,42,21,60,44,43
"3004093",2084,2586,2764,2570,2373,2582,2251,2064,984,302,34,28,67,43,28
"1682490",626,2364,2760,2716,1754,1074,1670,783,942,138,56,45,71,45,50
"2897342",473,2207,2759,2482,1785,1128,1751,792,920,148,80,50,73,47,45
"311180",1045,2758,2752,2710,2268,1704,2183,1247,1120,234,49,45,67,49,38
"470076",2378,1489,1423,1388,1203,2758,1213,2421,592,540,19,14,47,32,21
"1736046",1659,2757,2457,2406,2193,2093,2204,1728,971,238,28,20,53,24,23
"3016093",1495,2573,2156,2154,1897,1580,2753,1213,1176,202,23,13,31,20,25
"45989",226,764,665,617,561,328,393,237,2751,40,7,7,12,6,7
"3016086",1495,2749,2443,2443,2285,1992,2682,1445,1181,229,28,17,39,24,20
"2940492",1195,2451,2747,2388,1889,1606,1752,1201,850,211,33,19,55,43,27
"1826607",782,2746,2603,2470,2102,1402,2069,1059,1124,167,55,49,59,47,40
"108010",902,2500,2745,2550,1935,1656,1895,1171,980,239,33,46,49,34,40
"3038773",904,2744,2640,2524,2083,1892,1999,1394,1121,208,43,43,49,45,44
"80866",1383,2742,2618,2444,1855,1381,1770,1009,859,188,35,25,48,40,43
"2653200",1558,2661,2740,2425,2282,2371,2355,1805,1019,259,38,24,49,44,33
"701042",2275,1627,1644,1685,1402,2739,1481,2255,709,766,24,27,43,29,24
"2879846",1885,2581,2736,2427,2251,2219,2217,1784,999,261,41,37,66,41,42
"2998080",1467,2736,2696,2629,2430,2098,2305,1623,1085,220,38,37,60,39,19
"2547601",1051,2733,2457,2587,2024,1868,1628,1531,970,164,47,25,40,40,41
"2994664",2732,2337,2046,2171,1999,2567,1824,1849,883,167,34,37,49,44,36
"2976822",1344,2559,2731,2542,2087,1608,2532,1359,1101,208,118,128,136,117,96
"2978974",972,2389,2731,2594,2108,1888,2129,1426,1103,197,83,74,70,82,74
"2981137",698,2459,2730,2637,1944,1332,1742,973,832,168,38,40,50,45,40
"1634516",1133,2725,2404,2436,1936,1652,1618,1313,888,178,46,44,54,46,35
"2838850",1485,2683,2725,2677,2353,2066,2279,1592,1012,228,32,21,59,32,22
"560555",2724,1638,1624,1655,1327,2685,1501,2182,617,756,34,35,51,38,43
"521689",857,2305,2723,2444,1934,1543,1908,1129,926,230,49,57,65,54,45
"2695266",1512,2722,2520,2375,2123,2314,2242,1791,992,255,31,29,65,36,15
"2099693",2687,2606,2407,2352,2183,2721,2157,2380,1083,302,27,35,166,72,39
"3016006",850,2530,2660,2720,1804,1662,2052,1354,1024,234,91,86,98,90,74
"33889",1711,2720,2557,2533,2259,2022,2183,1514,1118,180,37,38,67,35,24
"334852",864,2448,2718,2595,2128,1644,2134,1312,1021,182,43,45,71,54,36
"1555112",850,2594,2715,2588,2066,1346,1990,1041,1379,170,31,30,61,39,35
"2498452",945,2292,2711,2561,1913,1568,1918,1182,1039,189,71,80,68,83,68
"1274",1979,2706,2427,2391,2358,2356,2100,1771,1394,192,39,29,59,47,34
"1534348",2706,1494,1536,1219,1223,2530,1236,2093,699,215,25,20,54,28,28
"1639348",892,2222,2704,2349,1755,1679,1738,1244,884,253,58,56,58,51,51
"279058",1284,2416,2703,2428,1920,1926,1727,1323,876,267,63,60,67,51,72
"1392877",984,2650,2702,2600,2084,2146,1957,1386,952,295,44,42,64,46,23
"682998",1064,2594,2699,2593,2042,1769,1995,1312,1069,227,71,44,58,56,47
"133453",521,2412,2697,2314,1982,1303,1890,930,1009,153,55,54,54,52,56
"904291",1906,2697,2413,2422,2225,2174,2031,1719,1144,212,42,28,60,42,18
"1804624",2693,1891,1598,1494,1691,2504,1510,2057,737,140,36,13,36,30,25
"1267217",1035,2428,2692,2483,1824,1404,1831,1030,818,168,35,26,43,45,22
"1312364",956,2642,2692,2649,2439,2276,1867,2114,1039,251,53,66,61,73,51
"2903900",474,2474,528,476,2691,605,499,551,332,33,6,6,10,6,5
"319706",2150,2536,2306,2200,2075,2688,1910,2036,999,273,37,33,54,40,29
"2831000",2686,1615,1139,939,1351,2312,1154,2322,497,59,5,3,15,11,3
"2116657",1232,2545,2685,2460,1856,1620,1772,1082,895,201,32,35,39,37,25
"1763828",1239,2412,2684,2618,1956,1678,1865,1279,949,159,59,62,75,63,60
"2613770",1612,2473,2682,2542,1980,1881,1968,1594,992,205,83,71,98,87,106
"375549",936,2507,2681,2488,1950,1367,2103,1093,1018,167,78,62,62,69,61
"2615214",1492,2540,2680,2596,2014,1949,2027,1330,904,237,33,35,59,33,23
"36805",2680,2604,1981,1956,1967,2057,1891,1623,1137,134,27,21,42,34,15
"1579979",1111,2526,2679,2488,1964,2167,1820,1491,928,343,57,47,53,51,51
"2866715",1519,2679,2569,2568,2362,2411,2220,1794,1039,246,40,28,85,50,29
"36809",1682,2678,2546,2560,2187,2175,2212,1685,1091,303,47,35,70,54,32
"69367",2485,2678,1988,1905,2004,2074,1759,1591,952,170,33,23,44,29,18
"59405",544,2359,2677,2350,1713,1209,1664,892,817,175,35,35,41,41,34
"85021",2569,1478,940,799,1575,2676,1005,2311,1453,85,12,4,26,11,5
"3033811",1608,2675,2587,2592,2362,2115,2289,1719,1033,207,25,21,61,33,24
"1827580",1762,2669,2567,2480,2380,2148,2376,1761,1024,260,37,20,62,42,26
"78543",70,1318,2666,701,227,199,166,126,330,30,2,2,6,5,3
"114686",1428,2662,2518,2663,2168,1981,2476,1576,982,234,27,24,46,24,19
"1404768",1174,2226,2659,2521,1971,2070,2503,1815,1085,285,143,131,144,108,98
"2962064",2658,2140,1611,1715,1587,1987,1586,1445,984,150,33,21,44,34,25
"2762325",2617,2657,2346,2233,2464,2549,2292,1985,963,184,38,31,78,42,38
"2986829",82,1847,2656,372,857,113,350,64,265,7,10,1,5,5,6
"2825844",1698,2601,2655,2451,2244,2271,2224,1782,1044,232,43,30,61,31,23
"515361",947,2344,2655,2616,1830,1500,1918,1203,1012,185,66,83,54,87,61
"1033854",697,2363,2653,2447,1747,1964,1668,1238,920,286,54,71,50,58,51
"2672569",2652,2299,2136,2082,2062,2462,1851,1965,929,197,32,29,73,37,25
"1797",1777,2649,2373,2292,2272,2203,2159,1832,1926,309,29,32,51,43,31
"75385",1784,2649,2306,2129,2367,2337,2025,1781,1167,204,21,26,43,27,34
"1792",1962,2601,2648,2499,2288,2473,2235,1999,1233,331,31,34,80,40,27
"3068634",1953,2648,2530,2638,2425,2619,2139,1825,1056,214,37,27,48,35,25
"187137",643,2443,2646,2420,2023,1292,1960,922,950,170,28,30,63,53,30
"1889",1466,2646,2538,2384,2205,1968,2113,1609,1015,234,35,27,63,33,16
"2729175",1682,2394,1959,2013,1999,1921,1906,1495,2644,142,28,22,48,19,29
"1767",2058,1770,1727,1726,1527,2643,1494,2335,710,812,27,29,65,48,33
"1938605",844,2640,2486,2341,2515,2156,1768,2100,955,221,60,52,62,62,56
"40988",1610,2639,2377,2421,2176,1902,2056,1447,1154,170,36,24,62,40,20
"66880",1817,2638,2591,2471,2182,2361,2261,1844,939,232,21,19,50,47,29
"3003262",190,969,2637,412,655,216,204,129,299,14,14,5,6,8,20
"1914525",1004,2634,2253,2135,1883,1649,1483,1363,772,155,34,36,52,51,44
"47312",1417,2631,2472,2466,2143,1905,2010,1395,916,148,21,30,46,29,25
"194963",748,2267,2629,2421,1798,1353,1883,1002,955,163,56,52,74,77,48
"2527982",459,2197,2628,2417,1765,1027,1568,779,909,112,65,64,48,64,77
"67282",1555,2627,2448,2587,2228,2008,2176,1462,1065,217,24,25,47,44,23
"2654547",1844,2626,2300,2258,2329,2089,2138,1617,1529,181,29,24,53,37,28
"2943192",367,2533,2626,2562,1765,1160,2006,822,998,159,116,89,71,104,108
"2995166",924,2432,2552,2626,1970,2182,2053,1560,962,304,66,77,77,78,61
"488446",1797,2334,2626,2351,1882,1573,1766,1206,852,203,41,30,54,25,24
"1915",1812,2621,2432,2298,2171,2264,2164,1823,912,189,34,20,53,39,16
"2527978",384,2449,2621,2313,1775,1003,1864,730,989,132,89,61,94,71,58
"1492737",127,1928,2620,446,970,189,355,100,397,17,10,2,8,12,16
"3061628",2180,2618,2555,2373,2136,2384,2255,1885,993,292,42,27,58,30,19
"2901164",1102,2342,2617,2357,1841,1917,1754,1260,937,284,55,54,55,38,43
"92942",120,846,487,711,672,448,1026,2616,168,57,6,4,7,5,4
"339268",2615,1669,1710,1693,1441,2458,1460,2109,670,667,39,50,40,46,18
"2894310",904,2356,2614,2531,2010,1482,1979,1126,1000,179,40,44,65,54,38
"1913979",2613,1722,1474,1571,1284,1883,1296,1423,719,117,37,25,32,20,17
"1891644",2200,2612,2421,2385,2219,2294,2007,1853,1044,186,34,30,65,41,31
"2820884",1693,2611,2435,2515,2369,2140,2149,1502,1221,264,29,33,61,43,19
"2935861",1544,2610,2385,2397,2161,2155,2121,1601,972,235,24,28,60,33,20
"40567",1265,2607,2492,2444,2189,2225,2171,1581,1016,254,26,28,56,32,17
"863372",1145,2489,2607,2327,1828,1294,1786,1123,881,180,55,45,59,47,32
"2760310",774,1573,1429,1454,1290,1418,1301,1008,2606,125,18,17,41,20,10
"150203",1103,2562,2603,2597,2071,1983,1668,1525,870,188,55,50,55,60,57
"2055",1311,2603,2588,2470,2261,1891,2008,1576,1074,187,36,37,58,53,34
"1269",1646,2602,2435,2479,2149,2277,2034,1655,1286,231,29,19,39,43,17
"3018339",1664,2602,2423,2411,2176,1951,2579,1489,1084,335,25,15,62,51,21
"2849093",1077,2400,2497,2601,1846,1563,1981,1530,929,218,92,81,79,84,83
"3039801",1084,2251,2601,2400,1903,1870,1994,1399,953,226,58,68,93,64,60
"169430",2599,2051,2429,2220,1600,1123,1730,1023,793,159,56,56,71,76,41
"323620",914,2571,2598,2463,1994,1619,2014,1268,1108,185,68,96,69,71,45
"2527972",394,2520,2597,2360,1804,1050,2058,841,998,174,111,88,86,109,107
"1652028",1435,2594,2516,2525,2314,2039,2200,1530,1191,209,26,18,50,32,18
"2963431",1938,2594,1983,2010,2421,2516,2022,1952,1616,173,21,14,50,30,21
"3015999",837,2594,2410,2365,2258,2230,1641,2100,866,221,54,49,54,71,53
"2897334",921,2438,2549,2590,2050,1770,2205,1379,942,203,55,53,85,61,45
"2708084",2589,1993,1623,1880,1502,2542,1388,1715,821,122,41,35,25,36,22
"405212",656,2223,2589,2414,1834,1467,1781,1084,883,221,39,39,63,45,33
"2949637",2029,2588,2420,2356,2106,2128,2169,1801,956,250,46,28,65,33,25
"2769067",2586,775,676,727,595,966,604,767,314,68,13,16,16,12,7
"66892",1279,2579,2421,2381,2295,1889,2055,1549,935,212,27,22,43,30,19
"2059672",918,2305,2575,2522,1862,1373,1747,962,880,208,33,26,55,45,31
"2801029",1792,2447,2575,2272,1992,2186,2044,1635,949,230,32,30,62,32,25
"56460",1789,1319,1421,1245,1041,2574,906,1734,570,293,29,36,23,29,32
"1760988",946,2407,2573,2335,1769,1970,1713,1284,901,283,43,34,60,61,59
"1893",1569,2545,2571,2529,2177,1943,2049,1546,990,347,26,27,58,36,24
"3032592",926,2571,2155,2269,1819,1472,1363,1258,862,132,26,28,24,36,27
"3033808",1256,2571,2120,2268,2018,1670,1788,1265,821,219,21,13,41,30,17
"47671",805,2446,2571,2311,1825,1364,1696,940,851,175,28,32,45,40,36
"2724135",116,573,2570,285,322,120,151,70,193,12,11,4,5,10,12
"46913",1735,2570,2372,2504,2118,2500,2172,2169,1201,141,219,262,141,182,201
"709883",1580,2566,2450,2356,2077,1883,2421,1416,991,290,30,26,62,38,22
"1842533",1250,2229,2565,2104,1852,1041,1429,754,739,109,30,32,35,44,29
"2660554",671,2388,2562,2508,2040,1353,1972,970,885,168,34,35,37,44,27
"28047",1927,2238,2108,2043,1872,2560,1860,2010,1052,369,36,35,74,41,24
"446860",1357,2559,2329,2202,2320,1932,2033,1529,1232,165,28,16,54,27,24
"3019890",2557,1752,1384,1537,1397,1591,1260,1149,740,109,23,19,23,17,13
"682798",783,2452,2557,2494,1908,1539,1682,1032,885,200,34,45,57,52,36
"53522",1971,2555,2176,2202,2295,2122,1976,1574,1465,247,25,19,58,39,23
"2812648",802,2232,2551,2398,1756,1270,1565,877,824,186,48,45,55,51,62
"1458426",882,2015,2157,1944,1448,2549,1424,1630,694,359,34,24,54,41,25
"322009",1605,2549,2253,2233,2072,2047,1923,1478,982,213,22,22,58,33,29
"2588711",831,2547,2484,2455,2051,1581,1998,1142,1048,228,54,38,69,41,26
"392593",721,2547,2410,2277,1799,1616,1603,1098,791,215,41,32,38,34,37
"2750011",1735,2545,2453,2341,2117,2067,2172,1634,928,200,44,33,60,38,19
"2714844",1645,2544,2440,2305,2146,2059,2194,1653,913,235,22,22,66,39,21
"85693",2067,2542,2301,2227,2112,2395,2064,1916,1144,286,30,36,79,41,22
"993502",980,2234,2542,2473,1941,1403,2316,1252,1014,169,119,107,112,110,87
"1765967",821,1773,2026,1843,1449,2541,1327,1584,718,306,42,43,36,40,37
"1712261",1260,2218,2539,2515,1744,1746,1692,1414,940,207,113,84,91,91,74
"540747",991,2539,2508,2511,1982,1644,2043,1202,1016,212,52,48,67,55,41
"244734",1335,2387,2536,2480,1925,1803,2261,1427,981,214,153,142,120,136,110
"1223514",521,1158,1072,1052,944,814,902,591,2535,70,10,10,33,5,11
"200644",1135,2130,2531,1611,1439,1513,899,810,1493,92,103,26,70,91,91
"2294034",1505,2531,2093,2210,2064,2007,2303,1323,1030,265,38,23,42,31,17
"3015161",1607,2508,2326,2331,2122,2187,2529,1545,1046,252,23,22,54,35,12
"3075197",1494,2528,2428,2300,2111,2066,2134,1533,905,210,27,39,49,40,29
"2861285",871,2437,2527,2414,2259,1717,1689,1800,938,163,59,65,67,52,50
"656178",990,2175,2527,2250,1672,1165,1611,805,790,144,35,32,38,25,33
"1907",1601,2526,2486,2472,2214,2044,2232,1581,997,195,26,22,55,24,21
"36873",2524,1874,2153,2076,1480,2046,1493,1826,706,192,44,48,49,47,34
