"","SRR5829600"
"2482763",3323
"292",3296
"2493678",3288
"2054919",3285
"56",3265
"1755504",3256
"1670800",3211
"2976343",3201
"2823043",3177
"158500",3166
"204037",3160
"292913",3158
"3020843",3157
"2874213",3148
"2562284",3129
"2499144",3126
"106589",3125
"529",3123
"2867020",3118
"2972478",3097
"223390",3087
"56455",3086
"238834",3073
"2051553",3069
"657387",3055
"1842539",3040
"217204",3037
"121428",3033
"1063",3026
"56448",3013
"1502",3011
"1784",3007
"31989",3002
"44249",2999
"222819",2987
"193",2980
"2984846",2978
"2493674",2972
"3074855",2969
"2860336",2960
"1756988",2956
"34004",2953
"1279",2944
"1250539",2943
"169176",2941
"2493681",2934
"2020412",2932
"77021",2932
"2666139",2928
"2494374",2920
"1301",2915
"2976680",2910
"86663",2902
"287",2901
"82367",2901
"59732",2895
"94",2880
"34073",2871
"44255",2870
"416169",2869
"2840474",2866
"221822",2858
"33069",2831
"1280",2829
"1405",2809
"2766984",2804
"370111",2800
"1798205",2795
"3050069",2795
"3064531",2792
"73141",2771
"2919913",2747
"255045",2743
"2758041",2741
"2259340",2739
"2282523",2739
"2065379",2723
"2590772",2716
"101571",2698
"2867233",2696
"298657",2696
"984207",2685
"190148",2684
"3032282",2666
"1853130",2649
"1117707",2639
"638",2639
"1150",2624
"51663",2624
"134537",2604
"2819994",2579
"2675754",2577
"2782662",2576
"311230",2570
"40323",2547
"528244",2544
"728",2542
"1871086",2537
"3034358",2536
"60550",2536
"2854170",2514
"34098",2511
"1848900",2505
"2734125",2504
"2161747",2496
"642",2485
"2818388",2484
"2662065",2481
"294",2476
"2840183",2475
"22",2465
"83637",2454
"1016",2451
"913",2443
"2201356",2437
"1028989",2429
"424800",2426
"1905730",2422
"1630693",2419
"28141",2412
"290",2394
"2528642",2384
"1225769",2383
"338584",2381
"1915078",2377
"95486",2373
"570",2371
"1274631",2365
"2681549",2358
"363835",2356
"1137095",2351
"29430",2350
"2202249",2344
"1259844",2343
"1461694",2334
"3017783",2325
"848",2319
"1871048",2318
"1573720",2312
"1112",2299
"2483403",2298
"1077946",2295
"437505",2283
"702115",2276
"2021234",2267
"2587847",2260
"1529068",2258
"28894",2254
"714",2248
"68",2239
"331696",2238
"434",2223
"658446",2222
"216851",2216
"2909249",2212
"75985",2209
"280",2201
"2857064",2194
"2603206",2193
"1969806",2192
"85413",2189
"2782674",2186
"76947",2185
"1775910",2181
"1894999",2176
"2896849",2175
"220927",2163
"1843368",2160
"858422",2160
"2745518",2158
"2697032",2157
"588932",2152
"1404888",2145
"2714925",2141
"2925845",2141
"2657486",2140
"2010972",2139
"1891094",2134
"1496",2133
"53246",2129
"2878151",2126
"34002",2126
"3019934",2124
"405559",2119
"162426",2118
"1862145",2116
"445",2115
"68270",2108
"300028",2104
"2880219",2102
"1385",2101
"40137",2092
"1520",2088
"200252",2086
"413882",2086
"154981",2083
"28056",2073
"1703972",2069
"88688",2066
"652764",2065
"29571",2063
"28100",2061
"2914159",2054
"164546",2053
"1026955",2051
"431306",2046
"158892",2040
"3049774",2040
"963",2034
"943830",2032
"940133",2027
"33882",2026
"171552",2018
"34007",2017
"1842727",2009
"587753",2007
"569860",2006
"2740529",2005
"45655",2003
"2955972",1999
"2675524",1996
"2741720",1989
"1930532",1985
"2976236",1983
"2169400",1968
"571177",1961
"92647",1961
"253",1958
"2654982",1954
"2912855",1949
"2681766",1941
"1428",1939
"613",1932
"1612173",1929
"2933872",1928
"106590",1924
"2812658",1914
"1380604",1909
"61645",1907
"2303331",1899
"76259",1893
"445709",1889
"2825844",1888
"29348",1887
"2836373",1878
"2518343",1877
"1850374",1876
"2761580",1875
"61648",1869
"3073562",1862
"929813",1859
"2565926",1855
"78587",1850
"1325115",1848
"2829597",1843
"713887",1843
"2884263",1835
"1967501",1832
"2806348",1831
"927083",1831
"53399",1829
"2594795",1827
"2364647",1821
"31988",1819
"157",1812
"71190",1805
"3028318",1801
"2654249",1792
"3002640",1788
"2744522",1787
"718",1781
"1549949",1776
"2923272",1776
"89184",1774
"1550024",1771
"86665",1770
"1560345",1769
"237610",1768
"538381",1764
"2807096",1763
"29438",1762
"2872157",1761
"1463165",1760
"2615214",1760
"3017784",1758
"2219225",1757
"2782678",1755
"656178",1755
"1416803",1753
"871742",1753
"135858",1752
"2762325",1752
"3023090",1749
"1030157",1747
"2763006",1745
"133",1744
"1045317",1742
"3028070",1742
"875932",1736
"3025315",1733
"2563896",1731
"36814",1731
"129337",1730
"447792",1729
"60136",1729
"2792603",1728
"426",1727
"554880",1727
"441",1726
"639200",1725
"722472",1725
"2774137",1718
"2750995",1707
"288965",1707
"2714036",1704
"485898",1704
"114615",1702
"28903",1702
"2865833",1701
"204286",1699
"2572090",1696
"1798223",1693
"158836",1691
"1889",1688
"2306583",1682
"1690815",1680
"106370",1678
"53335",1676
"2594003",1675
"2830995",1675
"2986949",1673
"1919",1671
"261302",1671
"54304",1668
"1981174",1666
"2681547",1666
"199136",1663
"1793722",1662
"2062",1661
"136073",1660
"1437009",1656
"2434",1652
"521",1650
"96344",1646
"263913",1644
"3019544",1644
"1906741",1636
"3016006",1630
"1647413",1629
"1390",1628
"1002672",1627
"36745",1627
"3039801",1625
"2675877",1620
"2779362",1617
"632569",1609
"83627",1608
"215221",1607
"2714924",1600
"319939",1600
"202907",1596
"1598",1591
"2493677",1590
"1522",1585
"3024400",1585
"715475",1580
"2048283",1576
"2907545",1572
"2819993",1570
"3041435",1564
"217203",1561
"347534",1560
"137583",1557
"2890321",1557
"151416",1548
"1817965",1545
"1750527",1544
"2684212",1538
"2419844",1537
"93221",1537
"2847991",1534
"1325095",1531
"3062449",1530
"46679",1526
"2954771",1519
"92645",1515
"1632864",1513
"2602769",1508
"85007",1506
"445710",1499
"653931",1498
"2596890",1494
"708113",1492
"28446",1490
"2991074",1487
"2895796",1486
"374432",1478
"3074146",1476
"2011015",1474
"455432",1474
"46429",1474
"1509",1472
"186650",1472
"463014",1470
"506591",1470
"1046",1468
"335406",1466
"758793",1462
"1501",1461
"622681",1461
"1165",1457
"2943192",1453
"186803",1448
"3061626",1448
"864828",1445
"536",1444
